Year January February March April May June July August September October November December Total
1971 7 9 19 28 37 41 41 27 25 20 12 6 272
1972 7 11 19 28 37 39 43 35 28 11 9 5 272
1973 6 4 13 28 37 41 42 35 29 21 9 7 272
1974 3 11 17 28 37 41 40 34 27 16 11 5 270
1975 7 9 17 27 37 41 41 38 26 20 10 5 278
1976 7 5 19 26 37 41 38 38 16 16 10 7 260
1977 3 10 19 28 36 41 42 34 26 18 12 5 274
1978 -3 3 11 27 37 41 41 35 29 16 7 1 245
1979 -4 10 12 28 36 41 40 32 29 21 12 7 264
1980 1 0 16 27 37 41 41 35 28 21 12 7 266
1981 5 8 14 28 37 41 40 37 28 19 9 7 273
1982 5 8 14 28 36 41 40 28 27 21 9 -1 256
1983 4 7 12 28 37 41 42 23 18 19 11 3 245
1984 6 11 19 27 37 41 35 33 24 21 9 -5 258
1985 4 9 19 28 37 41 40 38 25 17 4 6 268
1986 6 7 17 28 37 41 39 36 26 18 10 4 269
1987 5 7 19 28 37 41 39 38 28 16 9 4 271
1988 3 8 19 22 37 41 38 24 29 20 11 7 259
1989 1 11 18 28 37 41 41 38 29 18 12 6 280
1990 2 9 19 27 37 41 37 34 25 20 12 7 270
1991 5 9 12 28 37 41 43 36 28 20 11 5 275
1992 2 0 10 27 35 41 42 34 29 19 12 -3 248
1993 -9 -3 17 28 37 41 43 34 29 20 8 7 252
1994 7 8 15 28 36 41 38 37 28 20 11 0 269
1995 -2 7 17 26 37 41 42 37 29 21 11 7 273
1996 7 9 19 28 37 41 42 37 27 21 12 7 287
1997 4 9 19 27 37 41 42 37 18 21 12 0 267
1998 6 -2 17 28 37 41 38 36 22 20 10 6 259
1999 7 8 19 24 37 41 35 37 26 21 12 7 274
2000 7 9 17 28 37 39 43 34 29 14 12 7 276
2001 2 7 15 28 37 41 41 35 29 20 12 6 273
2002 7 11 19 28 37 41 42 38 25 20 10 7 285
2003 5 0 17 28 37 41 41 34 27 21 10 6 267
2004 6 8 18 25 37 41 42 37 27 9 4 1 255
2005 -1 -1 18 27 37 41 41 31 29 18 12 7 259
2006 7 11 17 28 37 41 41 34 24 19 12 7 278
2007 6 10 17 28 37 41 39 37 28 20 12 1 276
2008 1 10 19 28 36 41 39 34 28 21 7 2 266
2009 7 8 19 27 37 41 42 37 28 21 12 5 284
2010 -5 6 16 28 37 41 40 36 29 20 12 2 262
2011 7 7 19 27 37 41 39 37 28 20 9 3 274
2012 7 11 18 28 37 41 37 34 26 20 12 4 275
2013 2 10 18 28 37 41 36 33 24 21 2 5 257
2014 7 11 18 28 37 41 37 33 22 20 12 5 271
2015 3 10 15 28 33 41 39 37 27 17 11 7 268
2016 4 12 21 27 37 40 41 33 26 20 11 3 275
2017 3 6 20 29 36 40 36 35 27 21 13 9 275
2018 6 12 20 29 37 40 37 36 28 11 12 7 275
2019 3 6 18 28 37 40 41 37 24 21 3 5 263
2020 9 8 9 28 37 40 42 37 29 21 13 8 281
2021 5 12 20 29 37 40 35 31 28 20 13 4 274
2022 8 12 20 29 37 40 38 28 26 19 12 5 274
2023 4 10 17 29 37 40 41 36 26 21 11 4 276
2024 6 7 18 27 37 40 41 37 28 21 13 9 284
