Year January February March April May June July August September October November December Total
1971 123370 145002 227708 268254 299653 331974 377553 350301 311920 206438 142772 105152 2890097
1972 136021 161752 248844 294692 326174 352585 410495 390404 343480 211845 148102 113211 3137605
1973 136970 151269 232864 306437 342708 385398 434978 417115 367154 251177 159441 126907 3312418
1974 137738 173966 261022 318342 357200 393908 439913 423044 369485 244398 167258 126395 3412669
1975 153521 179276 275293 332822 378362 419468 473326 461361 398348 274495 175415 133733 3655420
1976 146841 164672 264655 312471 350478 391984 443470 429115 368718 254242 169599 130962 3427207
1977 140659 174785 264728 317392 353769 390498 444066 423542 370880 254208 170629 130239 3435395
1978 123309 146892 229764 308989 350404 390218 432656 411240 364417 244432 148338 106976 3257635
1979 128099 182135 266698 346946 385452 431586 485202 447361 400442 272004 179118 135894 3660937
1980 135702 158993 288923 360417 409471 450862 499149 467924 406610 279891 185281 140543 3783766
1981 161222 188940 283814 353732 394337 438542 491382 478341 415843 282655 183683 146645 3819136
1982 135487 162275 248800 314772 345340 389564 431723 409478 361191 254896 157874 119509 3330909
1983 147552 173823 258422 338338 391829 426207 473444 437827 379164 264329 180555 132856 3604346
1984 144239 171699 259247 302392 348265 380407 415872 399712 352358 244792 161654 107134 3287771
1985 156529 173579 227597 267874 275738 515012 546140 447471 471981 307746 162430 149061 3701158
1986 171226 166865 293929 278836 414399 376512 423903 400532 393030 270933 205574 147764 3543503
1987 186489 163893 250681 235385 293515 369485 399282 397180 374855 209112 159942 48564 3088383
1988 41430 119943 181257 275704 263121 308907 383614 424449 418818 242187 204904 140584 3004918
1989 103155 129230 133795 196070 254272 279353 338704 347817 381254 279306 159122 71307 2673385
1990 47119 85992 98123 180705 215891 261718 336713 394636 437645 293864 151279 52995 2556680
1991 61161 175776 202903 256722 293818 294371 401985 406606 397419 296426 152722 78930 3018839
1992 63875 121889 227358 384032 378026 380351 399396 398930 352765 263821 219323 48895 3238661
1993 62461 175508 245509 270123 256875 311568 378251 415487 422623 275200 99290 33538 2946433
1994 83218 128961 158322 235885 299581 414231 499901 471880 411533 225669 92394 114975 3136550
1995 100928 188220 235681 313709 352219 428271 500044 527856 448713 308658 154762 42087 3601148
1996 109195 128715 150077 177718 197676 319129 467933 459304 416009 290720 172720 42129 2931325
1997 5011 31630 114009 149807 195197 340593 421135 451197 392388 221624 24175 -12148 2334618
1998 42567 -19440 193100 263419 271136 293068 419951 419166 396874 266251 56603 70668 2673363
1999 31371 31566 80436 142851 197944 284626 445097 380762 406958 201952 12967 62897 2279427
2000 59650 42149 61316 92453 145031 348709 398769 378399 323148 159026 64507 -10238 2062919
2001 -12923 47730 104006 197873 178559 292076 396849 381323 314540 229640 62310 -17748 2174235
2002 16445 26566 66640 121068 207807 243026 378877 320455 282360 205253 45836 30229 1944562
2003 -5932 -23392 120799 154343 223466 262021 365852 353860 315706 134229 26187 -6961 1920178
2004 -13635 26339 84475 130167 181867 236754 332322 375733 293017 243376 38368 -33564 1895219
2005 -1891 114314 332749 191433 259471 348080 366979 370814 254082 131165 42785 108198 2518179
2006 18696 52908 157574 128121 174235 253318 386811 363750 245484 77617 66246 4596 1929356
2007 52203 53074 73735 166411 207212 272187 360215 363333 216012 102284 49428 16546 1932640
2008 10808 66021 118612 182382 227240 318290 375624 337508 274185 135191 17752 93984 2157597
2009 14450 7429 106321 179728 203609 351856 355931 297755 188077 136581 55154 4640 1901531
2010 -14754 100464 163069 187138 215831 233445 381062 359407 192478 108978 37472 -46110 1918480
2011 111375 36266 72297 158076 203829 249864 374143 370446 269366 127337 25078 2111 2000188
2012 1567 8985 55345 145305 217876 324288 397838 312575 233649 255569 15312 13282 1981591
2013 96829 61598 85053 191872 231368 324610 366171 297816 201270 88019 24423 45774 2014803
2014 113842 75753 105053 183208 228318 329909 376686 300770 221078 159427 71859 44438 2210341
2015 1746 128200 197369 219289 296477 386655 368319 322510 188389 181271 108912 59206 2458343
2016 -27273 90701 157650 152697 221267 368003 407457 345839 222059 144114 48945 9011 2140477
2017 8805 94588 142981 181844 215049 383714 399027 369144 247406 175958 82991 22032 2323505
2018 78872 48987 110002 157147 226728 365238 403358 439150 216444 30581 18333 9683 2104513
2019 54653 -24480 157952 177052 216429 332202 408056 360087 213810 137774 11042 50531 2095144
2020 78453 91387 133907 168727 241674 368391 445424 402039 200780 117474 77658 18001 2343910
2021 25090 95128 114508 201074 252164 394892 416342 400686 269334 135064 77591 39936 2421782
2022 70356 70316 119747 176772 257431 365634 429446 384162 298929 171504 114927 53528 2512759
2023 88337 123569 125636 143425 226272 355962 462710 402491 288330 198381 134460 114165 2663764
2024 89129 90360 82147 134346 219501 362481 447344 401447 272434 188386 140287 126537 2554408
