Year January February March April May June July August September October November December Total
1971 163 209 343 419 510 535 496 473 404 261 193 150 4156
1972 181 231 379 463 565 592 549 524 447 288 213 165 4597
1973 183 234 383 470 573 600 557 531 453 293 216 167 4660
1974 198 253 414 508 619 652 603 576 491 318 235 182 5049
1975 189 242 395 484 589 620 575 549 468 301 224 174 4810
1976 192 246 403 492 602 633 587 559 477 309 228 176 4904
1977 224 284 466 575 704 743 688 656 558 358 267 204 5727
1978 221 286 466 563 687 706 643 615 539 359 267 204 5556
1979 244 313 514 637 786 816 744 705 616 404 301 224 6304
1980 280 364 601 735 917 895 796 738 657 432 333 257 7005
1981 282 366 603 738 913 912 816 766 683 453 344 260 7136
1982 246 321 525 627 777 745 657 611 548 364 287 227 5935
1983 245 327 531 622 759 734 651 619 557 378 289 229 5941
1984 214 286 465 544 665 641 564 537 486 331 255 199 5187
1985 315 358 715 1096 1245 1202 1219 1039 954 528 328 389 9388
1986 524 511 713 928 1226 787 982 916 998 725 455 507 9272
1987 434 343 785 971 1236 1024 960 1034 770 454 301 1 8313
1988 0 405 712 797 956 1038 784 950 869 473 235 43 7262
1989 0 561 842 730 1218 1211 1007 693 761 618 430 275 8346
1990 354 458 573 881 945 1232 1139 936 778 591 321 161 8369
1991 43 273 518 789 1024 982 879 753 797 484 291 279 7112
1992 380 389 742 996 1263 1116 693 449 488 407 406 328 7657
1993 194 375 685 1003 854 956 746 783 630 540 232 303 7301
1994 288 446 528 625 821 792 751 648 600 496 528 316 6839
1995 121 300 610 764 933 1029 833 588 569 345 228 238 6558
1996 213 221 463 494 532 603 589 490 427 217 183 157 4589
1997 116 178 361 577 730 682 621 652 498 287 229 266 5197
1998 311 83 388 420 695 796 730 687 629 355 321 343 5758
1999 150 238 253 367 958 769 649 568 565 242 221 143 5123
2000 159 67 308 450 503 534 545 607 421 159 270 101 4124
2001 202 262 441 512 656 759 634 559 420 357 176 212 5190
2002 164 146 185 373 487 517 418 336 393 325 154 101 3599
2003 211 86 307 498 589 630 522 505 532 298 222 155 4555
2004 172 131 196 420 407 448 371 372 275 100 166 148 3206
2005 207 310 576 526 585 565 338 267 185 150 207 125 4041
2006 69 64 155 220 209 208 243 204 149 80 95 63 1759
2007 104 85 119 207 194 200 238 273 241 157 104 50 1972
2008 161 197 174 241 225 229 356 366 246 172 128 93 2588
2009 106 91 86 151 254 299 207 178 122 92 52 53 1691
2010 121 91 140 236 199 352 347 396 272 165 198 53 2570
2011 365 227 667 655 876 520 537 334 358 302 406 244 5491
2012 227 555 451 490 410 611 593 591 614 169 164 135 5010
2013 289 341 335 283 380 392 368 509 637 252 204 185 4175
2014 87 106 160 334 337 451 394 499 402 342 177 133 3422
2015 99 95 344 465 649 827 580 606 447 308 183 144 4747
2016 0 17 117 229 190 249 248 293 228 217 78 6 1873
2017 0 17 158 226 239 304 263 310 241 161 91 15 2026
2018 2 10 38 211 235 222 238 231 282 142 53 10 1674
2019 1 14 40 226 258 252 266 268 207 91 2 7 1629
2020 23 10 65 181 293 148 191 186 107 101 32 13 1350
2021 1 20 84 142 202 239 246 262 182 47 39 2 1466
2022 45 11 35 125 166 156 277 434 273 119 29 6 1676
2023 0 4 17 101 218 186 279 273 238 112 39 17 1485
2024 5 8 69 191 210 229 282 367 241 127 76 118 1923
