Year January February March April May June July August September October November December Total
1971 64 67 67 67 67 67 67 67 64 64 64 64 789
1972 68 72 72 72 72 72 72 72 68 68 68 68 844
1973 71 76 76 76 76 76 76 76 71 71 71 71 887
1974 75 79 79 79 79 79 79 79 75 75 75 75 928
1975 72 77 77 77 77 77 77 77 72 72 72 72 899
1976 70 73 73 73 73 73 73 73 70 70 70 70 861
1977 67 71 71 71 71 71 71 71 67 67 67 67 832
1978 64 67 67 67 67 67 67 67 64 64 64 64 789
1979 61 65 65 65 65 65 65 65 61 61 61 61 760
1980 57 61 61 61 61 61 61 61 57 57 57 57 712
1981 55 58 58 58 58 58 58 58 55 55 55 55 681
1982 53 55 55 55 55 55 55 55 53 53 53 53 650
1983 53 55 55 55 55 55 55 55 53 53 53 53 650
1984 53 56 56 56 56 56 56 56 53 53 53 53 657
1985 53 56 56 56 56 56 56 56 53 53 53 53 657
1986 53 56 56 56 56 56 56 56 53 53 53 53 657
1987 54 56 56 56 56 56 56 56 54 54 54 54 662
1988 54 56 56 56 56 56 56 56 54 54 54 54 662
1989 54 56 56 56 56 56 56 56 54 54 54 54 662
1990 54 56 56 56 56 56 56 56 54 54 54 54 662
1991 54 56 56 56 56 56 56 56 54 54 54 54 662
1992 54 57 57 57 57 57 57 57 54 54 54 54 669
1993 51 55 55 55 55 55 55 55 51 51 51 51 640
1994 49 53 53 53 53 53 53 53 49 49 49 49 616
1995 48 50 50 50 50 50 50 50 48 48 48 48 590
1996 46 48 48 48 48 48 48 48 46 46 46 46 566
1997 42 47 47 47 47 47 47 47 42 42 42 42 539
1998 40 42 42 42 42 42 42 42 40 40 40 40 494
1999 37 39 39 39 39 39 39 39 37 37 37 37 458
2000 34 36 36 36 36 36 36 36 34 34 34 34 422
2001 31 33 33 33 33 33 33 33 31 31 31 31 386
2002 27 30 30 30 30 30 30 30 27 27 27 27 345
2003 28 30 30 30 30 30 30 30 28 28 28 28 350
2004 29 30 30 30 30 30 30 30 29 29 29 29 355
2005 29 30 30 30 30 30 30 30 29 29 29 29 355
2006 29 30 30 30 30 30 30 30 29 29 29 29 355
2007 29 30 30 30 30 30 30 30 29 29 29 29 355
2008 29 30 30 30 30 30 30 30 29 29 29 29 355
2009 29 30 30 30 30 30 30 30 29 29 29 29 355
2010 29 30 30 30 30 30 30 30 29 29 29 29 355
2011 29 30 30 30 30 30 30 30 29 29 29 29 355
2012 29 30 30 30 30 30 30 30 29 29 29 29 355
2013 29 30 30 30 30 30 30 30 29 29 29 29 355
2014 29 30 30 30 30 30 30 30 29 29 29 29 355
2015 29 30 30 30 30 30 30 30 29 29 29 29 355
2016 5 5 5 5 5 5 5 5 5 5 5 5 64
2017 6 6 6 6 6 6 6 6 6 6 6 6 66
2018 5 5 5 5 5 5 5 5 5 5 5 5 56
2019 4 4 4 4 4 4 4 4 4 4 4 4 47
2020 3 3 3 3 3 3 3 3 3 3 3 3 38
2021 3 3 3 3 3 3 3 3 3 3 3 3 29
2022 1 1 1 1 1 1 1 1 1 1 1 1 20
2023 1 1 1 1 1 1 1 1 1 1 1 1 20
2024 1 1 1 1 1 1 1 1 1 1 1 1 20
