Year January February March April May June July August September October November December Total
1971 9 9 11 12 16 18 19 18 16 13 12 10 163
1972 10 9 12 13 17 19 21 20 17 15 13 11 177
1973 11 10 13 14 19 21 23 22 19 16 14 12 194
1974 11 11 14 15 20 23 24 23 20 17 15 13 206
1975 12 12 15 17 22 24 26 25 22 18 16 14 223
1976 13 13 16 18 23 26 29 28 23 19 16 15 239
1977 14 13 17 18 24 27 30 29 24 20 17 15 248
1978 14 14 18 19 25 30 32 31 26 22 19 17 267
1979 16 15 20 22 29 33 35 34 30 24 21 18 297
1980 17 16 21 24 31 35 38 36 31 26 22 19 316
1981 18 17 23 25 33 37 40 38 33 27 23 21 335
1982 20 18 24 26 35 39 42 40 35 29 24 21 353
1983 20 19 25 28 36 40 43 42 36 30 25 22 366
1984 21 20 26 30 38 42 46 44 38 32 27 23 387
1985 22 21 27 31 40 45 49 47 40 34 29 25 410
1986 24 22 30 33 42 48 51 49 42 35 30 26 432
1987 24 23 31 34 43 50 53 51 43 37 32 27 448
1988 26 24 33 36 47 53 56 54 47 39 34 30 479
1989 27 26 34 38 50 56 60 58 50 42 36 32 509
1990 30 28 37 41 53 60 64 63 54 46 40 35 551
1991 34 32 41 46 58 66 72 69 59 51 43 39 610
1992 37 35 45 49 64 73 78 75 66 55 48 43 668
1993 40 38 49 54 70 79 85 82 71 59 52 46 725
1994 43 40 53 59 76 86 93 89 76 65 56 49 785
1995 47 44 58 63 83 94 100 96 83 70 61 53 852
1996 50 48 62 68 88 100 106 102 88 74 63 56 905
1997 54 50 65 71 92 104 111 108 93 78 66 59 951
1998 56 53 69 76 98 110 119 114 98 83 71 64 1011
1999 59 56 73 80 102 116 125 119 103 88 74 67 1062
2000 62 59 76 85 108 123 132 126 109 92 80 71 1123
2001 65 62 80 89 114 129 139 133 115 97 84 75 1182
2002 69 65 85 93 120 136 147 141 122 103 88 79 1248
2003 73 69 89 98 127 143 155 149 128 109 94 83 1317
2004 77 73 95 105 135 153 164 158 136 116 99 87 1398
2005 82 77 100 110 143 161 173 166 144 121 104 92 1473
2006 86 81 106 117 150 168 181 173 150 127 108 96 1543
2007 89 84 109 120 154 173 186 177 153 129 110 98 1582
2008 90 86 110 121 156 174 188 179 155 130 112 98 1599
2009 91 85 111 122 156 177 188 181 155 132 112 99 1609
2010 91 86 111 123 158 176 189 179 153 130 110 97 1603
2011 91 85 110 120 154 173 184 177 151 127 108 95 1575
2012 89 83 107 117 150 168 179 171 146 122 104 91 1527
2013 85 80 104 114 146 162 173 166 141 119 100 88 1478
2014 83 78 100 109 140 157 167 160 137 114 98 86 1429
2015 80 75 97 106 136 152 162 156 132 111 95 83 1385
2016 64 60 78 86 112 127 137 130 112 93 77 68 1145
2017 65 61 78 87 113 129 137 130 113 94 78 69 1154
2018 66 61 79 88 115 130 139 132 114 96 78 70 1168
2019 66 61 81 88 115 131 140 134 115 97 79 71 1179
2020 66 62 81 89 117 132 140 134 115 97 79 71 1182
2021 67 62 81 90 118 134 144 135 117 98 81 71 1198
2022 68 64 83 92 120 135 145 139 120 99 82 73 1219
2023 69 65 84 93 122 137 147 140 120 102 83 73 1234
2024 70 66 85 94 122 139 149 142 122 103 84 74 1249
