Year January February March April May June July August September October November December Total
1971 1 0 6 8 11 13 13 8 10 4 2 -2 74
1972 1 2 6 8 12 12 14 11 7 1 0 0 74
1973 -1 0 0 8 11 12 13 12 10 7 1 1 74
1974 -2 2 5 8 12 14 12 12 10 3 1 0 77
1975 0 1 2 7 12 13 10 12 10 7 1 0 75
1976 1 -1 4 7 12 14 11 12 7 5 3 1 76
1977 0 2 5 9 9 13 12 11 9 6 3 0 79
1978 -4 -1 -1 6 11 14 13 12 8 6 -2 -2 60
1979 -2 0 1 8 11 14 14 10 10 6 2 0 74
1980 -6 -4 2 8 11 14 12 11 7 6 3 1 65
1981 0 1 0 7 11 13 11 10 8 5 1 1 68
1982 -1 1 2 8 12 13 13 8 7 6 0 -2 67
1983 -1 1 -1 7 12 13 11 8 7 5 1 -1 62
1984 1 2 4 8 12 13 7 10 10 6 1 -4 70
1985 -1 1 4 7 12 13 12 13 8 6 -1 0 74
1986 0 0 2 8 12 13 12 11 7 6 1 0 72
1987 -1 0 4 8 11 13 12 10 10 2 -1 0 68
1988 -1 1 5 4 12 13 13 10 10 7 2 -1 75
1989 0 1 4 9 11 13 13 10 10 6 3 1 81
1990 0 0 5 7 11 13 13 11 7 6 1 0 74
1991 0 2 0 9 12 13 13 11 7 6 2 0 75
1992 0 -1 -1 8 11 13 12 10 10 3 3 -1 67
1993 -8 -4 4 8 12 13 14 10 10 5 1 0 65
1994 1 -1 4 6 12 13 14 12 10 5 1 0 77
1995 -5 1 -1 7 10 12 14 11 9 7 2 0 67
1996 0 -1 4 8 12 14 11 12 9 5 0 -1 73
1997 -4 1 6 8 12 13 14 10 4 6 1 0 71
1998 0 -3 2 7 11 13 11 11 5 4 1 1 63
1999 0 1 6 6 12 12 11 11 9 7 3 1 79
2000 0 -1 3 8 12 13 14 10 10 1 2 1 73
2001 -1 0 2 7 12 13 12 11 10 7 2 0 75
2002 1 2 5 8 12 14 13 13 7 5 1 0 81
2003 1 -1 4 7 12 14 13 11 10 7 1 -1 78
2004 0 -2 6 7 12 13 13 11 9 -2 0 -1 66
2005 -5 -2 2 6 12 13 13 10 10 3 2 1 65
2006 0 2 0 8 12 13 12 12 8 4 3 0 74
2007 1 2 6 8 12 14 13 11 7 7 3 -4 80
2008 -2 0 6 9 12 13 13 11 10 6 1 -1 78
2009 0 0 6 8 12 13 13 12 10 7 2 -1 82
2010 -3 -2 4 8 12 13 12 11 10 1 1 -7 60
2011 1 -1 4 7 12 14 13 12 8 4 2 0 76
2012 0 1 5 8 12 14 11 10 8 5 3 -1 76
2013 0 2 4 8 12 13 11 11 4 6 1 0 72
2014 0 1 4 8 12 14 12 10 5 7 3 0 76
2015 0 1 2 8 10 13 12 10 8 3 2 0 69
2016 -1 1 5 6 12 13 13 9 7 6 1 -3 69
2017 -3 1 5 8 11 13 10 11 8 7 3 1 75
2018 -1 1 5 8 12 13 10 11 9 3 2 0 73
2019 -2 -3 0 8 8 13 14 12 10 7 -2 -1 64
2020 1 1 0 8 12 13 15 13 10 7 2 1 83
2021 0 2 4 8 12 13 11 11 8 4 3 -3 73
2022 1 1 6 8 12 13 11 10 7 6 1 -1 75
2023 -5 1 -1 8 12 13 15 10 7 7 1 1 69
2024 -1 -1 4 8 12 13 13 11 10 6 2 1 78
