Year January February March April May June July August September October November December Total
1971 237 285 435 519 621 656 615 578 510 346 274 217 5293
1972 261 317 478 569 687 714 680 645 550 373 294 242 5810
1973 261 320 471 581 698 729 691 660 569 397 304 252 5933
1974 277 348 519 623 751 791 736 709 611 417 328 270 6380
1975 273 334 492 598 721 760 705 685 588 409 316 260 6141
1976 277 328 504 602 732 772 717 696 590 412 322 264 6216
1977 304 374 567 689 826 878 823 785 674 461 358 285 7024
1978 287 364 548 666 811 843 780 748 652 460 343 278 6780
1979 313 393 601 747 911 954 884 832 735 505 389 303 7567
1980 336 430 688 843 1040 1031 928 866 764 529 420 335 8210
1981 355 444 685 841 1034 1046 941 889 793 546 425 339 8338
1982 314 396 610 731 901 878 792 726 655 462 364 293 7122
1983 315 403 607 724 885 868 779 740 666 475 369 301 7132
1984 290 367 559 653 794 776 682 664 603 431 339 264 6422
1985 386 439 808 1203 1375 1341 1358 1179 1070 629 407 468 10663
1986 602 590 805 1039 1359 929 1122 1051 1112 827 542 586 10564
1987 509 422 882 1084 1366 1168 1102 1168 895 550 384 82 9612
1988 77 489 815 898 1093 1184 934 1088 998 584 329 123 8612
1989 79 647 943 850 1356 1362 1161 834 893 730 528 364 9747
1990 437 542 680 997 1086 1386 1296 1086 906 708 419 250 9793
1991 130 367 615 916 1173 1142 1043 910 930 604 394 371 8595
1992 470 477 839 1125 1414 1285 863 609 634 525 516 420 9177
1993 263 457 799 1136 1012 1128 928 948 780 662 339 399 8851
1994 382 537 645 753 984 970 937 824 752 623 636 413 8456
1995 202 397 714 896 1095 1208 1024 766 724 482 342 339 8189
1996 309 315 585 634 703 791 775 675 586 350 292 256 6271
1997 201 278 489 717 904 871 819 834 643 422 341 367 6886
1998 406 169 504 556 867 986 921 875 779 488 434 450 7435
1999 247 336 381 502 1133 959 844 757 730 386 340 250 6865
2000 254 159 428 595 682 731 753 797 592 286 389 208 5874
2001 293 357 561 653 837 959 841 757 594 503 297 317 6969
2002 262 247 314 520 672 723 633 544 562 467 273 206 5423
2003 314 180 436 646 780 843 745 714 714 453 348 262 6435
2004 278 227 337 574 607 670 602 590 464 238 293 259 5139
2005 302 410 712 681 792 794 579 490 386 308 347 248 6049
2006 185 182 292 390 425 445 489 442 353 246 241 188 3878
2007 225 206 274 380 414 444 492 510 443 335 252 167 4142
2008 275 315 332 420 447 474 612 608 459 349 274 217 4782
2009 228 209 246 330 478 547 467 426 336 274 203 179 3923
2010 236 205 296 416 426 601 604 640 486 329 345 164 4748
2011 490 342 821 828 1096 766 790 579 563 472 552 371 7670
2012 346 672 603 661 627 851 834 820 814 336 307 254 7125
2013 404 458 483 452 593 625 603 736 819 417 338 304 6232
2014 201 219 303 497 543 679 626 718 583 505 313 248 5435
2015 207 202 478 624 843 1045 806 818 631 456 313 256 6679
2016 65 87 216 339 349 430 437 458 368 336 166 67 3324
2017 59 87 259 348 399 489 440 485 390 285 186 94 3516
2018 69 81 137 334 399 407 417 405 434 254 144 85 3162
2019 63 69 126 346 406 436 461 451 361 216 77 76 3085
2020 96 79 151 301 458 333 387 370 261 225 122 90 2874
2021 70 93 181 264 368 426 433 440 331 161 135 64 2959
2022 117 82 138 249 332 341 463 608 419 239 117 77 3189
2023 50 73 97 226 384 373 480 448 384 238 129 95 2985
2024 71 71 168 316 378 418 481 550 400 252 170 197 3479
