Year January February March April May June July August September October November December Total
1971 0 0 8 13 17 23 20 12 16 4 3 -5 111
1972 1 3 9 13 21 19 24 18 11 1 0 -2 118
1973 -3 0 -1 13 19 20 22 19 16 10 2 1 118
1974 -5 3 7 13 21 23 18 19 15 4 2 0 120
1975 0 2 3 13 21 26 17 22 16 11 3 0 134
1976 1 -3 8 12 22 26 17 24 13 9 5 2 136
1977 -1 4 8 16 18 24 22 18 16 10 4 -1 138
1978 -8 -2 -2 11 21 26 25 23 15 9 -5 -5 108
1979 -6 0 1 15 20 26 26 18 18 10 4 0 132
1980 -12 -7 3 15 20 26 21 20 12 8 5 1 112
1981 0 2 1 13 19 26 16 17 14 6 2 2 118
1982 -4 1 4 15 22 26 25 12 12 10 0 -6 117
1983 -2 1 -3 12 23 26 19 16 13 9 1 -2 113
1984 1 3 8 15 23 24 9 17 16 9 3 -7 121
1985 -3 3 6 13 22 25 22 24 15 8 -2 1 134
1986 1 1 4 14 23 25 21 19 12 8 3 0 131
1987 -2 0 6 15 20 25 21 17 18 3 -2 0 121
1988 -2 3 9 5 22 24 25 18 18 11 4 -3 134
1989 -2 3 7 17 21 26 25 17 18 10 5 2 149
1990 -1 0 9 12 21 25 24 20 13 11 3 0 137
1991 -1 4 0 16 23 25 23 21 13 9 4 -1 136
1992 -1 -3 -4 15 19 26 23 18 16 6 5 -4 116
1993 -14 -7 6 16 21 25 28 18 18 7 3 -1 120
1994 1 -1 7 10 22 26 26 22 17 8 2 -1 139
1995 -9 2 -3 12 19 23 27 21 15 12 3 0 122
1996 0 -1 8 16 23 26 21 23 16 8 0 -2 138
1997 -7 2 10 14 23 25 26 17 6 9 3 0 128
1998 -1 -6 3 11 21 25 19 21 7 6 1 2 109
1999 1 2 10 10 22 23 20 20 16 12 5 2 143
2000 -1 -2 5 16 23 25 26 18 18 0 3 1 132
2001 -4 0 5 12 22 25 23 21 18 11 4 -1 136
2002 1 4 9 16 23 26 25 24 13 7 3 -1 150
2003 1 -4 6 13 22 26 25 19 16 11 3 -3 135
2004 0 -5 10 12 23 26 24 19 15 -5 -1 -4 114
2005 -11 -5 4 9 22 25 25 17 18 5 5 1 115
2006 0 4 0 14 23 25 22 22 16 5 5 -1 135
2007 1 4 9 14 23 26 24 18 12 12 5 -7 141
2008 -5 0 10 17 22 26 23 20 17 10 2 -4 138
2009 -1 0 10 16 23 25 26 22 17 11 5 -4 150
2010 -6 -4 7 15 23 26 22 20 18 0 3 -12 112
2011 1 -2 7 13 21 26 23 23 14 7 4 0 137
2012 -1 1 8 14 23 26 19 16 15 9 5 -2 133
2013 -1 3 8 15 23 26 19 18 6 9 2 0 128
2014 1 3 8 15 23 26 22 18 9 12 5 -1 141
2015 -1 1 5 15 18 23 22 16 15 5 4 0 123
2016 -3 4 11 13 30 36 34 21 16 15 5 -9 173
2017 -9 2 12 21 30 37 24 28 22 17 8 3 195
2018 -3 4 10 22 32 37 25 26 24 8 6 0 191
2019 -6 -7 1 20 21 36 37 33 25 17 -6 -5 166
2020 3 3 2 20 33 37 38 34 26 17 6 2 221
2021 -1 6 9 21 33 37 29 29 21 9 9 -9 193
2022 2 5 13 23 33 36 29 24 18 14 4 -2 199
2023 -15 2 -4 23 31 36 38 24 18 16 5 3 177
2024 -4 -3 9 22 33 36 36 29 26 15 7 3 209
