Year January February March April May June July August September October November December Total
1971 5 5 6 7 8 9 9 9 8 7 6 5 84
1972 5 5 6 7 8 9 9 9 8 7 6 5 84
1973 5 5 6 7 8 9 9 9 8 7 6 5 84
1974 5 5 6 7 8 9 9 9 8 7 6 5 84
1975 5 5 6 7 8 9 9 9 8 7 7 5 85
1976 5 5 7 7 8 9 10 9 8 8 7 5 88
1977 5 5 7 7 9 9 11 11 9 8 7 6 94
1978 5 5 7 8 9 11 11 11 9 8 7 6 97
1979 6 5 7 8 9 11 12 11 9 8 7 7 100
1980 6 6 8 8 10 11 12 12 10 8 8 7 106
1981 8 7 9 9 12 13 13 13 12 10 9 8 123
1982 8 7 9 9 12 13 14 13 12 10 9 8 124
1983 8 8 9 10 12 13 14 13 12 10 9 9 127
1984 8 8 9 10 13 13 14 14 12 10 9 9 129
1985 8 8 9 10 13 14 15 14 13 11 10 9 134
1986 9 8 10 10 13 14 15 15 13 12 10 9 138
1987 9 9 10 11 14 15 16 15 14 12 10 10 145
1988 9 9 11 12 14 16 16 16 14 13 12 10 152
1989 10 9 12 13 15 16 19 18 15 13 12 10 162
1990 10 10 12 13 15 19 19 19 15 13 12 10 167
1991 10 9 12 13 15 18 19 18 14 13 12 10 163
1992 10 9 12 12 14 17 18 17 14 12 11 10 156
1993 9 9 11 11 13 16 17 16 13 11 10 10 146
1994 8 8 10 11 13 15 15 15 12 11 10 9 137
1995 8 8 10 10 12 14 14 14 11 10 9 9 129
1996 6 6 8 8 10 12 12 12 10 8 7 7 106
1997 6 5 7 7 9 11 11 11 9 7 7 6 96
1998 6 5 6 7 8 10 10 9 8 6 6 6 87
1999 5 4 6 6 7 8 8 8 7 5 5 5 74
2000 5 4 5 5 6 7 7 7 6 5 5 5 67
2001 5 4 5 5 6 6 7 6 6 5 5 5 65
2002 5 4 5 5 6 6 6 6 6 5 5 5 64
2003 5 4 5 5 6 6 6 6 6 5 5 5 64
2004 5 5 5 5 6 6 6 6 6 5 5 5 65
2005 5 5 5 5 6 6 6 6 6 5 5 5 65
2006 4 4 5 5 6 6 6 6 6 5 4 4 61
2007 4 4 4 4 6 6 6 6 6 4 4 4 58
2008 4 2 4 4 6 6 6 6 5 4 4 4 55
2009 3 2 4 4 5 5 5 5 5 4 4 3 49
2010 3 2 4 4 5 5 5 5 5 4 3 3 48
2011 3 2 3 4 5 5 5 5 5 4 3 3 47
2012 3 2 4 4 5 5 5 5 4 4 4 3 48
2013 2 2 4 4 4 5 5 5 4 4 4 3 46
2014 2 2 4 4 4 5 5 5 4 4 4 3 46
2015 2 2 4 4 4 5 5 5 4 4 4 2 45
2016 1 1 2 3 4 4 5 4 4 3 2 1 38
2017 1 1 2 3 4 4 5 4 4 3 2 1 39
2018 1 1 2 3 4 4 5 4 4 3 2 1 40
2019 1 1 2 3 4 4 5 4 4 3 2 1 40
2020 1 1 2 3 4 4 5 4 4 3 2 1 39
2021 1 1 2 3 4 4 5 4 4 3 2 1 40
2022 1 1 2 3 4 4 5 4 4 3 2 1 40
2023 1 1 2 3 4 4 5 4 4 3 2 1 40
2024 2 1 2 3 4 4 5 4 4 3 2 2 41
