Year January February March April May June July August September October November December Total
1971 119423 140919 221162 259736 288387 319746 366734 341666 303312 200785 135937 101139 2798942
1972 129947 154943 239455 284361 314050 340553 398989 380038 334089 208871 143339 111281 3039908
1973 133546 147872 227695 298000 331635 369174 420141 403099 355566 242379 153732 122872 3205709
1974 135867 169921 252457 305835 341341 376308 426088 410122 358125 237844 161513 123089 3298516
1975 150536 175673 266467 319793 361489 400332 457027 446222 385938 264418 169820 130567 3528284
1976 143778 160627 254784 299691 334097 373763 428863 414116 356949 244931 162930 126792 3301315
1977 137763 170202 256711 305673 337516 372860 429376 409606 358775 245767 164880 126561 3315681
1978 121802 143148 222777 295101 330500 366688 412108 393404 348408 233180 143025 104750 3114898
1979 126301 176445 259489 333357 366281 407268 462512 427226 381069 258838 170350 129596 3498726
1980 134288 156992 278898 344541 387876 422803 474442 445523 387616 267511 176741 134450 3611685
1981 154332 181770 274516 337464 373785 415934 471757 460560 400692 272281 176987 141000 3661073
1982 131405 157049 240187 299244 326504 367785 412207 394012 345414 242146 151080 115532 3182564
1983 142295 167982 250279 323875 370999 400732 450450 418368 364251 253713 172620 127856 3443423
1984 137480 161854 245464 284916 325261 355864 395373 382220 335463 231748 152722 104245 3112617
1985 151352 167090 217239 251686 251979 488394 521733 424753 453075 294716 154983 141774 3518773
1986 164045 159397 281805 262027 389394 350988 402096 380937 373935 257714 196200 141169 3359713
1987 179915 156388 237114 219531 271078 345856 377219 377494 355879 197406 151643 43584 2913104
1988 37401 114556 170254 260748 241185 284979 359206 404420 399764 229291 195067 134843 2831711
1989 99494 122003 121517 178493 232633 257282 318534 329534 364969 266397 149082 65300 2505237
1990 42197 80714 87580 163783 195406 239448 316933 376072 422178 282155 145371 49299 2401124
1991 56424 167854 194290 241778 273371 272166 381569 389047 381842 284592 145477 74091 2862501
1992 57664 114281 215119 364238 354939 352339 374400 378969 332899 248885 205761 42830 3042339
1993 58945 167991 232065 249396 232516 284114 351589 393031 401023 259193 86733 21977 2738568
1994 72780 119403 143390 215625 275252 388322 475247 449891 391468 210257 81058 103965 2926658
1995 93476 180192 223856 296405 328880 403856 476511 507855 430799 292021 143095 32494 3409427
1996 98236 118912 135883 161385 177693 295170 445709 439235 398898 276615 161931 32145 2741808
1997 -1600 22206 101497 133137 172817 315179 397434 429744 373515 205482 10923 -21804 2138518
1998 32075 -27615 178308 243663 246011 266204 397902 397742 377696 250409 45370 59825 2467575
1999 21299 21071 66314 127224 174309 260211 422832 358672 385866 185232 1683 52139 2076852
2000 50975 33646 51612 78194 124854 324873 376297 359627 304818 148813 53559 -19069 1888187
2001 -21696 38901 91836 180165 155566 266208 373335 359407 294766 214133 51932 -25992 1978547
2002 8013 16769 54169 105557 187233 220495 358438 301164 265768 192226 35343 22927 1768098
2003 -14250 -29062 109657 136965 202852 239119 343760 334417 297558 121376 16643 -16017 1743015
2004 -22665 17617 73318 114424 162571 215294 311665 356837 277007 232367 29572 -41550 1726454
2005 -7514 108852 318459 172655 235165 322330 343329 350597 234649 117280 31540 97771 2325115
2006 8880 43290 145655 111612 154091 229395 364336 343567 226716 63901 54795 -4260 1741980
2007 43990 44411 63034 149953 186289 248896 339617 342196 198273 87108 39547 11099 1754407
2008 4189 56530 105236 165461 206350 293840 353192 316301 254757 119667 6657 86275 1968444
2009 5661 -532 93864 166169 184899 327648 334668 277839 171336 122782 44315 -3334 1725295
2010 -20056 91917 149621 170768 192941 207555 358468 337143 173244 94307 25576 -53746 1727732
2011 100345 27692 58214 140745 180625 224074 351374 348885 250169 111087 12864 -6065 1800019
2012 -6632 83 44779 131477 196879 301795 378893 293393 216909 241716 6087 5953 1811324
2013 87960 51442 72883 176266 210739 298834 345076 277133 181671 72694 15376 35896 1825979
2014 105177 67031 93850 168478 208196 305753 355577 283042 205118 145442 61536 36929 2036125
2015 -6203 118676 182741 201320 270293 358136 341747 298115 165365 163448 96647 48792 2239073
2016 -32816 83532 147734 140079 203082 345261 385305 325873 204738 130323 41776 4443 1979362
2017 4192 88424 130830 166911 195010 360247 377574 345539 228080 160806 71920 13486 2142982
2018 73148 43532 101421 144124 210445 347457 386360 421511 201476 22624 10849 3693 1966634
2019 50260 -27874 149825 164585 201215 312218 387181 340073 198318 125871 5688 45066 1952426
2020 72680 86232 127298 154868 223816 348239 425700 381343 184280 104783 69292 11594 2190106
2021 20716 88935 106688 189832 236528 376553 400120 381876 253994 124506 69141 35420 2284242
2022 64460 63939 111580 165057 241586 347297 410236 365351 281836 160910 106494 47878 2366616
2023 84820 118851 119595 131432 209330 336101 441301 383255 272234 186609 126781 108367 2518662
2024 84145 86083 75441 122967 201894 342951 426156 381161 255906 176588 131802 119999 2405081
