Year January February March April May June July August September October November December Total
1971 130937 152893 239756 283514 319382 353671 398798 369729 328409 218697 152539 112795 3061116
1972 143059 169452 260756 309686 345054 373529 431228 409266 359200 224123 157832 120307 3303484
1973 143793 158636 243940 322107 364820 408044 455563 436034 383040 262916 168519 134115 3481525
1974 145768 183139 275251 336857 380457 419985 465145 446232 388822 258156 178120 134904 3612842
1975 163219 189748 291234 353738 406615 450014 502544 488355 420825 291187 188413 143867 3889761
1976 156261 174511 280023 332471 376501 420372 471142 454944 390158 270228 182188 140880 3649673
1977 150756 186051 282374 340675 383182 424237 476710 453314 395732 272394 184652 140928 3690996
1978 132797 157118 246342 333548 380782 422222 462959 439066 387347 261398 161030 117004 3501620
1979 137332 192333 282393 368888 414481 463003 515080 474716 423301 288768 191981 145855 3898125
1980 146518 171048 308860 389012 445490 491523 537430 502948 435217 300680 201097 152454 4082281
1981 172232 200907 302212 379274 426756 475240 526929 510929 442878 302076 198678 158107 4096213
1982 144597 172240 263978 336230 372882 419387 460730 435895 383050 271182 170107 128929 3559206
1983 158660 186002 277883 365120 428517 465222 509366 470474 406408 284429 196174 144830 3893088
1984 155728 183884 278076 327813 380749 416666 451005 432690 379576 264775 176981 118624 3566574
1985 168487 188750 249800 299059 313474 558282 591559 484348 503311 327361 176412 164532 4025374
1986 187523 182814 318684 314549 459016 419683 468564 440955 429038 296496 223625 163827 3904780
1987 200627 179427 275563 265768 333786 411447 440190 434824 404855 229041 173105 56684 3405314
1988 48991 134137 206435 307279 300219 349310 424082 461101 449735 262472 219494 149921 3313173
1989 112246 144066 156959 222720 288345 317560 377218 383132 410265 301846 175836 83545 2973737
1990 57730 98654 121653 210131 248325 301437 375571 429943 467291 316541 166684 62825 2856773
1991 71012 191068 223364 282945 326816 331585 439971 440160 426677 316268 168719 92418 3311003
1992 77490 135779 248915 418945 418734 425573 440464 434241 382087 284287 238555 63656 3568741
1993 72273 187822 268147 303843 296638 353883 419122 453614 453827 299572 116861 48193 3273790
1994 97322 142826 178333 263413 336015 454456 541866 509998 443349 249609 109669 129124 3455980
1995 111942 201691 257946 343946 392133 473460 543643 566803 480954 333259 173642 57921 3937327
1996 123899 143155 174067 205303 232316 358711 508061 495247 445469 312750 189218 57514 3245706
1997 17519 46428 136068 177140 234640 383871 461590 490600 425889 248824 42710 5626 2670893
1998 58331 -7932 216130 293682 312648 337590 464272 460654 431741 291391 76075 87656 3022223
1999 45134 45933 100783 168137 238560 326407 487337 419428 438715 226231 31349 78325 2606339
2000 74149 55430 83052 119481 182948 389612 439066 415442 355272 180749 85217 4814 2385220
2001 436 64071 125528 228302 218033 335239 438932 419012 345136 254520 80924 -1634 2508485
2002 32973 41931 86318 149266 245889 284720 419472 356082 314466 229192 62853 45117 2268275
2003 9695 -10336 143091 183867 263231 304863 406747 392575 349257 160064 46310 7481 2256842
2004 2626 39904 105252 161644 221472 279287 374272 413896 325170 263259 57152 -19890 2224041
2005 9572 127863 357971 223521 303718 394076 409251 409824 288047 155830 63378 123642 2866695
2006 31821 67617 178993 158303 211960 295249 428319 401696 277608 100816 86667 19043 2258094
2007 67292 66645 93876 196882 243604 312007 399995 401678 247817 128479 68223 29140 2255632
2008 24446 80659 139292 208713 263100 358260 417256 376360 304978 159266 36098 106964 2475381
2009 28786 21274 129355 209969 242382 395777 396759 335788 219279 160288 73536 18675 2231848
2010 -2258 113018 184589 217366 254282 276629 421034 398772 222785 130845 56453 -36363 2237146
2011 128114 49866 97705 190142 246683 295219 417569 410188 302642 152600 46736 17574 2355048
2012 17360 25950 81716 179135 257241 369118 442399 356170 269406 282301 36798 28376 2345962
2013 112352 79097 109851 222043 271140 370039 406832 337499 236620 114494 42017 60849 2362842
2014 127794 90931 128010 213172 268008 375374 420002 342539 255768 188395 92763 59295 2562047
2015 15518 142662 220273 251906 340939 436161 413682 363987 222934 207316 131016 75583 2821973
2016 -17290 102134 176459 177347 254207 405098 446314 380699 251354 166419 64436 19803 2427012
2017 19056 105744 162633 207848 248414 420932 435898 404117 276130 197796 99136 34639 2612293
2018 89813 60744 126171 181688 260489 402961 440523 475236 246556 49367 33592 22613 2389775
2019 63923 -15413 173121 201749 246018 369714 447883 397090 243115 158576 22304 60588 2368684
2020 90192 102390 149438 193337 279880 405318 485831 440217 230605 141673 94030 29701 2642599
2021 35533 106521 130722 225275 286825 435134 454135 437876 300798 154525 93923 50973 2712187
2022 82622 82416 137181 201719 290684 403145 467796 418945 328920 193105 129159 64925 2800628
2023 98534 135242 140341 167259 260965 393897 505352 440636 319081 221827 150817 128140 2962096
2024 100427 101364 100155 159888 254029 402047 486325 439804 304096 212512 157051 141661 2859361
