Year January February March April May June July August September October November December Total
1971 4837 4892 6648 8270 10766 11559 10138 8158 8174 5995 7502 5022 91961
1972 7068 7607 9534 10057 11561 11406 10780 9643 9007 3748 5656 3033 99100
1973 4642 4593 5763 8226 10539 15644 14154 13356 11195 9266 6691 5141 109210
1974 3230 5025 8826 12179 15102 16700 12995 11822 10702 7001 6684 4498 114764
1975 4057 4540 9129 12781 16157 18234 15605 14285 11835 10428 6560 4316 127927
1976 4308 5298 9672 12353 15223 16739 13515 13514 11874 9749 7539 5252 125036
1977 3753 4970 7505 10524 14846 15607 12765 12076 10744 8285 6147 4452 111674
1978 3285 4984 6639 11018 15628 17576 15441 13231 12307 9510 5725 3750 119094
1979 2940 5040 6515 9938 12885 17333 17010 15164 14322 10539 7638 6007 125331
1980 3320 3940 7617 11238 15429 20489 18258 16955 14950 10882 7954 6246 137278
1981 7147 7119 8179 13176 16499 17874 15157 14184 12872 9654 7054 6153 135068
1982 4605 5609 8063 12855 15316 17278 15496 13521 12984 11264 7144 5167 129302
1983 5476 5901 7448 11085 15401 19598 17189 15932 13254 9223 7125 5041 132673
1984 6657 9118 11373 14505 18672 20083 17047 15231 14030 11359 9199 5121 152395
1985 5603 6381 8354 12373 17911 19634 18120 16899 15224 11775 8747 7284 148305
1986 6748 6729 9390 11981 18175 19718 16785 14977 14644 10939 8523 6277 144886
1987 5553 6951 11450 12256 17546 18764 17297 15475 15305 11137 8911 6241 146886
1988 5390 5647 9436 12547 17321 18768 19518 16424 15310 11236 9355 5750 146702
1989 4943 6454 10477 15085 17426 17216 15483 15200 13710 11559 9293 6470 143316
1990 5681 5204 8508 13383 16187 17288 15734 14717 12743 10098 5619 4044 129206
1991 5003 6882 7720 11732 16262 17551 16016 13749 12693 9930 6441 4575 128554
1992 5228 6594 9743 13449 16142 21353 18538 14824 15389 12145 10595 5714 149714
1993 4621 7543 9011 13725 17423 19632 18982 15888 15822 12410 10767 9491 155315
1994 8387 7493 12039 15962 19691 20332 19129 17599 16452 12794 9125 9842 168845
1995 7137 6536 8506 12623 17578 18000 17391 15125 13321 13338 9726 7934 147215
1996 8944 7918 11020 12749 15314 18594 16949 15092 12931 11151 9011 8376 148049
1997 6049 7972 9695 13045 17413 20244 19009 17325 15344 13206 11475 8341 159118
1998 9115 8078 11996 15498 19571 20445 16867 16421 15154 12934 9962 9264 165305
1999 8711 9000 11452 12543 18272 18799 17767 17103 16807 13825 9763 9351 163393
2000 7436 7526 7718 11066 15935 19633 17649 14997 14551 9064 9463 7710 142748
2001 7905 7401 8880 13234 17387 19720 17953 16615 15494 12628 8419 6708 152344
2002 7171 8355 10430 12493 16584 18022 16248 15227 13268 10995 9302 6278 144373
2003 7311 5692 8183 13954 16298 18277 17947 15412 14003 10618 8207 7827 143729
2004 7858 7808 9081 12784 15789 17657 16982 15263 13020 10281 8176 6704 141403
2005 5267 5079 9725 13374 17396 19031 17343 15340 14734 11718 9148 8875 147030
2006 8137 7507 9377 12502 14901 18165 16923 15030 14499 10859 9147 7276 144323
2007 6945 7197 8236 13003 16467 18349 16134 16615 13693 12100 7866 4543 141148
2008 5703 7445 10435 12887 16368 18437 16651 16105 14814 12117 9604 6638 147204
2009 7096 6886 9458 9332 13757 18702 15744 15024 12683 10777 8898 7101 135458
2010 4649 7348 10466 11895 17657 20142 16953 17284 14656 11679 9389 6888 149006
2011 8751 7255 10140 12330 17031 19632 17217 16536 15051 12928 9970 6897 153738
2012 7281 7443 8712 10673 17108 18363 15319 15382 13426 11830 7935 6930 140402
2013 7730 8587 9545 12169 16246 20800 16734 16717 15446 12547 7716 8492 152729
2014 7583 7289 9310 12101 16211 18915 15911 13283 12329 10843 8386 6583 138744
2015 6059 6744 9079 11652 17741 20263 19435 17689 17247 12944 8379 7513 154745
2016 5333 5713 7122 8286 12140 15383 15585 13421 11835 9340 5489 4601 114247
2017 4492 5196 7390 9000 12155 15210 13751 14637 13187 10707 8762 7400 121882
2018 5493 4722 6780 8234 11403 13264 12458 12697 11279 6436 6647 5219 104635
2019 4400 3213 5962 8458 10442 13910 14616 13713 11258 9237 5021 5023 105266
2020 4697 4073 4967 8888 12318 13896 13595 14333 12191 9906 6897 5495 111252
2021 3805 4798 5633 7839 11055 13024 11101 12590 10735 8059 6768 3959 99384
2022 4682 5022 5821 8137 11101 13009 13581 12911 12340 7897 6866 4757 106126
2023 3754 4094 4961 7826 11276 13401 14806 12520 11557 9063 6325 5239 104825
2024 4731 4101 5255 8083 13086 14109 15540 14275 12486 9498 7379 5963 114505
