Year January February March April May June July August September October November December Total
1971 32 32 32 32 32 32 32 32 32 32 32 32 384
1972 33 33 33 33 33 33 33 33 33 33 33 33 396
1973 35 35 35 35 35 35 35 35 35 35 35 35 420
1974 34 34 34 34 34 34 34 34 34 34 34 34 408
1975 37 37 37 37 37 37 37 37 37 37 37 37 444
1976 36 36 36 36 36 36 36 36 36 36 36 36 432
1977 36 36 36 36 36 36 36 36 36 36 36 36 432
1978 39 39 39 39 39 39 39 39 39 39 39 39 468
1979 34 34 34 34 34 34 34 34 34 34 34 34 408
1980 35 35 35 35 35 35 35 35 35 35 35 35 420
1981 32 32 32 32 32 32 32 32 32 32 32 32 384
1982 51 51 51 51 51 51 51 51 51 51 51 51 612
1983 49 49 49 49 49 49 49 49 49 49 49 49 588
1984 54 54 54 54 54 54 54 54 54 54 54 54 648
1985 51 51 51 51 51 51 51 51 51 51 51 51 612
1986 51 51 51 51 51 51 51 51 51 51 51 51 612
1987 51 51 51 51 51 51 51 51 51 51 51 51 612
1988 48 48 48 48 48 48 48 48 48 48 48 48 576
1989 49 49 49 49 49 49 49 49 49 49 49 49 588
1990 51 51 51 51 51 51 51 51 51 51 51 51 612
1991 50 50 50 50 50 50 50 50 50 50 50 50 600
1992 52 52 52 52 52 52 52 52 52 52 52 52 624
1993 51 51 51 51 51 51 51 51 51 51 51 51 612
1994 50 50 50 50 50 50 50 50 50 50 50 50 600
1995 52 52 52 52 52 52 52 52 52 52 52 52 624
1996 55 55 55 55 55 55 55 55 55 55 55 55 660
1997 56 56 56 56 56 56 56 56 56 56 56 56 672
1998 51 51 51 51 51 51 51 51 51 51 51 51 612
1999 33 33 33 33 33 33 33 33 33 33 33 33 396
2000 33 33 33 33 33 33 33 33 33 33 33 33 396
2001 31 31 31 31 31 31 31 31 31 31 31 31 372
2002 28 28 28 28 28 28 28 28 28 28 28 28 336
2003 30 30 30 30 30 30 30 30 30 30 30 30 360
2004 28 28 28 28 28 28 28 28 28 28 28 28 336
2005 29 29 29 29 29 29 29 29 29 29 29 29 348
2006 49 49 49 49 49 49 49 49 49 49 49 49 588
2007 32 32 32 32 32 32 32 32 32 32 32 32 384
2008 26 26 26 26 26 26 26 26 26 26 26 26 312
2009 27 27 27 27 27 27 27 27 27 27 27 27 324
2010 28 28 28 28 28 28 28 28 28 28 28 28 336
2011 26 26 26 26 26 26 26 26 26 26 26 26 312
2012 25 25 25 25 25 25 25 25 25 25 25 25 300
2013 24 24 24 24 24 24 24 24 24 24 24 24 288
2014 27 27 27 27 27 27 27 27 27 27 27 27 324
2015 27 27 27 27 27 27 27 27 27 27 27 27 324
2016 27 27 27 27 27 27 27 27 27 27 27 27 332
2017 37 37 37 37 37 37 37 37 37 37 37 37 440
2018 37 37 37 37 37 37 37 37 37 37 37 37 448
2019 32 32 32 32 32 32 32 32 32 32 32 32 383
2020 24 24 24 24 24 24 24 24 24 24 24 24 289
2021 29 29 29 29 29 29 29 29 29 29 29 29 349
2022 27 27 27 27 27 27 27 27 27 27 27 27 325
2023 25 25 25 25 25 25 25 25 25 25 25 25 305
2024 29 29 29 29 29 29 29 29 29 29 29 29 348
