Year January February March April May June July August September October November December Total
1971 12 12 12 12 12 12 12 12 12 12 12 12 144
1972 18 18 18 18 18 18 18 18 18 18 18 18 216
1973 20 20 20 20 20 20 20 20 20 20 20 20 240
1974 20 20 20 20 20 20 20 20 20 20 20 20 240
1975 16 16 16 16 16 16 16 16 16 16 16 16 192
1976 17 17 17 17 17 17 17 17 17 17 17 17 204
1977 25 25 25 25 25 25 25 25 25 25 25 25 300
1978 29 29 29 29 29 29 29 29 29 29 29 29 348
1979 27 27 27 27 27 27 27 27 27 27 27 27 324
1980 41 41 41 41 41 41 41 41 41 41 41 41 492
1981 46 46 46 46 46 46 46 46 46 46 46 46 552
1982 25 25 25 25 25 25 25 25 25 25 25 25 300
1983 39 39 39 39 39 39 39 39 39 39 39 39 468
1984 32 32 32 32 32 32 32 32 32 32 32 32 384
1985 36 36 36 36 36 36 36 36 36 36 36 36 432
1986 37 37 37 37 37 37 37 37 37 37 37 37 444
1987 38 38 38 38 38 38 38 38 38 38 38 38 456
1988 38 38 38 38 38 38 38 38 38 38 38 38 456
1989 44 44 44 44 44 44 44 44 44 44 44 44 528
1990 37 37 37 37 37 37 37 37 37 37 37 37 444
1991 34 34 34 34 34 34 34 34 34 34 34 34 408
1992 31 31 31 31 31 31 31 31 31 31 31 31 372
1993 33 33 33 33 33 33 33 33 33 33 33 33 396
1994 33 33 33 33 33 33 33 33 33 33 33 33 396
1995 39 39 39 39 39 39 39 39 39 39 39 39 468
1996 38 38 38 38 38 38 38 38 38 38 38 38 456
1997 35 35 35 35 35 35 35 35 35 35 35 35 420
1998 36 36 36 36 36 36 36 36 36 36 36 36 432
1999 30 30 30 30 30 30 30 30 30 30 30 30 360
2000 32 32 32 32 32 32 32 32 32 32 32 32 384
2001 30 30 30 30 30 30 30 30 30 30 30 30 360
2002 21 21 21 21 21 21 21 21 21 21 21 21 252
2003 20 20 20 20 20 20 20 20 20 20 20 20 240
2004 17 17 17 17 17 17 17 17 17 17 17 17 204
2005 15 15 15 15 15 15 15 15 15 15 15 15 180
2006 17 17 17 17 17 17 17 17 17 17 17 17 204
2007 16 16 16 16 16 16 16 16 16 16 16 16 192
2008 15 15 15 15 15 15 15 15 15 15 15 15 180
2009 19 19 19 19 19 19 19 19 19 19 19 19 228
2010 30 30 30 30 30 30 30 30 30 30 30 30 360
2011 39 39 39 39 39 39 39 39 39 39 39 39 468
2012 43 43 43 43 43 43 43 43 43 43 43 43 516
2013 18 18 18 18 18 18 18 18 18 18 18 18 216
2014 18 18 18 18 18 18 18 18 18 18 18 18 216
2015 15 15 15 15 15 15 15 15 15 15 15 15 180
2016 27 27 27 27 27 27 27 27 27 27 27 27 324
2017 21 21 21 21 21 21 21 21 21 21 21 21 258
2018 28 28 28 28 28 28 28 28 28 28 28 28 343
2019 26 26 26 26 26 26 26 26 26 26 26 26 310
2020 18 18 18 18 18 18 18 18 18 18 18 18 213
2021 18 18 18 18 18 18 18 18 18 18 18 18 204
2022 14 14 14 14 14 14 14 14 14 14 14 14 158
2023 16 16 16 16 16 16 16 16 16 16 16 16 188
2024 15 15 15 15 15 15 15 15 15 15 15 15 186
