Year January February March April May June July August September October November December Total
1971 254 254 254 254 254 254 254 254 254 254 254 254 3048
1972 404 404 404 404 404 404 404 404 404 404 404 404 4848
1973 464 464 464 464 464 464 464 464 464 464 464 464 5568
1974 474 474 474 474 474 474 474 474 474 474 474 474 5688
1975 377 377 377 377 377 377 377 377 377 377 377 377 4524
1976 429 429 429 429 429 429 429 429 429 429 429 429 5148
1977 424 424 424 424 424 424 424 424 424 424 424 424 5088
1978 410 410 410 410 410 410 410 410 410 410 410 410 4920
1979 404 404 404 404 404 404 404 404 404 404 404 404 4848
1980 405 405 405 405 405 405 405 405 405 405 405 405 4860
1981 504 504 504 504 504 504 504 504 504 504 504 504 6048
1982 288 288 288 288 288 288 288 288 288 288 288 288 3456
1983 381 381 381 381 381 381 381 381 381 381 381 381 4572
1984 336 336 336 336 336 336 336 336 336 336 336 336 4032
1985 541 541 541 541 541 541 541 541 541 541 541 541 6492
1986 399 399 399 399 399 399 399 399 399 399 399 399 4788
1987 491 491 491 491 491 491 491 491 491 491 491 491 5892
1988 463 463 463 463 463 463 463 463 463 463 463 463 5556
1989 561 561 561 561 561 561 561 561 561 561 561 561 6732
1990 579 579 579 579 579 579 579 579 579 579 579 579 6948
1991 477 477 477 477 477 477 477 477 477 477 477 477 5724
1992 337 337 337 337 337 337 337 337 337 337 337 337 4044
1993 265 265 265 265 265 265 265 265 265 265 265 265 3180
1994 389 389 389 389 389 389 389 389 389 389 389 389 4668
1995 513 513 513 513 513 513 513 513 513 513 513 513 6156
1996 496 496 496 496 496 496 496 496 496 496 496 496 5952
1997 378 378 378 378 378 378 378 378 378 378 378 378 4536
1998 446 446 446 446 446 446 446 446 446 446 446 446 5352
1999 267 267 267 267 267 267 267 267 267 267 267 267 3204
2000 290 290 290 290 290 290 290 290 290 290 290 290 3480
2001 278 278 278 278 278 278 278 278 278 278 278 278 3336
2002 317 317 317 317 317 317 317 317 317 317 317 317 3804
2003 304 304 304 304 304 304 304 304 304 304 304 304 3648
2004 219 219 219 219 219 219 219 219 219 219 219 219 2628
2005 304 304 304 304 304 304 304 304 304 304 304 304 3648
2006 205 205 205 205 205 205 205 205 205 205 205 205 2460
2007 194 194 194 194 194 194 194 194 194 194 194 194 2328
2008 221 221 221 221 221 221 221 221 221 221 221 221 2652
2009 301 301 301 301 301 301 301 301 301 301 301 301 3612
2010 262 262 262 262 262 262 262 262 262 262 262 262 3144
2011 278 278 278 278 278 278 278 278 278 278 278 278 3336
2012 444 444 444 444 444 444 444 444 444 444 444 444 5328
2013 286 286 286 286 286 286 286 286 286 286 286 286 3432
2014 222 222 222 222 222 222 222 222 222 222 222 222 2664
2015 262 262 262 262 262 262 262 262 262 262 262 262 3144
2016 396 396 396 396 396 396 396 396 396 396 396 396 4751
2017 401 401 401 401 401 401 401 401 401 401 401 401 4810
2018 519 519 519 519 519 519 519 519 519 519 519 519 6232
2019 510 510 510 510 510 510 510 510 510 510 510 510 6116
2020 334 334 334 334 334 334 334 334 334 334 334 334 4009
2021 383 383 383 383 383 383 383 383 383 383 383 383 4593
2022 415 415 415 415 415 415 415 415 415 415 415 415 4982
2023 474 474 474 474 474 474 474 474 474 474 474 474 5683
2024 474 474 474 474 474 474 474 474 474 474 474 474 5683
