Year January February March April May June July August September October November December Total
1971 40 40 40 40 40 40 40 40 40 40 40 40 480
1972 64 64 64 64 64 64 64 64 64 64 64 64 768
1973 74 74 74 74 74 74 74 74 74 74 74 74 888
1974 75 75 75 75 75 75 75 75 75 75 75 75 900
1975 60 60 60 60 60 60 60 60 60 60 60 60 720
1976 68 68 68 68 68 68 68 68 68 68 68 68 816
1977 67 67 67 67 67 67 67 67 67 67 67 67 804
1978 65 65 65 65 65 65 65 65 65 65 65 65 780
1979 64 64 64 64 64 64 64 64 64 64 64 64 768
1980 64 64 64 64 64 64 64 64 64 64 64 64 768
1981 80 80 80 80 80 80 80 80 80 80 80 80 960
1982 67 67 67 67 67 67 67 67 67 67 67 67 804
1983 73 73 73 73 73 73 73 73 73 73 73 73 876
1984 38 38 38 38 38 38 38 38 38 38 38 38 456
1985 82 82 82 82 82 82 82 82 82 82 82 82 984
1986 62 62 62 62 62 62 62 62 62 62 62 62 744
1987 22 22 22 22 22 22 22 22 22 22 22 22 264
1988 29 29 29 29 29 29 29 29 29 29 29 29 348
1989 80 80 80 80 80 80 80 80 80 80 80 80 960
1990 50 50 50 50 50 50 50 50 50 50 50 50 600
1991 42 42 42 42 42 42 42 42 42 42 42 42 504
1992 27 27 27 27 27 27 27 27 27 27 27 27 324
1993 30 30 30 30 30 30 30 30 30 30 30 30 360
1994 48 48 48 48 48 48 48 48 48 48 48 48 576
1995 37 37 37 37 37 37 37 37 37 37 37 37 444
1996 68 68 68 68 68 68 68 68 68 68 68 68 816
1997 78 78 78 78 78 78 78 78 78 78 78 78 936
1998 68 68 68 68 68 68 68 68 68 68 68 68 816
1999 71 71 71 71 71 71 71 71 71 71 71 71 852
2000 86 86 86 86 86 86 86 86 86 86 86 86 1032
2001 53 53 53 53 53 53 53 53 53 53 53 53 636
2002 61 61 61 61 61 61 61 61 61 61 61 61 732
2003 38 38 38 38 38 38 38 38 38 38 38 38 456
2004 43 43 43 43 43 43 43 43 43 43 43 43 516
2005 30 30 30 30 30 30 30 30 30 30 30 30 360
2006 37 37 37 37 37 37 37 37 37 37 37 37 444
2007 52 52 52 52 52 52 52 52 52 52 52 52 624
2008 32 32 32 32 32 32 32 32 32 32 32 32 384
2009 38 38 38 38 38 38 38 38 38 38 38 38 456
2010 59 59 59 59 59 59 59 59 59 59 59 59 708
2011 72 72 72 72 72 72 72 72 72 72 72 72 864
2012 75 75 75 75 75 75 75 75 75 75 75 75 900
2013 74 74 74 74 74 74 74 74 74 74 74 74 888
2014 74 74 74 74 74 74 74 74 74 74 74 74 888
2015 55 55 55 55 55 55 55 55 55 55 55 55 660
2016 61 61 61 61 61 61 61 61 61 61 61 61 737
2017 56 56 56 56 56 56 56 56 56 56 56 56 669
2018 67 67 67 67 67 67 67 67 67 67 67 67 809
2019 61 61 61 61 61 61 61 61 61 61 61 61 731
2020 67 67 67 67 67 67 67 67 67 67 67 67 803
2021 66 66 66 66 66 66 66 66 66 66 66 66 798
2022 67 67 67 67 67 67 67 67 67 67 67 67 805
2023 56 56 56 56 56 56 56 56 56 56 56 56 667
2024 55 55 55 55 55 55 55 55 55 55 55 55 663
