Year January February March April May June July August September October November December Total
1971 118 118 118 118 118 118 118 118 118 118 118 118 1416
1972 114 114 114 114 114 114 114 114 114 114 114 114 1368
1973 125 125 125 125 125 125 125 125 125 125 125 125 1500
1974 133 133 133 133 133 133 133 133 133 133 133 133 1596
1975 127 127 127 127 127 127 127 127 127 127 127 127 1524
1976 136 136 136 136 136 136 136 136 136 136 136 136 1632
1977 128 128 128 128 128 128 128 128 128 128 128 128 1536
1978 122 122 122 122 122 122 122 122 122 122 122 122 1464
1979 130 130 130 130 130 130 130 130 130 130 130 130 1560
1980 156 156 156 156 156 156 156 156 156 156 156 156 1872
1981 131 131 131 131 131 131 131 131 131 131 131 131 1572
1982 146 146 146 146 146 146 146 146 146 146 146 146 1752
1983 134 134 134 134 134 134 134 134 134 134 134 134 1608
1984 143 143 143 143 143 143 143 143 143 143 143 143 1716
1985 136 136 136 136 136 136 136 136 136 136 136 136 1632
1986 138 138 138 138 138 138 138 138 138 138 138 138 1656
1987 145 145 145 145 145 145 145 145 145 145 145 145 1740
1988 134 134 134 134 134 134 134 134 134 134 134 134 1608
1989 165 165 165 165 165 165 165 165 165 165 165 165 1980
1990 144 144 144 144 144 144 144 144 144 144 144 144 1728
1991 139 139 139 139 139 139 139 139 139 139 139 139 1668
1992 140 140 140 140 140 140 140 140 140 140 140 140 1680
1993 144 144 144 144 144 144 144 144 144 144 144 144 1728
1994 146 146 146 146 146 146 146 146 146 146 146 146 1752
1995 163 163 163 163 163 163 163 163 163 163 163 163 1956
1996 147 147 147 147 147 147 147 147 147 147 147 147 1764
1997 142 142 142 142 142 142 142 142 142 142 142 142 1704
1998 154 154 154 154 154 154 154 154 154 154 154 154 1848
1999 160 160 160 160 160 160 160 160 160 160 160 160 1920
2000 155 155 155 155 155 155 155 155 155 155 155 155 1860
2001 161 161 161 161 161 161 161 161 161 161 161 161 1932
2002 144 144 144 144 144 144 144 144 144 144 144 144 1728
2003 202 202 202 202 202 202 202 202 202 202 202 202 2424
2004 180 180 180 180 180 180 180 180 180 180 180 180 2160
2005 141 141 141 141 141 141 141 141 141 141 141 141 1692
2006 130 130 130 130 130 130 130 130 130 130 130 130 1560
2007 129 129 129 129 129 129 129 129 129 129 129 129 1548
2008 138 138 138 138 138 138 138 138 138 138 138 138 1656
2009 150 150 150 150 150 150 150 150 150 150 150 150 1800
2010 133 133 133 133 133 133 133 133 133 133 133 133 1596
2011 150 150 150 150 150 150 150 150 150 150 150 150 1800
2012 159 159 159 159 159 159 159 159 159 159 159 159 1908
2013 136 136 136 136 136 136 136 136 136 136 136 136 1632
2014 138 138 138 138 138 138 138 138 138 138 138 138 1656
2015 130 130 130 130 130 130 130 130 130 130 130 130 1560
2016 103 108 115 117 122 122 118 110 104 110 102 97 1337
2017 85 103 124 135 146 141 123 118 122 119 111 105 1430
2018 21 10 45 64 80 74 46 46 32 14 25 7 469
2019 13 17 36 60 73 81 63 50 28 36 -16 2 444
2020 15 15 33 65 80 80 61 63 48 34 21 15 528
2021 14 25 45 63 79 79 38 42 29 33 27 10 481
2022 32 44 55 69 81 53 62 32 48 20 40 24 557
2023 150 156 163 171 171 178 173 164 159 160 156 151 1949
2024 133 135 145 155 162 159 150 149 151 145 138 139 1760
