Year January February March April May June July August September October November December Total
1971 1463 1463 1463 1463 1463 1463 1463 1463 1463 1463 1463 1463 17552
1972 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 19540
1973 1775 1775 1775 1775 1775 1775 1775 1775 1775 1775 1775 1775 21298
1974 1944 1944 1944 1944 1944 1944 1944 1944 1944 1944 1944 1944 23334
1975 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 21182
1976 1938 1938 1938 1938 1938 1938 1938 1938 1938 1938 1938 1938 23250
1977 1792 1792 1792 1792 1792 1792 1792 1792 1792 1792 1792 1792 21495
1978 1938 1938 1938 1938 1938 1938 1938 1938 1938 1938 1938 1938 23263
1979 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 16962
1980 1839 1839 1839 1839 1839 1839 1839 1839 1839 1839 1839 1839 22072
1981 1912 1912 1912 1912 1912 1912 1912 1912 1912 1912 1912 1912 22939
1982 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634 19607
1983 1529 1529 1529 1529 1529 1529 1529 1529 1529 1529 1529 1529 18351
1984 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 17983
1985 1594 1594 1594 1594 1594 1594 1594 1594 1594 1594 1594 1594 19127
1986 1499 1499 1499 1499 1499 1499 1499 1499 1499 1499 1499 1499 17994
1987 1443 1443 1443 1443 1443 1443 1443 1443 1443 1443 1443 1443 17313
1988 1369 1369 1369 1369 1369 1369 1369 1369 1369 1369 1369 1369 16425
1989 1750 1750 1750 1750 1750 1750 1750 1750 1750 1750 1750 1750 20999
1990 1678 1678 1678 1678 1678 1678 1678 1678 1678 1678 1678 1678 20124
1991 1559 1559 1559 1559 1559 1559 1559 1559 1559 1559 1559 1559 18708
1992 1256 1256 1256 1256 1256 1256 1256 1256 1256 1256 1256 1256 15087
1993 1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 16615
1994 1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 16620
1995 1693 1693 1693 1693 1693 1693 1693 1693 1693 1693 1693 1693 20303
1996 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 18920
1997 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 18996
1998 1806 1806 1806 1806 1806 1806 1806 1806 1806 1806 1806 1806 21657
1999 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 18960
2000 1687 1687 1687 1687 1687 1687 1687 1687 1687 1687 1687 1687 20232
2001 1378 1378 1378 1378 1378 1378 1378 1378 1378 1378 1378 1378 16522
2002 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 18956
2003 1770 1770 1770 1770 1770 1770 1770 1770 1770 1770 1770 1770 21237
2004 1574 1574 1574 1574 1574 1574 1574 1574 1574 1574 1574 1574 18885
2005 1591 1591 1591 1591 1591 1591 1591 1591 1591 1591 1591 1591 19094
2006 1258 1258 1258 1258 1258 1258 1258 1258 1258 1258 1258 1258 15098
2007 1319 1319 1319 1319 1319 1319 1319 1319 1319 1319 1319 1319 15822
2008 1148 1148 1148 1148 1148 1148 1148 1148 1148 1148 1148 1148 13765
2009 1557 1557 1557 1557 1557 1557 1557 1557 1557 1557 1557 1557 18664
2010 1502 1502 1502 1502 1502 1502 1502 1502 1502 1502 1502 1502 18018
2011 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 1580 18970
2012 1992 1992 1992 1992 1992 1992 1992 1992 1992 1992 1992 1992 23896
2013 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 17973
2014 1483 1483 1483 1483 1483 1483 1483 1483 1483 1483 1483 1483 17792
2015 1502 1502 1502 1502 1502 1502 1502 1502 1502 1502 1502 1502 18020
2016 1709 1714 1721 1723 1728 1728 1724 1716 1710 1716 1708 1703 20620
2017 1935 1953 1974 1985 1996 1991 1973 1968 1972 1969 1961 1955 23628
2018 1845 1834 1869 1888 1904 1898 1870 1870 1856 1838 1849 1831 22379
2019 1539 1543 1562 1586 1599 1607 1589 1576 1554 1562 1510 1528 18751
2020 1618 1618 1636 1668 1683 1683 1664 1666 1651 1637 1624 1618 19764
2021 1359 1370 1390 1408 1424 1424 1383 1387 1374 1378 1372 1355 16610
2022 1255 1267 1278 1292 1304 1276 1285 1255 1271 1243 1263 1247 15244
2023 1879 1885 1892 1900 1900 1907 1902 1893 1888 1889 1885 1880 22689
2024 1996 1998 2008 2018 2025 2022 2013 2012 2014 2008 2001 2002 24125
