Year January February March April May June July August September October November December Total
1971 46 46 46 46 46 46 46 46 46 46 46 46 552
1972 40 40 40 40 40 40 40 40 40 40 40 40 480
1973 58 58 58 58 58 58 58 58 58 58 58 58 696
1974 48 48 48 48 48 48 48 48 48 48 48 48 576
1975 38 38 38 38 38 38 38 38 38 38 38 38 456
1976 48 48 48 48 48 48 48 48 48 48 48 48 576
1977 50 50 50 50 50 50 50 50 50 50 50 50 600
1978 41 41 41 41 41 41 41 41 41 41 41 41 492
1979 52 52 52 52 52 52 52 52 52 52 52 52 624
1980 61 61 61 61 61 61 61 61 61 61 61 61 732
1981 51 51 51 51 51 51 51 51 51 51 51 51 612
1982 42 42 42 42 42 42 42 42 42 42 42 42 504
1983 40 40 40 40 40 40 40 40 40 40 40 40 480
1984 42 42 42 42 42 42 42 42 42 42 42 42 504
1985 32 32 32 32 32 32 32 32 32 32 32 32 384
1986 32 32 32 32 32 32 32 32 32 32 32 32 384
1987 43 43 43 43 43 43 43 43 43 43 43 43 516
1988 38 38 38 38 38 38 38 38 38 38 38 38 456
1989 49 49 49 49 49 49 49 49 49 49 49 49 588
1990 38 38 38 38 38 38 38 38 38 38 38 38 456
1991 44 44 44 44 44 44 44 44 44 44 44 44 528
1992 42 42 42 42 42 42 42 42 42 42 42 42 504
1993 44 44 44 44 44 44 44 44 44 44 44 44 528
1994 52 52 52 52 52 52 52 52 52 52 52 52 624
1995 57 57 57 57 57 57 57 57 57 57 57 57 684
1996 50 50 50 50 50 50 50 50 50 50 50 50 600
1997 46 46 46 46 46 46 46 46 46 46 46 46 552
1998 49 49 49 49 49 49 49 49 49 49 49 49 588
1999 55 55 55 55 55 55 55 55 55 55 55 55 660
2000 56 56 56 56 56 56 56 56 56 56 56 56 672
2001 42 42 42 42 42 42 42 42 42 42 42 42 504
2002 51 51 51 51 51 51 51 51 51 51 51 51 612
2003 54 54 54 54 54 54 54 54 54 54 54 54 648
2004 34 34 34 34 34 34 34 34 34 34 34 34 408
2005 44 44 44 44 44 44 44 44 44 44 44 44 528
2006 42 42 42 42 42 42 42 42 42 42 42 42 504
2007 45 45 45 45 45 45 45 45 45 45 45 45 540
2008 51 51 51 51 51 51 51 51 51 51 51 51 612
2009 50 50 50 50 50 50 50 50 50 50 50 50 600
2010 48 48 48 48 48 48 48 48 48 48 48 48 576
2011 49 49 49 49 49 49 49 49 49 49 49 49 588
2012 54 54 54 54 54 54 54 54 54 54 54 54 648
2013 46 46 46 46 46 46 46 46 46 46 46 46 552
2014 47 47 47 47 47 47 47 47 47 47 47 47 564
2015 38 38 38 38 38 38 38 38 38 38 38 38 456
2016 44 44 44 44 44 44 44 44 44 44 44 44 528
2017 46 46 46 46 46 46 46 46 46 46 46 46 547
2018 46 46 46 46 46 46 46 46 46 46 46 46 553
2019 43 43 43 43 43 43 43 43 43 43 43 43 515
2020 50 50 50 50 50 50 50 50 50 50 50 50 600
2021 46 46 46 46 46 46 46 46 46 46 46 46 552
2022 37 37 37 37 37 37 37 37 37 37 37 37 446
2023 51 51 51 51 51 51 51 51 51 51 51 51 608
2024 47 47 47 47 47 47 47 47 47 47 47 47 562
