Year January February March April May June July August September October November December Total
1971 4 12 22 40 56 63 59 54 37 27 13 4 391
1972 5 13 24 44 62 70 65 60 40 30 15 5 433
1973 5 14 24 45 62 71 66 61 41 31 15 5 440
1974 5 14 24 45 62 71 66 61 41 31 15 5 440
1975 9 20 33 57 76 88 80 73 52 38 21 9 556
1976 9 20 33 57 76 88 80 73 52 38 21 9 556
1977 9 20 33 57 76 88 80 73 52 38 21 9 556
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 2 3 5 6 8 9 7 6 6 4 3 2 61
1983 2 3 5 6 8 9 7 6 6 4 3 2 61
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 3 6 8 21 21 14 13 6 3 2 97
1986 9 2 19 30 14 44 28 46 44 19 1 10 266
1987 1 3 7 5 8 7 3 6 4 6 0 0 50
1988 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 10 13 11 15 26 25 19 12 7 3 0 141
1992 0 0 8 20 49 46 33 24 21 21 11 4 237
1993 1 3 8 23 48 37 37 37 32 21 16 6 269
1994 2 2 3 3 2 4 3 1 3 2 2 2 29
1995 1 1 3 3 3 3 3 3 2 2 2 2 28
1996 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 2 3 2 1 3 5 4 3 4 2 2 2 33
1998 3 2 4 4 5 6 4 3 4 2 2 2 41
1999 1 1 3 3 5 3 4 4 4 2 2 2 34
2000 1 1 1 4 5 6 3 3 2 1 2 1 30
2001 1 2 3 4 4 6 5 3 3 2 1 1 35
2002 2 4 8 10 7 4 6 7 3 4 2 1 58
2003 3 2 3 15 14 12 13 16 11 5 5 3 102
2004 9 12 15 26 21 18 22 29 15 15 9 0 191
2005 1 1 24 90 122 64 64 63 72 54 15 8 578
2006 2 5 13 17 29 43 29 30 23 9 4 2 206
2007 14 34 19 57 69 94 128 73 36 32 8 5 569
2008 6 8 33 87 106 166 164 134 100 70 26 2 902
2009 1 2 8 14 58 94 55 38 44 24 19 1 358
2010 1 22 57 67 184 267 216 225 108 88 11 10 1256
2011 22 8 5 2 45 67 40 61 60 31 21 6 368
2012 1 1 4 3 3 6 4 2 1 1 1 1 28
2013 2 2 3 4 3 4 4 5 3 2 2 1 35
2014 1 2 4 6 10 13 10 8 6 6 4 3 73
2015 1 1 2 2 4 5 4 4 4 3 1 0 31
2016 0 2 3 2 9 9 8 10 9 6 0 0 58
2017 0 5 5 7 23 41 63 75 52 27 27 14 339
2018 5 1 1 0 1 4 17 15 12 1 0 0 58
2019 0 0 8 29 33 62 52 55 54 9 0 0 303
2020 1 6 4 17 36 22 48 58 23 4 3 1 222
2021 0 2 0 1 2 8 9 13 7 2 0 0 44
2022 5 7 6 7 7 13 36 64 40 14 8 0 209
2023 0 6 13 11 18 30 45 45 33 7 0 0 209
2024 1 7 11 13 24 34 44 34 20 10 2 11 210
