Year January February March April May June July August September October November December Total
1971 24 25 25 25 25 25 25 25 24 24 24 24 295
1972 24 25 25 25 25 25 25 25 24 24 24 24 295
1973 24 25 25 25 25 25 25 25 24 24 24 24 295
1974 24 25 25 25 25 25 25 25 24 24 24 24 295
1975 24 25 25 25 25 25 25 25 24 24 24 24 295
1976 25 27 27 27 27 27 27 27 25 25 25 25 314
1977 25 27 27 27 27 27 27 27 25 25 25 25 314
1978 27 28 28 28 28 28 28 28 27 27 27 27 331
1979 28 29 29 29 29 29 29 29 28 28 28 28 343
1980 29 30 30 30 30 30 30 30 29 29 29 29 355
1981 29 32 32 32 32 32 32 32 29 29 29 29 369
1982 31 33 33 33 33 33 33 33 31 31 31 31 386
1983 29 32 32 32 32 32 32 32 29 29 29 29 369
1984 29 30 30 30 30 30 30 30 29 29 29 29 355
1985 28 29 29 29 29 29 29 29 28 28 28 28 343
1986 27 28 28 28 28 28 28 28 27 27 27 27 331
1987 25 27 27 27 27 27 27 27 25 25 25 25 314
1988 25 27 27 27 27 27 27 27 25 25 25 25 314
1989 24 25 25 25 25 25 25 25 24 24 24 24 295
1990 24 25 25 25 25 25 25 25 24 24 24 24 295
1991 24 25 25 25 25 25 25 25 24 24 24 24 295
1992 23 25 25 25 25 25 25 25 23 23 23 23 290
1993 22 23 23 23 23 23 23 23 22 22 22 22 271
1994 20 22 22 22 22 22 22 22 20 20 20 20 254
1995 19 20 20 20 20 20 20 20 19 19 19 19 235
1996 18 19 19 19 19 19 19 19 18 18 18 18 223
1997 16 18 18 18 18 18 18 18 16 16 16 16 206
1998 16 16 16 16 16 16 16 16 16 16 16 16 192
1999 15 16 16 16 16 16 16 16 15 15 15 15 187
2000 14 15 15 15 15 15 15 15 14 14 14 14 175
2001 13 14 14 14 14 14 14 14 13 13 13 13 163
2002 12 13 13 13 13 13 13 13 12 12 12 12 151
2003 14 15 15 15 15 15 15 15 14 14 14 14 175
2004 16 18 18 18 18 18 18 18 16 16 16 16 206
2005 18 19 19 19 19 19 19 19 18 18 18 18 223
2006 20 21 21 21 21 21 21 21 20 20 20 20 247
2007 23 24 24 24 24 24 24 24 23 23 23 23 283
2008 21 23 23 23 23 23 23 23 21 21 21 21 266
2009 20 21 21 21 21 21 21 21 20 20 20 20 247
2010 19 20 20 20 20 20 20 20 19 19 19 19 235
2011 19 19 19 19 19 19 19 19 19 19 19 19 228
2012 18 19 19 19 19 19 19 19 18 18 18 18 223
2013 18 19 19 19 19 19 19 19 18 18 18 18 223
2014 18 19 19 19 19 19 19 19 18 18 18 18 223
2015 18 19 19 19 19 19 19 19 18 18 18 18 223
2016 15 15 15 15 15 15 15 15 15 15 15 15 183
2017 17 17 17 17 17 17 17 17 17 17 17 17 198
2018 18 18 18 18 18 18 18 18 18 18 18 18 215
2019 19 19 19 19 19 19 19 19 19 19 19 19 232
2020 21 21 21 21 21 21 21 21 21 21 21 21 249
2021 22 22 22 22 22 22 22 22 22 22 22 22 265
2022 24 24 24 24 24 24 24 24 24 24 24 24 282
2023 24 24 24 24 24 24 24 24 24 24 24 24 282
2024 24 24 24 24 24 24 24 24 24 24 24 24 282
