Year January February March April May June July August September October November December Total
1971 375 352 455 500 644 725 778 745 641 540 462 410 6627
1972 386 364 473 520 667 751 802 768 657 554 474 417 6833
1973 394 368 478 525 674 757 810 775 664 559 478 421 6903
1974 397 372 483 531 683 769 825 792 681 575 492 436 7036
1975 412 386 504 555 716 807 867 833 718 607 521 461 7387
1976 437 412 536 592 759 853 911 873 748 631 538 476 7766
1977 447 419 545 597 768 863 922 884 758 639 546 482 7870
1978 453 425 552 607 781 878 942 905 777 656 562 497 8035
1979 468 441 573 632 810 910 973 933 799 673 575 507 8294
1980 478 448 582 639 818 918 979 936 801 673 574 506 8352
1981 476 445 577 633 812 911 975 933 800 674 577 509 8322
1982 478 449 582 640 821 922 986 944 809 681 582 513 8407
1983 482 454 588 646 829 933 997 955 819 690 590 520 8503
1984 490 460 597 656 844 949 1017 976 838 707 605 534 8673
1985 504 474 615 677 868 974 1041 995 852 718 612 540 8870
1986 508 476 618 677 869 976 1043 998 855 720 615 543 8898
1987 510 479 621 682 873 978 1043 995 850 716 609 536 8892
1988 503 471 608 666 855 959 1023 978 837 705 600 530 8735
1989 497 466 603 661 850 956 1023 979 840 708 605 535 8723
1990 503 472 612 673 867 977 1048 1005 864 730 624 553 8928
1991 521 491 638 703 905 1019 1093 1048 901 761 652 577 9309
1992 543 511 665 732 938 1054 1126 1078 924 777 663 585 9596
1993 551 516 669 735 944 1062 1136 1089 934 788 673 594 9691
1994 560 527 683 751 965 1086 1163 1115 957 808 691 610 9916
1995 575 540 702 772 992 1115 1194 1144 981 827 707 624 10173
1996 588 552 717 787 1012 1135 1214 1162 996 840 717 632 10352
1997 595 559 724 795 1022 1146 1228 1175 1007 848 725 640 10464
1998 603 565 733 805 1032 1160 1238 1185 1015 855 729 644 10564
1999 605 568 735 807 1037 1166 1247 1196 1023 863 737 651 10635
2000 613 575 746 820 1053 1181 1261 1207 1033 870 742 654 10755
2001 604 565 734 805 1031 1155 1233 1177 1006 847 721 635 10513
2002 585 547 709 778 994 1115 1190 1137 972 818 697 614 10156
2003 566 530 685 752 964 1081 1155 1106 946 798 680 600 9863
2004 554 520 673 738 946 1061 1133 1083 927 779 664 586 9664
2005 540 506 654 718 920 1033 1104 1055 904 761 649 573 9417
2006 529 496 641 705 902 1015 1082 1036 885 745 636 560 9232
2007 516 485 626 689 882 992 1061 1016 870 733 626 552 9048
2008 509 478 619 681 873 980 1047 1003 859 722 616 544 8931
2009 501 471 609 669 860 966 1032 990 848 714 611 539 8810
2010 497 467 605 665 854 960 1027 983 843 711 606 535 8753
2011 504 474 613 675 865 972 1038 993 851 715 610 539 8849
2012 506 475 615 675 868 974 1041 996 854 718 614 541 8877
2013 509 478 619 679 873 980 1046 1001 858 722 616 544 8925
2014 511 480 621 682 876 983 1052 1007 862 727 621 548 8970
2015 516 484 627 689 884 992 1059 1013 866 729 622 548 9029
2016 507 475 618 682 889 1009 1083 1027 886 744 609 539 9069
2017 503 471 613 678 882 1003 1074 1019 880 738 606 536 9001
2018 501 468 609 672 876 996 1067 1013 874 733 601 532 8942
2019 494 461 601 663 864 982 1053 999 861 722 593 525 8817
2020 501 468 609 674 877 998 1068 1014 875 734 602 532 8952
2021 495 461 602 663 866 984 1054 1000 864 723 595 525 8831
2022 485 453 591 651 851 966 1035 982 848 710 584 515 8672
2023 479 447 583 643 839 953 1021 968 837 701 575 509 8556
2024 478 447 582 642 837 952 1018 967 835 699 574 508 8540
