Year January February March April May June July August September October November December Total
1971 150 150 150 150 150 150 150 150 150 150 150 150 1800
1972 167 167 167 167 167 167 167 167 167 167 167 167 2004
1973 167 167 167 167 167 167 167 167 167 167 167 167 2004
1974 184 184 184 184 184 184 184 184 184 184 184 184 2208
1975 191 191 191 191 191 191 191 191 191 191 191 191 2292
1976 17 17 17 17 17 17 17 17 17 17 17 17 204
1977 33 33 33 33 33 33 33 33 33 33 33 33 396
1978 50 50 50 50 50 50 50 50 50 50 50 50 600
1979 58 58 58 58 58 58 58 58 58 58 58 58 696
1980 58 58 58 58 58 58 58 58 58 58 58 58 696
1981 100 100 100 100 100 100 100 100 100 100 100 100 1200
1982 100 100 100 100 100 100 100 100 100 100 100 100 1200
1983 100 100 100 100 100 100 100 100 100 100 100 100 1200
1984 100 100 100 100 100 100 100 100 100 100 100 100 1200
1985 470 470 470 470 470 470 470 470 470 470 470 470 5640
1986 382 382 382 382 382 382 382 382 382 382 382 382 4584
1987 294 294 294 294 294 294 294 294 294 294 294 294 3528
1988 206 206 206 206 206 206 206 206 206 206 206 206 2472
1989 118 118 118 118 118 118 118 118 118 118 118 118 1416
1990 30 30 30 30 30 30 30 30 30 30 30 30 360
1991 24 24 24 24 24 24 24 24 24 24 24 24 288
1992 19 19 19 19 19 19 19 19 19 19 19 19 228
1993 14 14 14 14 14 14 14 14 14 14 14 14 168
1994 8 8 8 8 8 8 8 8 8 8 8 8 96
1995 3 3 3 3 3 3 3 3 3 3 3 3 36
1996 2 2 2 2 2 2 2 2 2 2 2 2 24
1997 2 2 2 2 2 2 2 2 2 2 2 2 24
1998 1 1 1 1 1 1 1 1 1 1 1 1 12
1999 1 1 1 1 1 1 1 1 1 1 1 1 12
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 6 6 6 6 6 6 6 6 6 6 6 6 72
2002 13 13 13 13 13 13 13 13 13 13 13 13 156
2003 19 19 19 19 19 19 19 19 19 19 19 19 228
2004 25 25 25 25 25 25 25 25 25 25 25 25 300
2005 32 32 32 32 32 32 32 32 32 32 32 32 384
2006 26 26 26 26 26 26 26 26 26 26 26 26 312
2007 19 19 19 19 19 19 19 19 19 19 19 19 228
2008 13 13 13 13 13 13 13 13 13 13 13 13 156
2009 7 7 7 7 7 7 7 7 7 7 7 7 84
2010 1 1 1 1 1 1 1 1 1 1 1 1 12
2011 41 41 41 41 41 41 41 41 41 41 41 41 492
2012 80 80 80 80 80 80 80 80 80 80 80 80 960
2013 120 120 120 120 120 120 120 120 120 120 120 120 1440
2014 159 159 159 159 159 159 159 159 159 159 159 159 1908
2015 199 199 199 199 199 199 199 199 199 199 199 199 2388
2016 199 199 199 199 199 199 199 199 199 199 199 199 2388
2017 199 199 199 199 199 199 199 199 199 199 199 199 2388
2018 199 199 199 199 199 199 199 199 199 199 199 199 2388
2019 199 199 199 199 199 199 199 199 199 199 199 199 2388
2020 199 199 199 199 199 199 199 199 199 199 199 199 2388
2021 199 199 199 199 199 199 199 199 199 199 199 199 2388
2022 199 199 199 199 199 199 199 199 199 199 199 199 2388
2023 199 199 199 199 199 199 199 199 199 199 199 199 2388
2024 199 199 199 199 199 199 199 199 199 199 199 199 2388
