Year January February March April May June July August September October November December Total
1971 21 27 55 72 99 106 86 34 37 11 18 -1 565
1972 23 35 60 78 97 84 86 54 50 -31 11 5 552
1973 13 15 24 70 80 97 79 71 60 46 20 19 594
1974 -1 31 52 75 100 106 73 57 52 -8 24 15 576
1975 12 17 38 68 96 105 65 71 19 47 18 10 566
1976 21 23 48 75 85 102 66 59 51 38 23 20 611
1977 6 28 50 71 96 99 62 51 44 38 16 16 577
1978 5 11 22 76 82 101 89 66 56 29 -12 -8 517
1979 -13 23 43 73 70 93 92 62 62 37 8 4 554
1980 -8 -4 42 69 94 105 87 63 43 42 26 12 571
1981 19 25 18 66 92 100 53 63 43 32 22 20 553
1982 -3 10 37 78 85 106 76 29 42 45 2 -4 503
1983 2 21 26 70 93 102 64 54 37 19 13 -1 500
1984 20 35 36 64 98 99 76 41 23 14 19 -7 518
1985 0 20 33 51 95 102 71 70 41 28 9 15 535
1986 23 18 38 69 92 86 57 58 48 19 -7 0 501
1987 6 6 45 73 84 94 65 50 61 35 5 -1 523
1988 11 22 60 42 96 82 75 27 56 43 19 13 546
1989 6 24 54 79 99 106 62 74 60 25 29 19 637
1990 17 28 46 67 84 99 65 56 36 37 9 -12 532
1991 9 33 29 78 100 91 71 63 54 38 0 -13 553
1992 7 24 37 73 45 101 69 44 60 30 16 -10 496
1993 -28 16 42 79 88 104 102 20 62 31 11 20 547
1994 20 20 42 63 82 96 82 61 35 18 7 8 534
1995 0 22 43 67 90 105 97 52 47 49 20 12 604
1996 16 20 51 76 100 94 74 60 25 20 12 19 567
1997 -6 23 58 61 90 84 72 54 36 33 11 -6 510
1998 18 10 23 63 100 105 49 66 57 5 12 17 525
1999 22 34 53 62 91 98 55 34 47 49 29 20 594
2000 19 29 27 78 100 98 93 60 64 -6 15 14 591
2001 5 24 49 68 90 102 81 43 54 44 18 10 588
2002 12 34 55 74 100 106 74 62 17 29 17 -3 577
2003 22 12 39 76 100 102 91 58 51 36 10 13 610
2004 14 23 49 55 100 100 90 66 52 35 10 4 598
2005 1 0 37 63 97 101 96 50 50 39 27 20 581
2006 20 35 38 76 99 97 56 28 52 21 26 12 560
2007 9 22 52 71 82 102 60 46 55 42 25 -12 554
2008 -2 18 59 77 83 103 59 68 60 36 21 -8 574
2009 17 30 51 72 83 88 91 77 38 41 26 0 614
2010 -11 23 48 72 95 104 60 49 54 40 26 -2 558
2011 23 26 55 74 94 105 66 51 34 25 15 -4 564
2012 17 27 52 76 100 104 77 58 53 48 23 7 642
2013 14 28 54 73 98 105 58 49 32 44 6 17 578
2014 25 33 46 76 98 105 65 59 47 35 25 -1 613
2015 -2 27 46 70 82 97 50 63 58 24 13 8 536
2016 14 32 60 64 77 103 81 55 49 39 5 -1 578
2017 -4 21 51 67 91 100 67 70 51 45 29 20 608
2018 17 19 46 79 100 96 68 62 52 18 27 10 594
2019 7 11 39 70 82 103 96 74 45 46 -2 6 577
2020 10 21 44 71 99 105 83 81 64 37 20 15 650
2021 14 23 50 77 98 103 52 66 48 29 26 6 592
2022 14 30 53 79 101 69 47 34 50 10 23 0 510
2023 4 23 34 79 90 104 102 57 57 47 10 6 613
2024 2 22 26 68 98 82 72 59 60 30 18 20 557
