Year January February March April May June July August September October November December Total
1971 601 602 801 916 1156 1267 1256 1070 959 764 691 573 10656
1972 636 659 851 975 1195 1257 1304 1163 1025 681 700 612 11058
1973 615 610 748 960 1153 1299 1295 1225 1057 905 726 654 11247
1974 593 672 861 995 1237 1353 1314 1215 1076 781 775 679 11551
1975 659 659 846 1015 1279 1414 1357 1321 1042 987 796 697 12072
1976 535 527 742 904 1123 1278 1234 1157 985 811 658 573 10527
1977 510 573 774 905 1172 1297 1241 1159 986 837 660 579 10693
1978 533 519 682 897 1087 1243 1278 1170 1010 810 594 535 10358
1979 487 582 774 924 1089 1264 1321 1189 1059 855 674 587 10805
1980 528 510 781 922 1173 1308 1322 1205 1002 871 725 614 10961
1981 647 639 747 942 1204 1326 1269 1245 1049 888 759 685 11400
1982 588 604 823 997 1203 1368 1342 1178 1061 937 713 618 11432
1983 606 635 783 980 1232 1366 1328 1247 1058 865 745 628 11473
1984 662 680 823 964 1251 1362 1365 1217 1027 867 774 628 11620
1985 986 1019 1199 1329 1642 1786 1760 1704 1484 1292 1126 1070 16397
1986 981 925 1151 1306 1551 1675 1646 1618 1447 1193 992 944 15429
1987 834 806 1069 1212 1437 1574 1553 1458 1346 1133 936 841 14199
1988 752 758 1002 1020 1359 1419 1474 1294 1224 1052 872 784 13010
1989 641 662 894 1027 1274 1403 1344 1326 1148 918 819 719 12175
1990 592 594 789 909 1159 1313 1295 1222 1014 881 693 551 11012
1991 578 636 764 983 1254 1356 1379 1292 1106 914 695 577 11534
1992 592 614 816 1002 1155 1435 1410 1274 1155 919 750 593 11715
1993 489 585 823 1017 1275 1433 1504 1207 1179 925 746 678 11861
1994 636 604 828 955 1226 1396 1438 1328 1087 882 718 651 11749
1995 585 615 845 978 1275 1441 1500 1310 1133 983 778 669 12112
1996 636 614 875 1017 1320 1424 1452 1333 1091 909 759 688 12118
1997 578 638 903 987 1301 1413 1458 1347 1125 956 763 631 12100
1998 659 600 807 1003 1340 1485 1396 1383 1200 878 771 697 12219
1999 673 676 897 998 1317 1464 1433 1309 1186 1013 828 711 12505
2000 669 664 825 1059 1360 1483 1550 1399 1222 870 793 693 12587
2001 626 642 890 1018 1311 1474 1490 1324 1180 987 785 670 12397
2002 630 664 891 1021 1313 1450 1443 1347 1047 917 764 622 12109
2003 655 581 816 1014 1297 1422 1469 1320 1137 931 739 659 12040
2004 631 629 864 960 1297 1409 1457 1340 1131 933 737 629 12017
2005 583 549 824 1034 1371 1441 1499 1312 1168 968 782 676 12207
2006 621 640 800 985 1261 1381 1315 1189 1105 851 749 624 11521
2007 585 614 832 985 1230 1421 1418 1260 1104 920 736 550 11655
2008 526 559 847 1021 1252 1478 1415 1370 1166 921 726 535 11816
2009 567 578 783 912 1184 1335 1371 1275 1029 873 721 554 11182
2010 473 565 813 953 1331 1547 1433 1373 1125 928 698 537 11776
2011 639 608 828 947 1238 1402 1327 1248 1062 866 722 584 11471
2012 642 643 860 992 1256 1380 1367 1260 1100 948 764 649 11861
2013 676 687 909 1029 1295 1423 1358 1284 1092 982 763 720 12218
2014 748 745 930 1080 1346 1478 1420 1362 1184 1006 866 713 12878
2015 714 772 971 1102 1334 1496 1424 1418 1254 1016 868 774 13143
2016 750 775 999 1078 1327 1527 1543 1408 1248 1066 831 738 13294
2017 695 745 972 1086 1376 1549 1541 1515 1286 1103 923 817 13600
2018 766 740 958 1113 1379 1494 1511 1432 1247 1003 887 767 13297
2019 718 696 932 1111 1349 1558 1597 1482 1260 1073 795 755 13330
2020 744 747 956 1116 1417 1541 1561 1521 1294 1055 875 784 13607
2021 743 742 961 1101 1371 1507 1449 1426 1232 1022 882 750 13186
2022 740 764 967 1105 1369 1394 1437 1365 1252 967 876 726 12959
2023 696 736 909 1102 1336 1505 1580 1401 1252 1059 816 733 13121
2024 698 731 888 1064 1363 1428 1500 1368 1241 1010 845 793 12923
