Year January February March April May June July August September October November December Total
1971 27 36 94 129 182 198 158 62 70 12 24 -14 978
1972 31 55 102 141 177 160 159 89 87 -63 9 -6 941
1973 12 21 30 128 145 182 148 126 101 78 22 18 1011
1974 -16 46 93 135 183 198 141 96 94 -25 36 15 996
1975 11 20 55 119 175 198 129 128 38 80 21 2 976
1976 26 28 81 136 159 191 133 108 92 62 34 26 1076
1977 -10 46 86 120 172 187 117 91 74 64 19 14 980
1978 -2 5 30 136 146 186 169 121 100 48 -33 -31 875
1979 -54 31 71 132 122 174 169 107 112 59 5 -10 918
1980 -29 -22 69 126 173 197 168 118 71 69 38 9 987
1981 23 37 20 111 168 183 109 117 77 53 31 27 956
1982 -20 9 66 140 156 198 140 66 73 76 -5 -24 875
1983 -9 25 32 126 170 190 128 100 67 23 10 -22 840
1984 23 55 60 114 179 184 142 70 37 17 21 -28 874
1985 -16 26 49 96 172 190 128 126 80 42 4 15 912
1986 32 19 66 120 166 159 108 106 91 26 -26 -18 849
1987 -2 -3 75 131 151 174 121 86 112 57 3 -13 892
1988 7 32 101 79 175 145 143 56 100 73 22 10 943
1989 -4 29 94 144 182 198 116 130 106 43 43 23 1104
1990 18 39 76 114 153 182 127 106 60 60 6 -44 897
1991 0 53 35 142 185 171 141 113 91 60 -8 -35 948
1992 0 35 62 133 79 190 138 84 108 49 18 -28 868
1993 -71 13 67 143 158 193 192 24 115 49 10 22 915
1994 26 25 70 108 147 180 160 121 64 26 -10 3 920
1995 -13 29 74 113 167 195 183 88 81 83 27 9 1036
1996 12 21 86 133 187 174 143 90 50 29 10 17 952
1997 -31 33 99 110 166 158 134 95 60 55 7 -23 863
1998 18 6 30 114 186 197 88 112 107 -1 11 17 885
1999 29 56 89 109 167 180 110 58 96 83 44 22 1043
2000 22 44 36 142 187 183 178 114 109 -9 20 10 1036
2001 -3 31 84 121 166 191 151 81 98 75 26 5 1026
2002 6 53 93 133 186 199 147 115 30 41 23 -15 1011
2003 31 3 55 137 185 193 176 106 96 59 11 10 1062
2004 13 31 84 98 187 187 169 119 96 63 13 -2 1058
2005 -9 -9 58 112 181 192 184 93 92 64 41 25 1024
2006 24 57 61 140 184 179 101 48 99 30 37 4 964
2007 4 30 92 125 154 190 126 82 101 71 35 -37 973
2008 -21 19 100 140 154 193 109 129 113 59 29 -37 987
2009 21 47 87 129 155 159 165 142 72 67 38 -13 1069
2010 -34 32 82 128 177 195 109 95 100 69 35 -26 962
2011 30 40 95 136 174 198 123 83 57 35 16 -17 970
2012 20 41 90 139 186 197 146 105 94 83 28 2 1131
2013 13 40 94 134 182 195 111 90 61 76 1 20 1017
2014 34 52 81 138 184 199 115 110 92 61 39 -14 1091
2015 -18 42 78 123 146 184 93 120 109 43 15 1 936
2016 15 52 104 116 138 192 157 102 90 63 3 -14 1018
2017 -20 32 87 118 164 189 121 135 87 77 45 31 1066
2018 26 35 85 145 185 181 142 125 92 34 42 8 1100
2019 -1 6 66 131 152 193 178 136 82 78 -14 6 1013
2020 12 32 79 134 185 196 142 148 112 60 30 16 1146
2021 13 35 88 139 184 191 113 126 92 47 40 -2 1066
2022 13 51 94 145 187 123 96 62 91 10 38 -12 898
2023 -10 37 56 146 166 195 189 108 102 81 8 -5 1073
2024 -6 32 46 118 181 137 143 85 103 48 28 31 946
