Year January February March April May June July August September October November December Total
1971 2064 2065 2264 2379 2619 2730 2719 2533 2422 2227 2154 2036 28208
1972 2265 2288 2480 2604 2824 2886 2933 2792 2654 2310 2329 2241 30598
1973 2390 2385 2523 2735 2928 3074 3070 3000 2832 2680 2501 2429 32545
1974 2537 2616 2805 2939 3181 3297 3258 3159 3020 2725 2719 2623 34885
1975 2424 2424 2611 2780 3044 3179 3122 3086 2807 2752 2561 2462 33254
1976 2473 2465 2680 2842 3061 3216 3172 3095 2923 2749 2596 2511 33777
1977 2302 2365 2566 2697 2964 3089 3033 2951 2778 2629 2452 2371 32188
1978 2471 2457 2620 2835 3025 3181 3216 3108 2948 2748 2532 2473 33621
1979 1901 1996 2188 2338 2503 2678 2735 2603 2473 2269 2088 2001 27767
1980 2367 2349 2620 2761 3012 3147 3161 3044 2841 2710 2564 2453 33033
1981 2559 2551 2659 2854 3116 3238 3181 3157 2961 2800 2671 2597 34339
1982 2222 2238 2457 2631 2837 3002 2976 2812 2695 2571 2347 2252 31039
1983 2135 2164 2312 2509 2761 2895 2857 2776 2587 2394 2274 2157 29824
1984 2160 2178 2321 2462 2749 2860 2863 2715 2525 2365 2272 2126 29603
1985 2580 2613 2793 2923 3236 3380 3354 3298 3078 2886 2720 2664 35524
1986 2480 2424 2650 2805 3050 3174 3145 3117 2946 2692 2491 2443 33423
1987 2277 2249 2512 2655 2880 3017 2996 2901 2789 2576 2379 2284 31512
1988 2121 2127 2371 2389 2728 2788 2843 2663 2593 2421 2241 2153 29435
1989 2391 2412 2644 2777 3024 3153 3094 3076 2898 2668 2569 2469 33174
1990 2270 2272 2467 2587 2837 2991 2973 2900 2692 2559 2371 2229 31136
1991 2137 2195 2323 2542 2813 2915 2938 2851 2665 2473 2254 2136 30242
1992 1848 1870 2072 2258 2411 2691 2666 2530 2411 2175 2006 1849 26802
1993 1874 1970 2208 2402 2660 2818 2889 2592 2564 2310 2131 2063 28476
1994 2021 1989 2213 2340 2611 2781 2823 2713 2472 2267 2103 2036 28369
1995 2278 2308 2538 2671 2968 3134 3193 3003 2826 2676 2471 2362 32415
1996 2213 2191 2452 2594 2897 3001 3029 2910 2668 2486 2336 2265 31038
1997 2162 2222 2487 2571 2885 2997 3042 2931 2709 2540 2347 2215 31096
1998 2465 2406 2613 2809 3146 3291 3202 3189 3006 2684 2577 2503 33876
1999 2253 2256 2477 2578 2897 3044 3013 2889 2766 2593 2408 2291 31465
2000 2356 2351 2512 2746 3047 3170 3237 3086 2909 2557 2480 2380 32819
2001 2004 2020 2268 2396 2689 2852 2868 2702 2558 2365 2163 2048 28919
2002 2210 2244 2471 2601 2893 3030 3023 2927 2627 2497 2344 2202 31065
2003 2425 2351 2586 2784 3067 3192 3239 3090 2907 2701 2509 2429 33277
2004 2205 2203 2438 2534 2871 2983 3031 2914 2705 2507 2311 2203 30902
2005 2174 2140 2415 2625 2962 3032 3090 2903 2759 2559 2373 2267 31301
2006 1879 1898 2058 2243 2519 2639 2573 2447 2363 2109 2007 1882 26619
2007 1904 1933 2151 2304 2549 2740 2737 2579 2423 2239 2055 1869 27477
2008 1674 1707 1995 2169 2400 2626 2563 2518 2314 2069 1874 1683 25581
2009 2124 2135 2340 2469 2741 2892 2928 2832 2586 2430 2278 2111 29846
2010 1975 2067 2315 2455 2833 3049 2935 2875 2627 2430 2200 2039 29794
2011 2219 2188 2408 2527 2818 2982 2907 2828 2642 2446 2302 2164 30441
2012 2634 2635 2852 2984 3248 3372 3359 3252 3092 2940 2756 2641 35757
2013 2173 2184 2406 2526 2792 2920 2855 2781 2589 2479 2260 2217 30191
2014 2231 2228 2413 2563 2829 2961 2903 2845 2667 2489 2349 2196 30670
2015 2216 2274 2473 2604 2836 2998 2926 2920 2756 2518 2370 2276 31163
2016 2459 2489 2720 2801 3055 3255 3267 3124 2958 2782 2539 2441 33914
2017 2630 2698 2946 3071 3372 3540 3514 3483 3258 3072 2884 2772 37228
2018 2611 2574 2827 3001 3283 3392 3381 3302 3103 2841 2736 2598 35676
2019 2257 2239 2494 2697 2948 3165 3186 3058 2814 2635 2305 2283 32081
2020 2362 2365 2592 2784 3100 3224 3225 3187 2945 2692 2499 2402 33371
2021 2102 2112 2351 2509 2795 2931 2832 2813 2606 2400 2254 2105 29796
2022 1995 2031 2245 2397 2673 2670 2722 2620 2523 2210 2139 1973 28203
2023 2575 2621 2801 3002 3236 3412 3482 3294 3140 2948 2701 2613 35810
2024 2694 2729 2896 3082 3388 3450 3513 3380 3255 3018 2846 2795 37048
