Year January February March April May June July August September October November December Total
1971 1388 1697 3196 4348 5556 6161 6098 5600 4528 3180 2223 1407 45382
1972 1536 1878 3538 4810 6147 6817 6748 6196 5011 3519 2460 1557 50217
1973 1556 1904 3584 4874 6228 6908 6836 6278 5077 3565 2492 1577 50879
1974 2015 2487 4680 6406 8232 9120 8973 8259 6677 4678 3301 2062 66890
1975 2114 2636 4992 6921 8996 10000 9814 9034 7298 5075 3582 2196 72658
1976 2025 2518 4769 6580 8508 9442 9272 8529 6894 4805 3394 2094 68830
1977 2488 3107 5877 8128 10521 11674 11432 10529 8507 5933 4210 2586 84992
1978 2019 2507 4775 6606 8568 9537 9405 8632 6976 4841 3388 2088 69342
1979 2080 2586 4905 6805 8864 9861 9702 8921 7209 4998 3509 2153 71593
1980 2862 3587 6832 9514 12396 13778 13508 12420 10037 6950 4912 2988 99784
1981 2594 3254 6231 8753 11528 12871 12665 11629 9395 6447 4509 2717 92593
1982 1950 2450 4725 6644 8740 9769 9630 8822 7126 4882 3401 2049 70188
1983 2496 3140 5995 8368 10914 12136 11887 10928 8829 6107 4322 2621 87743
1984 2306 2903 5594 7889 10412 11647 11475 10519 8495 5812 4049 2430 83531
1985 1094 3457 6857 9194 11706 12957 13997 10694 9305 4346 2461 3571 89639
1986 4013 4756 8815 12891 17513 14791 15777 13033 12360 7730 4739 3788 120206
1987 3088 4278 8020 8495 12820 14021 13748 12414 8878 5123 1876 42 92803
1988 0 4198 9686 11798 11654 14019 14378 11961 9908 5295 3306 1113 97316
1989 1164 4007 7361 8450 10907 13095 13024 11977 9127 5720 3471 1790 90093
1990 2313 3491 9242 12142 12008 14744 14276 12749 10206 7290 4699 1604 104764
1991 1172 3932 6466 8715 11463 12702 12492 11179 9512 5395 4352 3199 90579
1992 2648 3503 6304 10448 13151 16062 14080 11773 9116 5527 5715 4043 102370
1993 1574 2884 6258 11096 12113 13705 13326 12246 9394 7307 5315 3384 98602
1994 2786 2561 4244 7656 11537 12574 12756 12249 10257 7254 4143 2757 90774
1995 1973 2490 5643 9439 12511 14278 13862 11904 9532 7256 5274 3837 97999
1996 3419 3412 6993 8126 10403 12377 13368 11387 8456 5569 3806 4097 91413
1997 2818 3263 5094 6392 10836 13263 12795 12149 9679 7186 3925 4519 91919
1998 3522 1658 6589 8968 12951 14760 15025 13368 10662 7137 5131 3315 103086
1999 2276 2695 4163 6145 11942 12741 13497 12155 8942 6484 4346 2651 88037
2000 2544 2564 5384 6676 11773 11967 12199 11507 9821 5356 5382 2237 87410
2001 2405 3751 4217 8805 11964 12633 12640 11031 8542 6569 4621 3495 90673
2002 3868 3365 3973 7302 11431 12963 12823 10779 9643 5867 2813 2702 87529
2003 2357 2304 4254 7292 11937 13271 12733 12119 10201 6876 4491 1677 89512
2004 3161 2916 4751 9489 12013 12968 13138 11193 9026 4178 4005 1536 88374
2005 1683 2944 7508 9244 14504 15043 12755 11695 10298 6404 5097 2836 100011
2006 1582 2878 5773 8846 11228 12516 13188 11548 9607 5941 4720 2291 90118
2007 2320 2280 4778 8574 10040 11719 11923 11805 8979 6859 3686 1593 84556
2008 2497 3222 4457 5975 10178 11817 12727 11863 8621 6359 4241 2057 84014
2009 2807 2982 6815 8907 11082 13731 12299 11639 9262 5759 3965 2403 91651
2010 2428 2250 5209 8672 11356 13730 12595 12234 8543 5798 4508 601 87924
2011 3040 2278 6749 9233 13642 14379 13419 12080 10056 6791 4899 2321 98887
2012 2240 3046 7401 9660 11309 13950 13664 14281 10731 7428 5536 2599 101845
2013 2636 3949 6297 8471 11701 14268 12449 11925 10446 7091 2796 2360 94389
2014 1913 2815 5213 7885 11554 13658 13136 13456 10631 7778 4549 1943 94531
2015 2068 2379 4700 8873 14095 15195 13826 12053 9591 6970 5768 3522 99040
2016 27 653 2482 5549 8534 10453 11569 9242 7386 4183 2081 464 62622
2017 7 327 2927 6070 8310 9983 9598 9072 6715 3545 1662 492 58708
2018 242 425 1158 4933 8857 10270 10026 10077 7427 2491 1341 1207 58456
2019 72 440 2057 5608 7138 11175 12773 11340 7491 3725 499 114 62434
2020 602 366 988 4660 11296 9550 11934 11513 7571 5555 2344 314 66692
2021 91 593 1154 4300 9193 12361 10847 10933 9027 3291 2003 233 64026
2022 953 1096 1958 5185 8150 10523 10971 9290 7976 4218 1027 356 61703
2023 53 627 970 3745 8433 9441 12497 11114 7726 4735 1970 1220 62527
2024 416 426 2362 5945 9402 11990 11055 12068 8879 5967 2521 1822 72857
