Year January February March April May June July August September October November December Total
1971 16 16 16 16 16 16 16 16 16 16 16 16 192
1972 16 16 16 16 16 16 16 16 16 16 16 16 192
1973 16 17 17 17 17 17 17 17 16 16 16 16 199
1974 16 18 18 18 18 18 18 18 16 16 16 16 206
1975 16 16 16 16 16 16 16 16 16 16 16 16 192
1976 15 15 15 15 15 15 15 15 15 15 15 15 180
1977 13 15 15 15 15 15 15 15 13 13 13 13 170
1978 13 13 13 13 13 13 13 13 13 13 13 13 156
1979 13 14 14 14 14 14 14 14 13 13 13 13 163
1980 14 15 15 15 15 15 15 15 14 14 14 14 175
1981 14 16 16 16 16 16 16 16 14 14 14 14 182
1982 16 16 16 16 16 16 16 16 16 16 16 16 192
1983 14 16 16 16 16 16 16 16 14 14 14 14 182
1984 14 14 14 14 14 14 14 14 14 14 14 14 168
1985 12 14 14 14 14 14 14 14 12 12 12 12 158
1986 12 12 12 12 12 12 12 12 12 12 12 12 144
1987 11 11 11 11 11 11 11 11 11 11 11 11 132
1988 11 12 12 12 12 12 12 12 11 11 11 11 139
1989 12 12 12 12 12 12 12 12 12 12 12 12 144
1990 12 12 12 12 12 12 12 12 12 12 12 12 144
1991 12 12 12 12 12 12 12 12 12 12 12 12 144
1992 12 12 12 12 12 12 12 12 12 12 12 12 144
1993 12 12 12 12 12 12 12 12 12 12 12 12 144
1994 12 12 12 12 12 12 12 12 12 12 12 12 144
1995 12 13 13 13 13 13 13 13 12 12 12 12 151
1996 12 13 13 13 13 13 13 13 12 12 12 12 151
1997 12 13 13 13 13 13 13 13 12 12 12 12 151
1998 12 13 13 13 13 13 13 13 12 12 12 12 151
1999 12 13 13 13 13 13 13 13 12 12 12 12 151
2000 12 13 13 13 13 13 13 13 12 12 12 12 151
2001 12 13 13 13 13 13 13 13 12 12 12 12 151
2002 12 13 13 13 13 13 13 13 12 12 12 12 151
2003 12 13 13 13 13 13 13 13 12 12 12 12 151
2004 12 13 13 13 13 13 13 13 12 12 12 12 151
2005 12 13 13 13 13 13 13 13 12 12 12 12 151
2006 12 14 14 14 14 14 14 14 12 12 12 12 158
2007 12 14 14 14 14 14 14 14 12 12 12 12 158
2008 13 14 14 14 14 14 14 14 13 13 13 13 163
2009 14 14 14 14 14 14 14 14 14 14 14 14 168
2010 14 14 14 14 14 14 14 14 14 14 14 14 168
2011 14 14 14 14 14 14 14 14 14 14 14 14 168
2012 14 15 15 15 15 15 15 15 14 14 14 14 175
2013 14 15 15 15 15 15 15 15 14 14 14 14 175
2014 14 15 15 15 15 15 15 15 14 14 14 14 175
2015 14 15 15 15 15 15 15 15 14 14 14 14 175
2016 55 55 55 55 55 55 55 55 55 55 55 55 668
2017 52 52 52 52 52 52 52 52 52 52 52 52 626
2018 55 55 55 55 55 55 55 55 55 55 55 55 658
2019 58 58 58 58 58 58 58 58 58 58 58 58 690
2020 60 60 60 60 60 60 60 60 60 60 60 60 722
2021 63 63 63 63 63 63 63 63 63 63 63 63 754
2022 66 66 66 66 66 66 66 66 66 66 66 66 786
2023 66 66 66 66 66 66 66 66 66 66 66 66 786
2024 66 66 66 66 66 66 66 66 66 66 66 66 786
