Year January February March April May June July August September October November December Total
1971 50 47 60 67 85 96 102 98 84 71 61 53 874
1972 50 47 61 67 85 97 103 100 85 72 62 54 883
1973 51 49 63 69 89 100 107 102 89 74 64 56 913
1974 53 51 66 71 92 104 113 108 93 80 67 60 958
1975 57 54 70 77 99 112 120 115 99 83 72 63 1021
1976 59 57 73 80 103 116 123 119 103 86 74 66 1059
1977 61 58 76 83 107 121 130 126 108 92 80 70 1112
1978 67 62 81 91 117 132 141 135 117 98 84 74 1199
1979 70 67 86 95 123 138 148 143 122 102 89 79 1262
1980 74 69 90 100 128 144 155 149 127 108 93 81 1318
1981 77 73 95 103 133 150 160 153 131 110 94 83 1362
1982 78 73 95 104 134 151 161 154 132 111 95 83 1371
1983 78 73 96 105 134 151 160 153 131 110 95 83 1369
1984 78 73 95 104 134 150 161 154 132 111 94 83 1369
1985 78 74 96 105 136 152 162 155 132 112 96 85 1383
1986 79 74 96 106 136 153 164 158 135 115 98 86 1400
1987 81 76 100 109 141 159 169 163 139 118 101 89 1445
1988 83 80 102 114 145 164 176 170 146 123 106 93 1502
1989 89 84 109 120 154 174 186 180 155 130 112 99 1592
1990 94 88 115 126 163 183 196 188 162 137 117 104 1673
1991 98 92 120 132 169 190 203 195 166 141 119 105 1730
1992 99 94 122 133 172 193 206 197 169 143 122 107 1757
1993 101 95 124 135 174 196 211 203 174 147 126 111 1797
1994 105 99 128 141 181 204 219 210 181 152 130 115 1865
1995 109 102 133 146 189 212 227 217 186 158 136 120 1935
1996 113 106 137 151 194 219 234 225 193 163 139 123 1997
1997 116 110 142 155 201 226 242 233 198 169 144 127 2063
1998 119 112 147 160 207 233 249 237 204 172 147 129 2116
1999 122 115 149 165 211 237 254 243 209 176 150 133 2164
2000 125 117 152 167 214 241 258 247 213 180 154 135 2203
2001 125 118 153 168 216 244 260 249 213 181 155 136 2218
2002 126 118 154 169 217 244 262 251 215 181 155 137 2229
2003 126 118 154 169 217 244 261 251 215 181 155 137 2228
2004 126 119 154 170 218 245 262 252 216 182 156 138 2238
2005 128 121 156 171 221 248 265 255 218 184 158 139 2264
2006 129 121 157 172 222 249 266 255 218 184 157 139 2269
2007 129 121 156 173 222 249 266 255 219 185 158 139 2272
2008 128 121 157 173 221 249 265 254 218 183 157 138 2264
2009 128 119 154 170 218 245 262 250 214 181 154 136 2231
2010 125 117 151 166 213 239 255 243 208 175 149 132 2173
2011 123 116 150 164 210 235 252 241 206 174 149 131 2151
2012 124 115 149 164 210 235 251 241 205 173 148 129 2144
2013 121 114 148 161 207 232 248 237 202 170 145 128 2113
2014 121 112 146 161 206 230 246 235 201 169 144 128 2099
2015 119 112 146 158 204 229 245 234 199 168 143 126 2083
2016 108 102 132 146 191 216 232 219 189 160 131 116 1942
2017 110 103 134 148 194 220 235 223 193 162 132 117 1970
2018 112 104 136 150 197 223 239 226 196 164 135 118 2000
2019 112 104 137 150 196 223 239 227 196 165 135 119 2002
2020 106 99 129 142 185 210 226 214 185 155 127 113 1891
2021 107 99 129 143 185 211 226 215 185 156 127 113 1894
2022 107 100 130 144 186 212 228 216 186 156 128 113 1911
2023 108 101 131 145 189 214 230 217 188 158 129 114 1926
2024 108 101 133 146 190 216 231 220 190 160 131 115 1938
