Year January February March April May June July August September October November December Total
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 124 124 124 124 124 124 124 124 124 124 124 124 1488
1975 183 183 183 183 183 183 183 183 183 183 183 183 2196
1976 41 41 41 41 41 41 41 41 41 41 41 41 492
1977 50 50 50 50 50 50 50 50 50 50 50 50 600
1978 50 50 50 50 50 50 50 50 50 50 50 50 600
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 50 50 50 50 50 50 50 50 50 50 50 50 600
1982 50 50 50 50 50 50 50 50 50 50 50 50 600
1983 50 50 50 50 50 50 50 50 50 50 50 50 600
1984 50 50 50 50 50 50 50 50 50 50 50 50 600
1985 28 28 28 28 28 28 28 28 28 28 28 28 336
1986 45 45 45 45 45 45 45 45 45 45 45 45 540
1987 63 63 63 63 63 63 63 63 63 63 63 63 756
1988 80 80 80 80 80 80 80 80 80 80 80 80 960
1989 98 98 98 98 98 98 98 98 98 98 98 98 1176
1990 116 116 116 116 116 116 116 116 116 116 116 116 1392
1991 116 116 116 116 116 116 116 116 116 116 116 116 1392
1992 116 116 116 116 116 116 116 116 116 116 116 116 1392
1993 116 116 116 116 116 116 116 116 116 116 116 116 1392
1994 116 116 116 116 116 116 116 116 116 116 116 116 1392
1995 116 116 116 116 116 116 116 116 116 116 116 116 1392
1996 171 171 171 171 171 171 171 171 171 171 171 171 2052
1997 226 226 226 226 226 226 226 226 226 226 226 226 2712
1998 282 282 282 282 282 282 282 282 282 282 282 282 3384
1999 337 337 337 337 337 337 337 337 337 337 337 337 4044
2000 392 392 392 392 392 392 392 392 392 392 392 392 4704
2001 378 378 378 378 378 378 378 378 378 378 378 378 4536
2002 363 363 363 363 363 363 363 363 363 363 363 363 4356
2003 348 348 348 348 348 348 348 348 348 348 348 348 4176
2004 334 334 334 334 334 334 334 334 334 334 334 334 4008
2005 319 319 319 319 319 319 319 319 319 319 319 319 3828
2006 281 281 281 281 281 281 281 281 281 281 281 281 3372
2007 242 242 242 242 242 242 242 242 242 242 242 242 2904
2008 204 204 204 204 204 204 204 204 204 204 204 204 2448
2009 166 166 166 166 166 166 166 166 166 166 166 166 1992
2010 127 127 127 127 127 127 127 127 127 127 127 127 1524
2011 210 210 210 210 210 210 210 210 210 210 210 210 2520
2012 295 295 295 295 295 295 295 295 295 295 295 295 3540
2013 378 378 378 378 378 378 378 378 378 378 378 378 4536
2014 461 461 461 461 461 461 461 461 461 461 461 461 5532
2015 544 544 544 544 544 544 544 544 544 544 544 544 6528
2016 544 544 544 544 544 544 544 544 544 544 544 544 6528
2017 544 544 544 544 544 544 544 544 544 544 544 544 6528
2018 544 544 544 544 544 544 544 544 544 544 544 544 6528
2019 544 544 544 544 544 544 544 544 544 544 544 544 6528
2020 544 544 544 544 544 544 544 544 544 544 544 544 6528
2021 544 544 544 544 544 544 544 544 544 544 544 544 6528
2022 544 544 544 544 544 544 544 544 544 544 544 544 6528
2023 544 544 544 544 544 544 544 544 544 544 544 544 6528
2024 544 544 544 544 544 544 544 544 544 544 544 544 6528
