Year January February March April May June July August September October November December Total
1971 5 5 18 24 28 41 43 32 33 17 13 -3 256
1972 8 10 18 25 37 35 44 37 26 13 7 5 265
1973 0 2 3 24 33 38 43 38 33 22 11 6 253
1974 -2 9 16 25 37 41 41 39 32 11 12 5 266
1975 4 7 8 22 31 41 38 36 31 21 12 8 259
1976 7 -4 15 22 34 41 39 40 25 17 13 8 257
1977 4 10 15 26 25 40 43 33 30 23 13 4 266
1978 -6 -2 1 13 33 41 43 39 24 21 2 1 210
1979 -2 4 6 26 33 41 40 35 33 22 13 8 259
1980 -11 -7 10 24 27 41 41 40 24 22 13 8 232
1981 4 8 6 20 30 41 43 37 27 16 12 8 252
1982 1 8 7 24 32 40 41 34 18 20 8 1 234
1983 -1 2 2 21 36 40 45 23 25 18 8 4 223
1984 6 8 14 24 37 41 24 31 30 19 10 -4 240
1985 2 8 11 26 35 41 38 41 27 18 5 6 258
1986 4 4 9 23 36 41 41 36 26 21 12 8 261
1987 2 4 13 24 29 41 38 37 32 15 -2 4 237
1988 0 8 17 14 35 40 43 35 31 23 11 4 261
1989 3 7 15 26 30 40 43 35 31 22 14 8 274
1990 0 5 14 21 32 39 41 38 25 22 12 7 256
1991 5 8 4 26 31 40 44 38 26 20 12 4 258
1992 1 -2 -4 26 32 41 42 38 31 16 15 1 237
1993 -14 -6 12 26 36 36 44 38 33 21 10 6 242
1994 5 2 12 21 35 41 44 36 29 19 7 0 251
1995 -10 7 1 21 27 36 44 40 32 25 14 7 244
1996 3 3 14 26 32 41 41 41 31 20 6 3 261
1997 -3 7 18 24 36 39 44 37 16 23 9 7 257
1998 3 -13 8 19 32 35 35 38 21 15 12 8 213
1999 4 8 18 18 35 36 37 37 30 25 15 8 271
2000 3 -4 12 25 35 41 46 31 31 10 12 8 250
2001 -1 2 11 20 36 41 41 37 31 23 11 5 257
2002 7 8 16 25 37 41 44 41 30 19 12 6 286
2003 5 1 12 20 35 41 44 36 31 23 11 -1 258
2004 5 -1 17 19 36 40 43 38 31 3 6 -3 234
2005 -11 -2 10 19 33 38 42 32 31 17 13 8 230
2006 3 8 4 23 37 41 37 41 30 15 15 6 260
2007 5 7 17 21 37 41 41 37 26 24 15 -3 268
2008 -1 4 17 26 33 41 40 38 31 21 11 2 263
2009 4 -1 17 23 36 39 42 41 32 22 14 2 271
2010 -6 1 14 24 35 41 44 37 32 12 11 -18 227
2011 7 3 14 23 30 41 41 39 29 15 12 8 262
2012 4 6 13 24 37 41 37 32 29 20 14 1 258
2013 4 8 14 26 35 41 39 38 20 22 9 6 262
2014 7 8 14 25 35 41 40 31 20 25 13 3 262
2015 3 6 15 25 28 40 41 38 32 14 11 6 259
2016 -1 6 15 18 34 40 44 37 32 22 13 -1 259
2017 -2 4 15 25 37 42 40 38 28 25 14 8 274
2018 2 8 13 26 33 42 39 40 32 16 12 8 271
2019 -2 -4 6 21 21 41 44 41 32 25 6 2 233
2020 7 7 7 23 37 42 46 41 34 25 14 8 291
2021 2 9 12 24 37 40 36 40 32 18 15 -2 263
2022 6 8 17 26 37 41 40 31 26 23 9 4 268
2023 -11 5 2 26 35 40 44 31 23 23 12 8 238
2024 0 -1 11 24 37 41 44 41 34 23 12 8 274
