Year January February March April May June July August September October November December Total
1971 258 224 229 182 235 263 238 282 283 261 240 286 2981
1972 251 249 293 228 268 277 280 259 255 283 226 255 3124
1973 275 237 270 141 150 179 235 299 273 175 267 293 2794
1974 264 252 250 167 228 270 235 213 154 96 79 219 2427
1975 248 257 190 38 76 143 248 234 235 129 201 239 2238
1976 227 218 185 128 164 174 203 357 352 345 279 312 2944
1977 264 312 354 347 301 384 415 326 334 229 290 397 3953
1978 351 239 302 217 303 390 394 425 292 262 267 329 3771
1979 385 366 281 287 278 349 392 405 305 299 287 330 3964
1980 404 360 292 246 208 348 386 386 284 283 277 351 3825
1981 432 340 254 284 348 376 388 382 352 252 219 269 3896
1982 396 327 274 313 307 339 383 377 366 335 155 327 3899
1983 324 348 279 309 259 238 323 509 369 345 516 478 4297
1984 579 391 447 505 592 657 709 725 674 626 469 527 6901
1985 761 646 692 568 603 678 760 764 697 556 611 766 8102
1986 738 350 236 343 379 485 566 561 421 421 285 395 5180
1987 478 298 418 410 538 558 559 602 456 424 418 653 5812
1988 698 655 609 337 619 603 711 733 581 578 524 560 7208
1989 659 320 606 543 595 674 762 713 706 645 603 653 7479
1990 578 650 582 291 242 447 624 631 638 608 640 762 6693
1991 725 584 617 341 435 518 609 609 498 506 576 421 6439
1992 643 420 274 271 363 316 514 566 469 442 412 510 5200
1993 569 526 398 359 299 426 540 580 558 540 583 604 5982
1994 476 608 496 296 329 379 412 452 301 223 359 382 4713
1995 425 115 272 233 175 286 354 493 397 448 368 418 3984
1996 473 251 197 207 311 393 379 447 437 478 402 461 4436
1997 424 252 249 224 274 326 354 542 668 653 624 612 5202
1998 683 485 659 422 442 483 656 755 679 808 735 735 7542
1999 722 523 513 468 298 488 621 668 748 573 564 705 6891
2000 574 735 704 565 465 761 715 798 728 748 422 717 7932
2001 643 557 650 517 614 600 634 629 651 664 584 438 7181
2002 711 584 654 678 750 606 675 628 676 627 583 673 7845
2003 675 532 635 636 569 723 762 734 657 756 738 678 8095
2004 726 604 611 525 515 700 759 750 724 621 738 759 8032
2005 630 546 604 529 533 732 725 607 695 744 687 734 7766
2006 668 647 591 413 556 669 606 710 617 592 700 660 7429
2007 689 573 636 324 586 693 671 705 652 647 610 587 7373
2008 538 594 495 440 371 534 724 681 557 556 542 641 6673
2009 591 473 392 404 620 485 599 522 369 483 470 671 6079
2010 660 537 349 479 464 513 597 576 447 368 166 423 5579
2011 256 276 52 101 394 548 632 581 505 464 453 388 4650
2012 271 69 72 94 57 78 418 421 413 434 334 341 3002
2013 170 151 155 253 360 454 488 345 297 55 30 233 2991
2014 380 643 536 488 643 556 616 419 241 145 172 78 4917
2015 34 31 26 33 49 157 197 274 184 107 40 34 1166
2016 0 0 0 7 0 167 222 173 35 12 0 0 616
2017 221 221 221 0 0 0 0 0 0 0 0 0 663
2018 0 0 0 0 0 0 0 0 0 0 0 0 0
2019 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 0 0 0 0 0 0 0 0 0 0 0 0 0
2021 0 0 0 0 0 0 0 0 0 0 0 0 0
2022 0 0 0 0 0 0 0 0 0 0 0 0 0
2023 0 0 0 0 0 0 0 0 0 0 0 0 0
2024 0 0 0 0 0 0 0 0 0 0 0 0 0
