Year January February March April May June July August September October November December Total
1971 1813 2085 3794 5015 6384 7229 7178 6556 5467 3855 2764 1735 53875
1972 1967 2350 4206 5546 7118 7794 7899 7193 5821 4141 2912 1975 58922
1973 1942 2284 4019 5513 7025 7863 7932 7337 6004 4200 3033 2053 59205
1974 2472 3085 5398 7218 9320 10355 10193 9403 7627 5183 3775 2579 76608
1975 2704 3271 5605 7614 9908 11156 11078 10205 8363 5850 4272 2827 82853
1976 2478 2834 5340 7221 9410 10504 10297 9731 7845 5541 4034 2669 77904
1977 2953 3703 6634 9075 11406 12905 12787 11616 9529 6711 4875 3191 95385
1978 2480 2893 5321 7213 9655 10880 10796 9958 7893 5654 3844 2616 79203
1979 2539 3129 5455 7669 9886 11116 10972 10107 8245 5817 4139 2717 81791
1980 3259 4025 7415 10356 13280 15126 14874 13774 10926 7808 5540 3588 109971
1981 3236 3878 6786 9567 12678 14306 14127 12967 10539 7137 5147 3291 103659
1982 2548 3068 5300 7623 9883 11140 11084 10101 8044 5754 3895 2595 81035
1983 2940 3720 6570 9263 12090 13415 13345 12078 9951 7001 5165 3316 98854
1984 3138 3577 6478 9027 11932 13343 12892 12044 9979 7020 4910 3077 97417
1985 2004 4379 7948 10422 13145 14662 15725 12495 10738 5419 3324 4594 104855
1986 4952 5341 9404 13842 18799 16325 17410 14535 13537 8743 5417 4476 132781
1987 3755 4849 8871 9533 14158 15632 15267 13990 10203 6026 2349 965 105598
1988 890 5197 10814 12615 13216 15674 16244 13673 11330 6546 4258 1968 112425
1989 2105 4659 8498 9755 12330 14850 14956 13639 10723 7074 4573 2816 105978
1990 3105 4464 10346 13099 13196 16282 16066 14471 11635 8557 5835 2736 119792
1991 2207 4890 7495 9841 12816 14347 14314 12858 10863 6572 5429 3933 105565
1992 3533 4211 6810 11502 14423 17522 15779 13433 10524 6565 6663 4835 115800
1993 2207 3580 7164 12247 13417 15181 15105 13926 10909 8530 6362 4339 112967
1994 3587 3490 5251 8639 12847 14124 14409 13787 11450 8179 4925 3390 104078
1995 2534 2976 6287 10348 13492 15592 15471 13539 10906 8474 6190 4628 110437
1996 4284 4060 7787 9190 11751 14010 15046 13068 9900 6798 4652 4955 105501
1997 3588 3999 6075 7516 12247 14821 14491 13924 11118 8704 5112 5632 107227
1998 4665 2386 7849 10216 14505 16443 17013 15450 12259 8732 6542 4626 120686
1999 3542 3846 5517 7509 13492 14561 15520 14170 10868 8068 5687 4002 106782
2000 3709 3791 6896 8293 13571 14207 14489 13596 11774 6919 6616 3642 107503
2001 3590 4911 5657 10233 13896 14711 14748 13084 10438 8259 5958 4548 110033
2002 5187 4604 5483 9025 13508 15029 15018 12874 11530 7449 4171 4026 107904
2003 3619 3357 5686 8853 13770 15434 15007 14182 12070 8644 5942 2905 109469
2004 4456 3996 6202 10912 13824 15075 15379 13307 10950 5435 5360 2791 107687
2005 2655 3933 8804 10653 16246 17143 14954 13583 12140 8045 6535 4183 118874
2006 2730 4103 6933 10171 13036 14561 15110 13638 11349 7369 6155 3506 108661
2007 3500 3339 6145 9756 11843 13753 13948 13755 10637 8413 4994 2590 102673
2008 3403 4214 5650 7338 11690 13662 14792 13792 10262 7733 5380 3159 101075
2009 3795 3764 7874 10108 12829 15427 14193 13419 10670 7042 5048 3456 107625
2010 3319 3110 6123 9925 12882 15451 14465 13952 10002 6754 5181 1088 102252
2011 3759 3027 7452 10178 15074 16225 15348 13927 11587 7972 5976 3212 113737
2012 3019 3656 8196 10704 12622 15417 15366 15898 12248 8755 6595 3417 115893
2013 3381 4761 7269 9800 13353 16191 14399 13681 11782 8146 3549 3213 109525
2014 3004 4204 6649 9490 13581 15764 15270 15210 11922 9054 5602 2694 112444
2015 2841 3234 5748 10108 15448 16956 15665 13916 11179 8094 6738 4359 114286
2016 695 1454 3518 6673 9997 12209 13494 10993 8864 5398 3064 1178 77544
2017 905 1350 4127 7305 9839 11649 11265 10630 8065 4788 2660 1365 73949
2018 1000 1309 2170 6193 10253 11942 11677 11720 8883 3582 2314 2074 73117
2019 803 1145 2912 6765 8307 12819 14499 12989 8947 4977 1362 911 76431
2020 1436 1206 1915 5831 12824 11208 13676 13173 9024 6799 3352 1174 81619
2021 872 1483 2139 5542 10724 14011 12483 12567 10470 4443 3020 982 78732
2022 1794 1977 3034 6465 9689 12193 12622 10690 9288 5448 1938 1175 76312
2023 616 1445 1822 5025 9924 11078 14225 12521 8993 5952 2950 2105 76648
2024 1157 1155 3319 7182 10938 13642 12778 13705 10342 7203 3478 2694 87588
