Year January February March April May June July August September October November December Total
1971 96 96 275 378 464 652 681 528 523 310 211 -24 4190
1972 106 150 280 400 565 552 708 585 428 238 141 88 4241
1973 44 75 82 388 508 621 694 603 516 348 183 105 4167
1974 2 144 244 407 589 678 689 642 531 178 176 93 4373
1975 82 118 146 357 507 661 659 587 501 343 206 122 4289
1976 104 -11 242 355 545 675 604 630 415 232 218 133 4142
1977 73 151 247 426 387 621 702 537 487 371 219 71 4292
1978 -14 24 99 223 571 717 750 664 421 369 40 61 3925
1979 -7 92 163 442 574 713 676 589 563 383 228 134 4550
1980 -84 1 176 457 506 800 769 764 440 431 231 146 4637
1981 65 137 134 341 573 802 805 700 570 248 249 150 4774
1982 57 144 133 472 604 775 803 648 336 340 170 69 4551
1983 -21 91 132 394 681 784 864 399 533 357 160 66 4440
1984 105 138 264 441 693 784 459 551 584 388 224 -23 4608
1985 29 152 250 487 623 792 726 799 537 347 111 126 4979
1986 61 100 191 422 678 798 805 690 538 399 226 142 5050
1987 32 119 246 421 556 779 679 700 624 272 -118 103 4413
1988 18 164 308 260 671 756 844 682 573 436 220 107 5039
1989 80 131 297 506 534 757 831 624 594 447 263 156 5220
1990 -8 102 265 391 623 741 801 737 476 372 239 131 4870
1991 79 146 160 499 590 769 838 709 533 382 242 76 5023
1992 14 68 -14 496 577 782 809 731 611 309 271 46 4700
1993 -151 -47 244 503 667 690 856 731 622 387 200 106 4808
1994 87 92 243 397 637 798 850 712 554 403 158 8 4939
1995 -91 133 109 380 461 651 855 756 631 459 270 118 4732
1996 93 104 262 496 627 796 840 784 600 385 116 88 5191
1997 -5 128 333 482 661 728 817 724 319 435 172 129 4923
1998 44 -151 151 352 578 637 753 757 399 306 223 145 4194
1999 69 155 324 363 656 709 761 717 590 461 263 156 5224
2000 59 -26 239 455 679 792 866 608 577 221 242 141 4853
2001 28 92 235 332 675 802 782 747 611 432 197 84 5017
2002 100 153 310 475 697 799 838 799 591 380 233 133 5508
2003 96 41 270 375 651 794 846 681 606 448 187 54 5049
2004 92 11 322 362 695 775 830 727 607 105 109 15 4650
2005 -106 -8 194 358 623 750 835 662 567 365 249 135 4624
2006 55 154 113 422 698 791 718 789 584 344 270 117 5055
2007 103 102 302 408 702 795 791 697 507 444 271 20 5142
2008 24 55 306 506 669 803 818 738 618 397 212 104 5250
2009 85 11 316 424 693 747 811 787 613 417 265 64 5233
2010 -29 64 259 443 673 787 833 721 631 260 206 -191 4657
2011 109 130 263 433 574 798 780 762 567 304 239 140 5099
2012 71 110 251 452 699 803 686 613 561 391 254 38 4929
2013 58 146 262 496 657 803 782 743 425 416 177 94 5059
2014 108 150 264 455 667 803 756 593 354 462 249 67 4928
2015 59 147 302 460 513 776 797 758 615 277 218 113 5035
2016 -38 94 290 354 639 734 828 723 623 422 240 0 4909
2017 -27 99 234 466 702 808 796 701 533 460 256 152 5180
2018 45 173 264 485 567 808 774 778 629 312 227 142 5204
2019 19 3 110 384 350 778 841 779 626 460 120 74 4544
2020 117 130 187 402 702 802 866 801 630 460 263 135 5495
2021 65 175 237 468 702 792 767 772 619 371 268 31 5267
2022 118 163 319 500 706 807 773 543 490 441 164 92 5116
2023 -144 102 109 499 657 773 844 549 446 426 229 153 4643
2024 23 19 203 457 699 785 838 766 629 443 204 139 5205
