Year January February March April May June July August September October November December Total
1971 18 22 37 46 51 50 47 40 33 28 21 16 409
1972 20 25 41 51 56 55 51 45 36 31 23 18 452
1973 20 25 42 52 56 56 52 46 37 31 24 18 459
1974 43 53 90 110 122 121 112 97 80 68 54 38 988
1975 39 48 81 100 110 109 102 88 72 61 48 34 892
1976 17 22 37 45 50 49 46 40 33 28 22 15 404
1977 47 57 97 119 132 131 122 105 86 74 57 42 1069
1978 47 58 98 120 133 132 123 106 87 75 59 42 1080
1979 35 44 74 91 100 100 93 80 66 56 43 32 814
1980 47 57 97 119 132 131 122 105 86 74 57 42 1069
1981 48 60 100 123 135 134 125 109 89 76 59 43 1101
1982 18 23 39 48 53 52 49 42 35 29 23 16 427
1983 31 38 64 79 88 87 81 70 57 49 38 28 710
1984 5 6 11 14 15 15 14 11 10 8 5 5 119
1985 37 49 68 82 74 65 94 60 48 23 1 22 623
1986 34 54 89 105 138 124 116 101 96 70 46 33 1006
1987 38 51 89 98 124 92 101 93 46 32 18 0 782
1988 0 20 96 123 121 114 103 129 111 57 38 2 914
1989 0 29 57 82 85 96 84 77 74 27 13 11 635
1990 57 80 140 185 136 142 152 178 163 93 65 17 1408
1991 4 42 70 93 88 89 83 67 66 34 41 33 710
1992 52 61 95 150 171 180 163 122 85 60 66 42 1247
1993 36 62 109 146 136 144 156 124 84 85 72 60 1214
1994 44 51 77 95 92 100 92 78 53 55 44 36 817
1995 29 49 79 105 106 108 102 81 55 47 40 43 844
1996 46 38 60 76 82 92 98 52 62 64 53 48 771
1997 50 59 91 104 104 101 77 87 66 77 62 57 935
1998 48 45 91 106 142 158 176 123 82 79 53 47 1150
1999 38 48 75 104 136 114 118 93 64 63 48 39 940
2000 50 53 88 110 127 128 116 120 94 57 55 51 1049
2001 49 55 95 125 163 152 125 72 54 55 56 45 1046
2002 41 48 74 86 107 111 97 75 32 27 36 32 766
2003 59 50 112 108 139 119 115 119 49 48 59 40 1017
2004 74 76 118 142 161 140 130 77 85 101 71 49 1224
2005 50 53 103 134 144 117 77 41 58 60 58 54 949
2006 66 71 98 108 115 106 120 97 84 63 55 52 1035
2007 64 64 80 114 106 115 116 81 106 105 76 46 1073
2008 68 73 98 99 105 139 145 154 81 112 77 51 1202
2009 71 72 155 149 184 158 148 137 135 143 101 57 1510
2010 56 67 121 153 172 212 144 122 93 117 90 43 1390
2011 84 83 151 176 227 184 184 130 123 121 94 69 1626
2012 95 114 180 222 215 192 170 217 180 128 109 71 1893
2013 85 92 132 190 199 232 216 179 182 133 90 72 1802
2014 72 104 158 171 185 180 137 170 154 132 80 58 1601
2015 74 99 159 206 217 235 196 169 123 132 101 74 1785
2016 6 25 66 87 110 119 142 99 72 63 39 9 836
2017 10 35 75 90 110 121 107 83 69 48 29 14 790
2018 19 38 60 94 109 137 121 99 84 45 27 8 840
2019 18 17 53 76 83 117 127 109 68 48 8 17 739
2020 30 34 53 92 130 122 152 122 70 63 39 11 916
2021 17 24 52 94 126 132 105 97 74 43 33 13 809
2022 27 24 54 78 97 127 131 87 63 49 17 8 762
2023 15 29 54 81 120 133 152 113 68 63 27 31 887
2024 23 11 80 88 121 146 122 131 79 75 20 25 921
