Year January February March April May June July August September October November December Total
1971 24 26 26 26 26 26 26 26 24 24 24 24 302
1972 26 27 27 27 27 27 27 27 26 26 26 26 319
1973 27 29 29 29 29 29 29 29 27 27 27 27 338
1974 29 30 30 30 30 30 30 30 29 29 29 29 355
1975 28 29 29 29 29 29 29 29 28 28 28 28 343
1976 27 28 28 28 28 28 28 28 27 27 27 27 331
1977 25 27 27 27 27 27 27 27 25 25 25 25 314
1978 24 26 26 26 26 26 26 26 24 24 24 24 302
1979 25 27 27 27 27 27 27 27 25 25 25 25 314
1980 26 28 28 28 28 28 28 28 26 26 26 26 326
1981 27 29 29 29 29 29 29 29 27 27 27 27 338
1982 29 30 30 30 30 30 30 30 29 29 29 29 355
1983 29 30 30 30 30 30 30 30 29 29 29 29 355
1984 29 31 31 31 31 31 31 31 29 29 29 29 362
1985 29 31 31 31 31 31 31 31 29 29 29 29 362
1986 29 31 31 31 31 31 31 31 29 29 29 29 362
1987 29 31 31 31 31 31 31 31 29 29 29 29 362
1988 29 30 30 30 30 30 30 30 29 29 29 29 355
1989 28 30 30 30 30 30 30 30 28 28 28 28 350
1990 27 29 29 29 29 29 29 29 27 27 27 27 338
1991 27 28 28 28 28 28 28 28 27 27 27 27 331
1992 26 28 28 28 28 28 28 28 26 26 26 26 326
1993 25 27 27 27 27 27 27 27 25 25 25 25 314
1994 25 26 26 26 26 26 26 26 25 25 25 25 307
1995 24 26 26 26 26 26 26 26 24 24 24 24 302
1996 24 25 25 25 25 25 25 25 24 24 24 24 295
1997 23 24 24 24 24 24 24 24 23 23 23 23 283
1998 23 24 24 24 24 24 24 24 23 23 23 23 283
1999 22 24 24 24 24 24 24 24 22 22 22 22 278
2000 22 23 23 23 23 23 23 23 22 22 22 22 271
2001 22 23 23 23 23 23 23 23 22 22 22 22 271
2002 21 23 23 23 23 23 23 23 21 21 21 21 266
2003 21 22 22 22 22 22 22 22 21 21 21 21 259
2004 21 22 22 22 22 22 22 22 21 21 21 21 259
2005 20 21 21 21 21 21 21 21 20 20 20 20 247
2006 20 21 21 21 21 21 21 21 20 20 20 20 247
2007 20 21 21 21 21 21 21 21 20 20 20 20 247
2008 19 20 20 20 20 20 20 20 19 19 19 19 235
2009 19 20 20 20 20 20 20 20 19 19 19 19 235
2010 19 20 20 20 20 20 20 20 19 19 19 19 235
2011 18 19 19 19 19 19 19 19 18 18 18 18 223
2012 18 19 19 19 19 19 19 19 18 18 18 18 223
2013 18 19 19 19 19 19 19 19 18 18 18 18 223
2014 18 19 19 19 19 19 19 19 18 18 18 18 223
2015 18 19 19 19 19 19 19 19 18 18 18 18 223
2016 0 0 0 0 0 0 0 0 0 0 0 0 0
2017 0 0 0 0 0 0 0 0 0 0 0 0 0
2018 0 0 0 0 0 0 0 0 0 0 0 0 0
2019 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 0 0 0 0 0 0 0 0 0 0 0 0 0
2021 0 0 0 0 0 0 0 0 0 0 0 0 0
2022 0 0 0 0 0 0 0 0 0 0 0 0 0
2023 0 0 0 0 0 0 0 0 0 0 0 0 0
2024 0 0 0 0 0 0 0 0 0 0 0 0 0
