Year January February March April May June July August September October November December Total
1971 2163 2027 2627 2883 3697 4150 4434 4241 3630 3057 2608 2300 37817
1972 1136 1065 1380 1514 1943 2180 2329 2228 1908 1606 1370 1208 19867
1973 904 847 1098 1205 1546 1735 1853 1773 1518 1278 1090 961 15808
1974 1161 1088 1410 1547 1984 2227 2380 2276 1949 1640 1400 1234 20296
1975 2519 2361 3059 3357 4306 4834 5164 4940 4229 3561 3038 2679 44047
1976 2489 2333 3024 3318 4256 4777 5104 4882 4180 3520 3002 2647 43532
1977 2471 2316 3001 3294 4224 4741 5066 4845 4148 3494 2980 2628 43208
1978 2428 2276 2950 3238 4151 4660 4980 4762 4077 3434 2929 2582 42467
1979 2685 2517 3263 3580 4591 5154 5507 5267 4509 3797 3240 2856 46966
1980 2557 2397 3106 3409 4371 4907 5243 5015 4293 3615 3084 2720 44717
1981 2563 2402 3114 3417 4382 4919 5255 5027 4303 3624 3092 2726 44824
1982 2179 2043 2648 2906 3727 4184 4470 4275 3661 3082 2629 2319 38123
1983 3476 3257 4222 4633 5941 6669 7125 6815 5835 4913 4192 3697 60775
1984 3483 3265 4231 4643 5954 6684 7141 6830 5848 4924 4201 3705 60909
1985 3361 3151 4082 4480 5745 6449 6890 6590 5643 4751 4053 3575 58770
1986 3331 3123 4046 4440 5694 6392 6830 6532 5593 4710 4017 3543 58251
1987 3414 3201 4147 4551 5837 6553 7001 6696 5733 4828 4118 3632 59711
1988 3533 3312 4292 4711 6040 6781 7244 6929 5932 4996 4261 3758 61789
1989 3487 3269 4236 4649 5962 6693 7151 6839 5856 4931 4207 3709 60989
1990 3032 2842 3684 4042 5184 5819 6218 5946 5092 4287 3658 3225 53029
1991 3241 3038 3938 4321 5541 6220 6645 6356 5443 4583 3910 3447 56683
1992 3647 3419 4431 4863 6236 7000 7478 7153 6124 5157 4399 3879 63786
1993 3613 3387 4388 4816 6175 6933 7407 7085 6065 5108 4357 3842 63176
1994 3774 3538 4584 5031 6452 7243 7739 7402 6337 5336 4552 4014 66002
1995 3714 3482 4512 4951 6349 7127 7615 7283 6236 5251 4480 3950 64950
1996 3990 3740 4847 5319 6821 7657 8181 7825 6699 5641 4813 4243 69776
1997 3956 3709 4806 5275 6763 7592 8113 7758 6643 5594 4771 4208 69188
1998 3763 3528 4571 5017 6434 7222 7716 7380 6319 5320 4539 4003 65812
1999 3936 3690 4781 5247 6728 7552 8069 7718 6608 5564 4747 4186 68826
2000 3974 3726 4828 5299 6795 7628 8150 7795 6674 5620 4795 4228 69512
2001 4053 3799 4923 5402 6927 7776 8310 7947 6804 5729 4888 4310 70868
2002 4154 3894 5046 5537 7102 7972 8517 8146 6975 5873 5010 4418 72644
2003 4202 3939 5104 5602 7183 8063 8616 8241 7055 5941 5069 4470 73485
2004 4140 3881 5029 5519 7078 7945 8489 8119 6952 5853 4994 4404 72403
2005 3561 3338 4325 4747 6087 6834 7302 6984 5979 5035 4295 3787 62274
2006 3865 3623 4696 5153 6608 7418 7925 7580 6490 5465 4663 4111 67597
2007 4036 3783 4903 5380 6900 7746 8276 7916 6777 5707 4868 4293 70585
2008 4034 3781 4900 5378 6896 7741 8271 7910 6773 5703 4865 4290 70542
2009 4046 3793 4915 5394 6916 7765 8296 7935 6793 5720 4880 4303 70756
2010 3819 3581 4640 5092 6530 7330 7832 7491 6413 5400 4607 4062 66797
2011 3877 3635 4711 5169 6629 7442 7950 7604 6510 5482 4676 4124 67809
2012 4059 3805 4930 5411 6939 7789 8322 7959 6814 5738 4895 4317 70978
2013 4126 3867 5011 5499 7052 7917 8459 8090 6926 5832 4976 4388 72143
2014 4536 4252 5510 6047 7755 8705 9301 8895 7616 6413 5471 4824 79325
2015 4302 4033 5227 5736 7355 8256 8821 8437 7223 6083 5189 4576 75238
2016 4119 3861 5004 5493 7044 7909 8451 8082 6920 5827 4969 4382 72060
2017 4185 3923 5084 5580 7157 8036 8586 8211 7031 5920 5048 4452 73211
2018 4277 4009 5195 5702 7313 8210 8773 8390 7184 6048 5158 4549 74806
2019 3396 3183 4124 4527 5807 6520 6966 6662 5705 4802 4095 3611 59396
2020 4046 3793 4914 5393 6918 7767 8298 7936 6796 5721 4878 4302 70760
2021 4259 3992 5174 5677 7283 8176 8736 8355 7154 6023 5136 4530 74493
2022 4199 3936 5101 5598 7181 8061 8614 8238 7054 5938 5065 4466 73452
2023 4285 4017 5205 5713 7328 8228 8790 8407 7198 6060 5168 4558 74957
2024 4081 3826 4957 5441 6979 7835 8372 8007 6856 5772 4922 4341 71389
