Year January February March April May June July August September October November December Total
1971 11 10 26 37 44 57 57 45 42 28 18 3 378
1972 11 15 26 36 50 52 58 47 37 22 11 9 374
1973 5 7 11 36 49 54 58 52 42 31 16 11 372
1974 2 14 23 36 51 57 54 52 41 23 15 9 377
1975 9 12 19 33 49 57 54 51 39 30 16 11 380
1976 11 1 25 33 49 57 53 53 32 26 18 12 370
1977 8 15 24 37 42 55 57 45 40 30 18 5 376
1978 -3 4 9 29 48 57 57 52 37 28 8 4 330
1979 -1 10 16 37 49 57 54 46 42 30 18 10 368
1980 -6 -3 18 36 48 57 53 53 37 30 18 11 352
1981 8 13 13 35 46 56 60 49 33 29 16 12 370
1982 4 10 18 35 48 56 55 41 37 30 14 3 351
1983 4 9 9 33 50 57 58 29 37 25 14 5 330
1984 11 14 26 36 51 57 32 40 39 30 11 -4 343
1985 4 14 24 36 50 56 51 54 37 30 12 11 379
1986 7 10 14 36 50 54 56 52 38 30 14 9 370
1987 6 11 22 35 47 55 54 53 42 23 4 8 360
1988 3 13 26 29 50 55 58 46 42 31 18 10 381
1989 4 13 25 38 49 56 57 50 42 31 20 12 397
1990 4 10 26 36 49 53 54 50 37 31 17 12 379
1991 6 11 8 38 49 55 57 51 37 30 16 6 364
1992 5 2 -1 36 47 57 58 53 42 20 20 0 339
1993 -12 -5 23 37 50 54 60 53 42 31 14 9 356
1994 10 10 22 36 50 57 58 51 40 31 14 5 384
1995 -7 13 14 34 46 55 59 52 41 31 20 11 369
1996 9 8 26 38 49 57 57 54 42 28 11 9 388
1997 4 13 26 37 51 55 57 49 27 31 16 11 377
1998 9 -6 19 35 49 54 50 51 34 28 17 12 352
1999 9 13 26 29 49 53 48 53 39 31 20 12 382
2000 9 4 23 36 51 56 60 49 42 24 19 12 385
2001 0 4 22 35 51 57 57 53 42 30 16 10 377
2002 10 15 26 38 51 57 58 54 41 28 16 10 404
2003 11 2 21 33 50 57 57 49 41 31 14 6 372
2004 11 2 25 31 51 57 58 52 42 16 6 -1 350
2005 -8 -1 22 34 50 55 54 49 42 22 19 12 350
2006 9 14 17 35 51 55 56 54 42 23 20 11 387
2007 11 13 26 36 51 57 53 49 36 31 19 4 386
2008 3 12 26 38 50 57 56 51 42 30 14 4 383
2009 9 6 26 36 51 56 56 54 42 31 20 8 395
2010 -3 6 22 36 51 56 60 50 42 24 18 -10 352
2011 10 9 25 37 50 57 56 53 38 25 17 9 386
2012 10 14 24 35 51 57 56 43 38 25 20 8 381
2013 8 14 24 36 51 57 54 49 37 30 10 12 382
2014 11 14 23 36 51 57 56 48 37 31 19 7 390
2015 6 11 24 36 48 55 55 51 41 23 17 11 378
2016 4 11 26 28 46 55 57 50 41 28 18 3 367
2017 0 7 26 36 49 57 52 49 39 31 20 12 378
2018 2 14 23 37 48 57 51 51 42 27 17 11 380
2019 3 -3 20 34 43 57 59 54 41 31 7 4 350
2020 11 12 12 35 49 57 60 54 42 31 20 12 395
2021 7 15 24 37 50 54 51 53 41 28 20 4 384
2022 11 14 26 37 50 57 54 47 37 31 15 10 389
2023 -1 11 17 37 48 54 60 42 32 31 17 11 359
2024 6 3 20 36 50 57 58 54 42 31 19 12 388
