Year January February March April May June July August September October November December Total
1971 2220 2090 2727 3008 3838 4308 4590 4373 3748 3150 2679 2346 39077
1972 1197 1138 1485 1644 2097 2337 2491 2369 2024 1695 1435 1265 21177
1973 959 911 1185 1338 1701 1897 2018 1923 1643 1381 1164 1022 17142
1974 1236 1191 1563 1739 2209 2460 2600 2478 2118 1771 1505 1313 22183
1975 2599 2455 3197 3533 4516 5054 5374 5131 4385 3694 3138 2757 45833
1976 2548 2384 3125 3439 4404 4936 5254 5027 4285 3613 3077 2706 44798
1977 2554 2421 3159 3493 4445 4978 5298 5042 4317 3636 3088 2702 45133
1978 2496 2366 3088 3426 4378 4900 5212 4969 4243 3573 3025 2654 44330
1979 2744 2602 3387 3751 4788 5363 5705 5440 4661 3922 3334 2927 48624
1980 2623 2478 3257 3608 4600 5148 5469 5225 4460 3759 3193 2804 46624
1981 2650 2510 3263 3620 4612 5163 5495 5236 4468 3769 3201 2813 46800
1982 2233 2110 2743 3035 3880 4347 4629 4408 3780 3184 2702 2369 39420
1983 3542 3338 4332 4790 6132 6869 7321 6957 5976 5029 4280 3761 62327
1984 3533 3322 4310 4741 6074 6812 7238 6931 5944 5005 4250 3734 61894
1985 3434 3252 4217 4647 5924 6629 7092 6762 5776 4848 4101 3642 60324
1986 3405 3223 4189 4630 5938 6628 7062 6742 5776 4854 4113 3618 60178
1987 3490 3300 4301 4734 6065 6761 7218 6903 5873 4926 4172 3673 61416
1988 3567 3382 4458 4909 6268 7010 7467 7160 6137 5130 4355 3805 63648
1989 3523 3348 4362 4820 6153 6906 7355 7025 6024 5034 4279 3767 62596
1990 3122 2967 3893 4313 5426 6074 6484 6233 5341 4456 3778 3288 55375
1991 3301 3155 4097 4599 5862 6563 6994 6657 5691 4762 4041 3533 59255
1992 3745 3521 4569 5197 6640 7445 7913 7522 6406 5328 4564 3956 66806
1993 3658 3459 4626 5152 6558 7342 7847 7464 6352 5345 4514 3966 66283
1994 3882 3665 4789 5313 6789 7614 8108 7726 6587 5543 4684 4092 68792
1995 3740 3616 4702 5242 6698 7509 8006 7618 6497 5453 4622 4062 67765
1996 4100 3849 5046 5589 7148 8025 8560 8139 6967 5852 4944 4355 72574
1997 4059 3852 5040 5574 7124 7972 8476 8091 6870 5829 4926 4332 72145
1998 3873 3585 4782 5313 6829 7656 8153 7760 6581 5547 4689 4119 68887
1999 4034 3825 5001 5523 7121 7942 8445 8078 6875 5786 4898 4296 71824
2000 4091 3830 5053 5612 7190 8050 8576 8175 6988 5816 4955 4352 72688
2001 4129 3901 5151 5727 7358 8223 8738 8295 7078 5947 5041 4424 74012
2002 4261 4035 5268 5830 7480 8381 8919 8504 7225 6053 5144 4518 75618
2003 4330 4030 5345 5901 7596 8485 9040 8633 7327 6157 5217 4559 76620
2004 4282 4003 5294 5844 7516 8390 8935 8473 7262 6086 5117 4467 75669
2005 3610 3414 4566 5082 6508 7253 7672 7295 6263 5220 4460 3914 65257
2006 3997 3787 4915 5469 7000 7826 8356 7967 6801 5661 4826 4230 70835
2007 4169 3936 5135 5702 7284 8167 8693 8262 7095 5982 5051 4386 73862
2008 4147 3940 5149 5690 7276 8188 8732 8346 7083 5983 5030 4381 73945
2009 4182 3927 5222 5752 7380 8229 8756 8364 7157 6033 5090 4420 74512
2010 3883 3705 4899 5456 6985 7853 8304 7895 6736 5662 4804 4106 70288
2011 4028 3800 5011 5558 7135 7937 8444 8025 6844 5755 4873 4257 71667
2012 4221 4010 5258 5843 7438 8294 8808 8418 7211 6007 5113 4442 75063
2013 4268 4052 5289 5901 7534 8462 8985 8541 7308 6134 5131 4531 76136
2014 4677 4448 5811 6431 8223 9198 9752 9337 7985 6717 5659 4938 83176
2015 4416 4210 5530 6152 7847 8800 9334 8888 7576 6352 5392 4722 79219
2016 4165 3958 5209 5737 7402 8321 8893 8449 7212 6045 5107 4425 74921
2017 4221 4011 5299 5865 7531 8452 8985 8554 7310 6132 5179 4532 76068
2018 4311 4127 5385 5994 7679 8642 9176 8763 7490 6246 5280 4618 77708
2019 3442 3212 4298 4786 6125 6932 7403 7051 5992 5014 4153 3662 62066
2020 4136 3897 5046 5678 7312 8184 8763 8341 7088 5948 5018 4378 73785
2021 4323 4097 5355 5969 7673 8598 9119 8730 7445 6222 5271 4588 77387
2022 4284 4040 5292 5874 7543 8483 9030 8584 7319 6151 5171 4534 76306
2023 4316 4114 5372 5992 7709 8648 9253 8755 7444 6286 5291 4652 77833
2024 4146 3878 5152 5721 7365 8276 8798 8420 7156 6011 5042 4432 74397
