Year January February March April May June July August September October November December Total
1971 4 5 11 16 20 25 26 21 19 13 8 3 171
1972 4 6 11 16 21 23 26 22 17 10 5 4 165
1973 3 3 5 16 21 23 26 23 19 14 7 5 165
1974 1 6 10 16 22 25 24 23 19 11 7 3 167
1975 4 5 9 14 22 25 25 23 17 14 8 5 171
1976 4 0 11 15 21 25 23 24 13 12 8 5 161
1977 3 6 10 16 20 24 26 20 18 13 8 2 166
1978 0 2 5 13 20 25 26 23 18 12 5 2 151
1979 0 4 7 16 21 25 24 20 19 14 8 4 162
1980 -1 -1 8 16 21 25 23 24 18 14 8 5 160
1981 4 6 7 16 20 25 26 22 16 13 7 5 167
1982 3 4 8 16 22 25 25 20 18 14 7 2 164
1983 2 4 7 15 23 26 27 13 18 13 7 2 157
1984 5 6 11 17 23 25 20 19 18 14 4 -1 161
1985 3 7 12 18 24 28 26 27 19 15 6 5 190
1986 4 5 9 18 25 27 29 26 20 15 7 4 189
1987 3 6 12 19 26 30 31 30 23 14 3 4 201
1988 2 7 14 16 27 30 32 26 23 17 9 6 209
1989 4 7 14 21 27 31 33 29 24 17 11 7 225
1990 2 6 14 21 28 31 31 30 22 18 11 7 221
1991 23 36 53 119 156 171 181 155 118 88 47 20 1167
1992 15 11 16 120 158 180 186 166 129 65 53 9 1108
1993 -4 -12 79 126 170 184 197 175 136 96 46 30 1223
1994 29 40 80 125 169 188 193 169 132 96 49 12 1282
1995 -20 46 71 126 171 193 204 176 141 100 58 34 1300
1996 31 38 88 131 171 194 199 183 140 95 43 31 1344
1997 26 47 93 134 182 200 205 173 111 104 54 33 1362
1998 30 -6 77 131 180 198 187 182 123 97 57 34 1290
1999 29 50 95 119 184 199 186 190 142 106 61 37 1398
2000 36 24 91 144 194 215 227 188 156 93 64 39 1471
2001 5 20 88 142 194 215 223 200 156 111 59 37 1450
2002 35 55 99 146 197 218 224 206 156 104 61 37 1538
2003 37 17 86 136 202 224 230 202 161 116 54 22 1487
2004 36 22 100 130 204 226 236 203 162 95 25 -6 1433
2005 -13 3 95 146 206 226 218 200 164 83 68 41 1437
2006 37 58 83 152 205 226 234 215 165 90 68 36 1569
2007 38 55 105 151 206 228 227 195 156 119 68 23 1571
2008 23 54 105 155 205 231 240 211 168 119 55 17 1583
2009 37 36 106 153 209 230 236 218 168 120 70 33 1616
2010 -8 31 96 155 212 235 248 212 169 102 70 -8 1514
2011 39 54 105 157 210 235 235 219 155 109 68 37 1623
2012 39 58 105 156 214 237 241 180 161 98 71 28 1588
2013 31 60 103 157 213 237 237 204 145 121 37 41 1586
2014 40 59 101 158 213 237 239 205 160 123 71 31 1637
2015 16 48 101 155 208 235 243 212 171 96 67 43 1595
2016 36 61 113 129 202 238 243 218 179 127 81 31 1658
2017 26 46 114 159 215 238 240 211 171 133 82 54 1689
2018 13 66 107 161 209 238 231 223 180 126 78 50 1682
2019 25 15 101 149 192 238 251 226 178 133 43 30 1581
2020 49 58 67 158 215 238 253 229 180 133 81 53 1714
2021 40 66 105 161 214 236 227 225 176 128 82 41 1701
2022 47 66 111 161 215 238 231 212 165 133 74 50 1703
2023 17 57 96 161 213 233 251 193 146 132 79 52 1630
2024 36 38 95 156 215 238 246 228 179 133 81 54 1699
