Year January February March April May June July August September October November December Total
1971 4 4 5 5 6 7 7 7 6 6 5 4 66
1972 4 4 5 5 7 7 8 8 7 6 5 5 71
1973 4 4 5 6 7 8 8 8 7 6 5 5 73
1974 5 4 5 6 7 8 9 9 7 6 5 5 76
1975 5 4 6 6 7 9 10 10 7 6 6 5 81
1976 5 5 6 6 8 10 10 10 8 7 6 5 86
1977 5 5 6 7 9 10 11 10 9 7 6 6 91
1978 5 5 6 7 10 11 11 11 10 7 6 6 95
1979 6 5 7 7 10 11 12 11 10 8 7 6 100
1980 6 6 7 8 11 12 12 12 10 9 7 6 106
1981 6 6 7 8 11 12 13 12 11 10 8 7 111
1982 6 6 8 9 11 13 13 13 11 10 8 7 115
1983 7 6 8 10 12 13 14 13 12 10 8 7 120
1984 7 6 8 10 12 13 15 13 12 10 8 7 121
1985 7 7 9 10 12 14 15 15 12 11 9 8 129
1986 7 7 10 10 13 15 16 15 13 11 10 8 135
1987 7 7 10 11 13 16 17 16 13 12 10 9 141
1988 8 7 10 11 15 16 17 17 15 12 11 10 149
1989 9 8 11 12 16 17 18 18 16 13 11 10 159
1990 10 9 12 13 17 18 19 19 17 14 12 11 171
1991 10 10 12 13 18 20 21 21 18 15 13 12 183
1992 12 11 13 14 19 20 22 21 18 15 13 12 190
1993 12 10 13 15 20 22 23 22 20 16 14 12 199
1994 12 10 15 16 21 23 24 24 20 17 15 14 211
1995 12 12 15 17 21 25 26 25 21 18 16 13 221
1996 12 12 16 17 22 26 27 26 23 19 16 14 230
1997 13 13 17 19 23 26 29 27 24 21 17 15 244
1998 15 13 17 19 24 28 30 29 25 21 18 15 254
1999 15 14 18 20 26 30 31 30 25 22 19 16 266
2000 16 15 19 21 26 29 31 30 25 22 19 16 269
2001 16 15 19 20 26 29 31 29 25 22 19 16 267
2002 16 14 19 20 25 28 30 29 24 21 18 16 260
2003 14 14 17 19 24 27 28 28 24 20 17 15 247
2004 14 14 17 18 23 26 27 26 23 19 16 15 238
2005 13 13 16 17 23 25 27 25 21 18 16 14 228
2006 13 12 16 17 21 23 25 24 20 18 15 14 218
2007 12 11 15 16 20 22 24 22 20 16 14 12 204
2008 11 11 13 14 18 20 22 20 18 15 13 12 187
2009 10 9 13 14 17 18 19 19 16 13 11 10 169
2010 9 8 11 12 15 16 18 17 15 13 11 9 154
2011 8 8 11 12 15 16 17 16 14 12 11 9 149
2012 8 8 11 12 14 16 17 16 14 12 11 9 148
2013 8 8 11 11 14 16 17 16 14 12 11 8 146
2014 8 7 11 11 14 15 16 16 14 12 10 7 141
2015 7 6 10 11 14 15 16 16 14 12 9 7 137
2016 6 5 7 8 11 12 13 13 11 8 7 6 109
2017 6 5 7 8 11 13 13 13 11 9 7 6 111
2018 6 6 7 8 11 13 14 13 11 9 7 6 114
2019 6 6 7 9 12 13 14 13 12 10 7 6 116
2020 6 6 7 9 12 13 14 13 12 10 7 6 116
2021 6 6 7 9 12 13 14 13 12 10 7 6 117
2022 6 6 7 9 12 13 14 13 12 10 7 7 118
2023 6 6 8 9 12 13 14 14 12 10 8 7 120
2024 6 6 8 10 12 14 15 14 12 10 8 7 122
