Year January February March April May June July August September October November December Total
1971 125 125 125 125 125 125 125 125 125 125 125 125 1500
1972 133 133 133 133 133 133 133 133 133 133 133 133 1596
1973 133 133 133 133 133 133 133 133 133 133 133 133 1596
1974 133 133 133 133 133 133 133 133 133 133 133 133 1596
1975 125 125 125 125 125 125 125 125 125 125 125 125 1500
1976 175 175 175 175 175 175 175 175 175 175 175 175 2100
1977 275 275 275 275 275 275 275 275 275 275 275 275 3300
1978 292 292 292 292 292 292 292 292 292 292 292 292 3504
1979 242 242 242 242 242 242 242 242 242 242 242 242 2904
1980 208 208 208 208 208 208 208 208 208 208 208 208 2496
1981 242 242 242 242 242 242 242 242 242 242 242 242 2904
1982 150 150 150 150 150 150 150 150 150 150 150 150 1800
1983 142 142 142 142 142 142 142 142 142 142 142 142 1704
1984 142 142 142 142 142 142 142 142 142 142 142 142 1704
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 1 1 1 1 1 1 1 1 1 1 1 1 12
1987 1 1 1 1 1 1 1 1 1 1 1 1 12
1988 2 2 2 2 2 2 2 2 2 2 2 2 24
1989 3 3 3 3 3 3 3 3 3 3 3 3 36
1990 4 4 4 4 4 4 4 4 4 4 4 4 48
1991 4 4 4 4 4 4 4 4 4 4 4 4 48
1992 4 4 4 4 4 4 4 4 4 4 4 4 48
1993 4 4 4 4 4 4 4 4 4 4 4 4 48
1994 4 4 4 4 4 4 4 4 4 4 4 4 48
1995 4 4 4 4 4 4 4 4 4 4 4 4 48
1996 3 3 3 3 3 3 3 3 3 3 3 3 36
1997 2 2 2 2 2 2 2 2 2 2 2 2 24
1998 1 1 1 1 1 1 1 1 1 1 1 1 12
1999 1 1 1 1 1 1 1 1 1 1 1 1 12
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 0 0 0 0 0 0 0 0 0 0 0 0 0
2011 0 0 0 0 0 0 0 0 0 0 0 0 0
2012 0 0 0 0 0 0 0 0 0 0 0 0 0
2013 0 0 0 0 0 0 0 0 0 0 0 0 0
2014 1 1 1 1 1 1 1 1 1 1 1 1 12
2015 1 1 1 1 1 1 1 1 1 1 1 1 12
2016 1 1 1 1 1 1 1 1 1 1 1 1 12
2017 1 1 1 1 1 1 1 1 1 1 1 1 12
2018 1 1 1 1 1 1 1 1 1 1 1 1 12
2019 1 1 1 1 1 1 1 1 1 1 1 1 12
2020 1 1 1 1 1 1 1 1 1 1 1 1 12
2021 1 1 1 1 1 1 1 1 1 1 1 1 12
2022 1 1 1 1 1 1 1 1 1 1 1 1 12
2023 1 1 1 1 1 1 1 1 1 1 1 1 12
2024 1 1 1 1 1 1 1 1 1 1 1 1 12
