Year January February March April May June July August September October November December Total
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 0 0 1 1 2 2 2 2 2 1 0 0 13
1997 0 0 1 1 2 2 2 2 1 1 0 0 12
1998 0 -1 0 1 2 2 2 2 1 1 0 0 10
1999 0 0 1 1 2 2 2 2 1 1 0 0 12
2000 0 0 1 1 2 2 2 2 2 1 0 0 13
2001 0 0 1 1 2 2 2 2 2 1 0 0 13
2002 0 0 1 1 2 2 2 2 1 1 0 0 12
2003 0 0 1 1 2 2 2 2 1 1 0 0 12
2004 0 0 1 1 2 2 2 2 2 1 0 0 13
2005 -1 0 1 1 2 2 2 2 2 1 0 0 12
2006 0 0 1 1 2 2 2 2 1 1 0 0 12
2007 0 0 1 1 2 2 2 2 1 1 0 0 12
2008 0 0 1 1 2 2 2 2 2 1 0 0 13
2009 0 0 1 1 2 2 2 2 1 1 0 0 12
2010 -1 0 1 1 2 2 2 2 2 1 0 0 12
2011 0 0 1 1 2 2 2 2 1 1 0 0 12
2012 0 0 1 1 2 2 2 2 1 1 0 0 12
2013 0 0 1 1 2 2 2 2 1 1 0 0 12
2014 0 0 1 1 2 2 2 2 1 1 0 0 12
2015 0 0 1 1 2 2 2 2 2 1 0 0 13
2016 0 0 1 1 2 2 2 2 1 1 0 0 12
2017 0 0 1 1 2 2 2 2 1 1 0 0 12
2018 0 0 1 1 2 2 2 2 2 1 0 0 13
2019 0 0 1 1 2 2 2 2 1 1 0 0 12
2020 0 0 0 1 2 2 2 2 2 1 0 0 12
2021 0 0 1 1 2 2 2 2 1 1 0 0 12
2022 0 0 1 1 2 2 2 2 1 1 0 0 12
2023 0 0 0 1 2 2 2 2 1 1 0 0 11
2024 0 0 0 1 2 2 2 2 1 1 0 0 11
