Year January February March April May June July August September October November December Total
1971 -110 -110 -110 -110 -110 -110 -110 -110 -110 -110 -110 -110 -1320
1972 -213 -213 -213 -213 -213 -213 -213 -213 -213 -213 -213 -213 -2556
1973 -203 -203 -203 -203 -203 -203 -203 -203 -203 -203 -203 -203 -2436
1974 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -2652
1975 -202 -202 -202 -202 -202 -202 -202 -202 -202 -202 -202 -202 -2424
1976 -242 -242 -242 -242 -242 -242 -242 -242 -242 -242 -242 -242 -2904
1977 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -2832
1978 -173 -173 -173 -173 -173 -173 -173 -173 -173 -173 -173 -173 -2076
1979 -202 -202 -202 -202 -202 -202 -202 -202 -202 -202 -202 -202 -2424
1980 -205 -205 -205 -205 -205 -205 -205 -205 -205 -205 -205 -205 -2460
1981 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -2784
1982 -274 -274 -274 -274 -274 -274 -274 -274 -274 -274 -274 -274 -3288
1983 -258 -258 -258 -258 -258 -258 -258 -258 -258 -258 -258 -258 -3096
1984 -241 -241 -241 -241 -241 -241 -241 -241 -241 -241 -241 -241 -2892
1985 -146 -146 -146 -146 -146 -146 -146 -146 -146 -146 -146 -146 -1752
1986 -259 -259 -259 -259 -259 -259 -259 -259 -259 -259 -259 -259 -3108
1987 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -2652
1988 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -2832
1989 -199 -199 -199 -199 -199 -199 -199 -199 -199 -199 -199 -199 -2388
1990 -198 -198 -198 -198 -198 -198 -198 -198 -198 -198 -198 -198 -2376
1991 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -2784
1992 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -221 -2652
1993 -214 -214 -214 -214 -214 -214 -214 -214 -214 -214 -214 -214 -2568
1994 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -236 -2832
1995 -251 -251 -251 -251 -251 -251 -251 -251 -251 -251 -251 -251 -3012
1996 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -232 -2784
1997 -239 -239 -239 -239 -239 -239 -239 -239 -239 -239 -239 -239 -2868
1998 -233 -233 -233 -233 -233 -233 -233 -233 -233 -233 -233 -233 -2796
1999 -243 -243 -243 -243 -243 -243 -243 -243 -243 -243 -243 -243 -2916
2000 -260 -260 -260 -260 -260 -260 -260 -260 -260 -260 -260 -260 -3120
2001 -262 -262 -262 -262 -262 -262 -262 -262 -262 -262 -262 -262 -3144
2002 -268 -268 -268 -268 -268 -268 -268 -268 -268 -268 -268 -268 -3216
2003 -257 -257 -257 -257 -257 -257 -257 -257 -257 -257 -257 -257 -3084
2004 -253 -253 -253 -253 -253 -253 -253 -253 -253 -253 -253 -253 -3036
2005 -259 -259 -259 -259 -259 -259 -259 -259 -259 -259 -259 -259 -3108
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 0 0 0 0 0 0 0 0 0 0 0 0 0
2011 0 0 0 0 0 0 0 0 0 0 0 0 0
2012 0 0 0 0 0 0 0 0 0 0 0 0 0
2013 0 0 0 0 0 0 0 0 0 0 0 0 0
2014 0 0 0 0 0 0 0 0 0 0 0 0 0
2015 0 0 0 0 0 0 0 0 0 0 0 0 0
2016 0 0 0 0 0 0 0 0 0 0 0 0 0
2017 0 0 0 0 0 0 0 0 0 0 0 0 0
2018 0 0 0 0 0 0 0 0 0 0 0 0 0
2019 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 0 0 0 0 0 0 0 0 0 0 0 0 0
2021 0 0 0 0 0 0 0 0 0 0 0 0 0
2022 0 0 0 0 0 0 0 0 0 0 0 0 0
2023 0 0 0 0 0 0 0 0 0 0 0 0 0
2024 0 0 0 0 0 0 0 0 0 0 0 0 0
