Year January February March April May June July August September October November December Total
1971 4406 4630 7280 8979 11358 12730 12924 11988 10073 7625 5890 4426 102309
1972 3577 3990 6530 8247 10471 11450 11668 10732 8794 6520 4841 3620 90440
1973 3319 3705 6054 7923 9999 11097 11245 10446 8608 6275 4699 3461 86831
1974 4147 4810 7853 10081 12865 14218 14151 13125 10754 7682 5805 4296 109787
1975 5743 6261 9696 12272 15762 17615 17813 16583 13759 10273 7937 5990 139704
1976 5493 5787 9414 11855 15234 16932 16996 16081 13203 9928 7670 5806 134399
1977 6024 6753 10843 13892 17424 19536 19686 18124 15034 11204 8582 6370 153472
1978 5451 5836 9373 11853 15475 17295 17476 16272 13226 10015 7438 5709 135419
1979 5744 6291 9776 12596 16072 17948 18100 16851 13963 10503 8026 6070 141940
1980 6399 7132 11721 15285 19450 21923 21942 20463 16573 12424 9353 6870 169535
1981 6360 6964 11008 14396 18726 20978 21085 19543 16094 11692 8916 6542 162304
1982 5183 5666 8853 11678 14977 16762 16950 15642 12743 9603 7079 5337 130473
1983 6965 7644 11878 15283 19684 21820 22155 20399 17033 12830 10024 7524 173239
1984 7134 7460 11723 14944 19405 21625 21555 20281 16982 12791 9714 7239 170853
1985 6028 8404 13505 16442 20550 22974 24563 20739 17868 11027 7842 8757 178699
1986 9058 9414 14794 19848 26643 24512 26105 22866 20732 14677 10303 8683 207635
1987 7772 8716 14194 15569 22112 24299 24186 22465 17374 11815 7089 4670 180261
1988 4482 8831 16106 18542 20489 23742 24760 21924 18396 12178 8944 5838 184232
1989 5655 8565 13902 15685 20159 23273 24043 22247 18026 12967 9421 6989 180932
1990 6704 7953 14963 18404 19516 23688 23769 21727 17840 13638 9962 6263 184427
1991 5600 8516 12328 15459 19766 22175 22690 20585 17638 11899 9973 8012 174641
1992 7705 8180 12095 17718 22464 26238 24939 21977 17791 12497 11745 9160 192509
1993 6278 7676 12748 18647 21259 23911 24299 22760 18353 14912 11460 8925 191228
1994 7992 7657 10720 14932 20714 23061 24028 22859 19129 14545 10168 7941 183746
1995 6624 7067 11729 16572 21338 24339 24688 22259 18308 14561 11241 9101 187827
1996 8783 8402 13690 15758 19857 23162 24644 22220 17628 13175 10000 9761 187080
1997 8045 8376 11920 13955 20766 24047 24064 23136 18838 15186 10505 10444 189282
1998 8915 6298 13372 16369 22431 25326 26540 24430 19763 14884 11757 9170 199255
1999 8007 8112 11178 13931 22084 23705 25140 23380 18622 14537 11115 8670 188481
2000 8279 8066 12669 14778 21812 23421 24402 23085 19658 13339 12166 8397 190072
2001 8172 9294 11548 16855 22350 24266 24784 22543 18439 14923 11514 9435 194123
2002 9964 9237 11546 15818 22083 24615 25224 22545 19709 14132 9766 8975 193614
2003 8445 7819 11921 15774 22501 25229 25348 24010 20438 15552 11776 7895 196708
2004 9266 8515 12282 17770 22457 24729 25513 22965 19132 12168 11026 7683 193506
2005 6687 7856 14219 16818 23983 25632 23745 21897 19370 13942 11511 8524 194184
2006 7068 8363 12579 16581 21092 23600 24837 22812 19119 13688 11509 8160 189408
2007 8176 7709 11990 16453 20221 23132 23848 23131 18672 15185 10602 7320 186439
2008 8049 8605 11558 13969 20027 22931 24694 23289 18225 14483 10993 7950 184773
2009 8263 8075 13844 16657 21170 24657 23799 22526 18446 13632 10478 8212 189759
2010 7485 7169 11705 16106 20543 24180 23397 22497 17240 12887 10347 5495 179051
2011 8203 7214 13280 16541 23082 24963 24527 22533 18913 14245 11334 7799 192634
2012 7662 8171 14127 17372 20764 24511 24946 25209 20221 15169 12056 8224 198432
2013 8004 9144 12949 16209 21561 25298 24060 22823 19616 14688 8973 8060 191385
2014 7935 8949 12870 16386 22398 25627 25614 25178 20419 16246 11613 7933 201168
2015 7567 7751 11719 16751 23911 26396 25633 23362 19214 14909 12556 9380 199149
2016 5037 5637 9073 12783 17882 21081 22977 19987 16542 11817 8458 5808 157087
2017 5310 5592 9846 13611 17970 20678 20882 19743 15849 11292 8117 6122 155008
2018 5518 5649 7900 12645 18466 21193 21481 21063 16856 10168 7876 6938 155749
2019 4445 4555 7673 12101 14978 20419 22587 20674 15439 10364 5742 4797 143764
2020 5883 5414 7462 12066 20847 20071 23180 22122 16617 13209 8665 5800 161333
2021 5406 5812 7863 11937 18946 23237 22225 21891 18450 11021 8589 5782 161153
2022 6343 6264 8724 12803 17819 21283 22302 19786 17109 11971 7378 5932 157713
2023 5144 5816 7604 11489 18215 20396 24219 21933 16947 12668 8561 7024 160010
2024 5522 5268 8855 13372 18883 22602 22262 22785 18032 13641 8849 7376 167441
