Year January February March April May June July August September October November December Total
1971 362 444 745 941 1116 1171 1132 1036 838 603 433 332 9153
1972 401 491 824 1041 1235 1296 1253 1146 928 667 479 367 10128
1973 406 498 835 1055 1251 1313 1269 1161 940 676 486 372 10262
1974 426 522 876 1106 1313 1377 1331 1218 986 709 509 390 10763
1975 426 522 877 1107 1314 1378 1332 1219 987 709 510 391 10772
1976 453 555 931 1176 1395 1464 1415 1294 1048 753 541 415 11440
1977 502 615 1032 1304 1547 1623 1569 1435 1162 835 600 460 12684
1978 459 562 944 1192 1414 1484 1434 1312 1062 764 549 421 11597
1979 444 544 913 1153 1368 1435 1387 1269 1027 739 531 407 11217
1980 499 612 1027 1297 1539 1614 1561 1428 1156 831 597 458 12619
1981 455 558 936 1183 1403 1472 1423 1302 1054 758 544 417 11505
1982 382 469 786 993 1179 1236 1195 1093 885 636 457 351 9662
1983 462 567 951 1202 1426 1496 1446 1323 1071 770 553 424 11691
1984 442 541 909 1148 1362 1429 1381 1264 1023 735 528 405 11167
1985 567 751 1312 1343 1442 1640 1699 1437 1316 727 389 496 13119
1986 677 828 1172 1345 1866 1514 1585 1543 1379 1046 744 563 14262
1987 502 544 992 1269 1847 1859 1650 1523 1256 827 537 4 12810
1988 0 228 803 984 961 1009 996 1040 885 465 299 37 7707
1989 0 533 1009 1074 1629 1464 1675 1529 1232 819 535 376 11875
1990 448 495 689 953 843 1274 1156 962 811 579 309 204 8723
1991 58 439 694 972 1027 1195 1307 997 1021 511 456 504 9181
1992 388 411 667 965 1330 1191 1160 938 788 542 465 321 9166
1993 368 594 902 1186 1203 1296 1247 1273 1008 965 522 565 11129
1994 470 452 615 907 984 1216 1395 1234 995 740 488 395 9891
1995 290 418 665 899 1040 1116 1079 974 794 540 348 339 8502
1996 330 428 772 885 835 988 888 867 635 418 311 369 7726
1997 320 451 708 757 1255 1096 926 956 707 531 362 387 8456
1998 288 243 631 718 940 1049 1182 1034 763 469 409 321 8047
1999 332 347 536 762 1295 1002 960 925 700 531 400 257 8047
2000 370 342 585 723 858 946 1103 1088 701 440 454 278 7888
2001 337 373 598 737 893 1103 1052 928 720 545 368 333 7987
2002 396 485 647 799 884 968 1032 922 744 452 299 297 7925
2003 371 315 737 851 917 1065 1038 942 823 566 459 291 8375
2004 399 394 627 838 891 1009 925 922 694 457 386 281 7823
2005 288 383 685 901 995 973 837 748 734 480 348 278 7650
2006 203 343 562 753 815 941 1079 927 728 455 354 270 7430
2007 365 300 535 802 846 933 908 828 694 582 380 187 7360
2008 354 315 581 745 809 798 867 860 630 557 403 252 7171
2009 140 247 569 601 708 717 546 452 369 347 160 178 5034
2010 138 217 505 529 424 593 325 360 253 262 183 144 3933
2011 268 248 636 606 616 513 426 285 228 304 302 169 4601
2012 270 363 487 621 441 504 455 589 502 188 160 200 4780
2013 200 184 200 298 404 341 351 289 259 183 100 146 2955
2014 94 146 214 249 316 352 257 310 237 243 153 126 2697
2015 145 152 238 268 329 317 288 226 174 223 221 118 2699
2016 2 61 132 137 174 201 215 189 158 116 75 19 1478
2017 5 64 201 200 285 219 249 196 160 109 62 35 1784
2018 25 43 122 212 212 244 237 209 162 72 62 52 1650
2019 15 25 237 301 220 298 289 258 175 101 5 27 1950
2020 126 138 276 308 385 309 345 232 180 190 72 51 2612
2021 24 57 141 174 220 255 223 215 207 82 73 14 1685
2022 76 70 167 210 254 230 246 128 171 95 41 23 1710
2023 21 78 176 214 245 287 331 268 175 149 89 64 2098
2024 24 53 146 206 236 294 268 264 191 140 94 43 1959
