Year January February March April May June July August September October November December Total
1971 11 11 14 15 20 22 24 23 20 17 14 13 204
1972 12 11 15 16 21 23 25 24 21 17 15 13 213
1973 12 12 15 17 22 24 26 25 21 18 16 14 222
1974 13 12 16 18 23 26 27 26 23 19 16 14 233
1975 14 13 17 18 24 27 29 28 24 20 17 15 246
1976 14 14 18 19 25 28 30 29 25 21 18 16 257
1977 15 14 18 20 26 30 32 31 26 22 19 17 270
1978 16 15 20 22 28 31 34 33 28 24 20 18 289
1979 17 16 21 23 30 34 36 35 30 25 22 19 308
1980 18 17 22 24 31 35 38 36 31 26 23 20 321
1981 19 18 23 26 33 37 40 38 33 28 24 21 340
1982 20 19 24 27 35 39 42 40 34 29 25 22 356
1983 21 19 25 28 36 40 43 41 35 30 26 23 367
1984 21 20 26 28 37 41 44 42 36 31 26 23 375
1985 22 21 27 29 38 42 46 44 37 32 27 24 389
1986 23 21 28 30 39 44 47 45 39 33 28 25 402
1987 24 22 29 32 41 46 50 48 41 35 30 27 425
1988 25 24 31 34 44 49 53 51 44 37 32 28 452
1989 27 25 33 36 47 53 57 54 47 40 34 30 483
1990 29 27 35 39 51 58 63 61 53 46 40 35 537
1991 34 32 42 47 61 70 75 73 63 54 47 42 640
1992 39 37 49 54 71 80 87 84 73 62 53 48 737
1993 45 43 56 62 81 92 100 97 84 72 62 55 849
1994 53 50 65 73 94 107 116 112 97 83 71 64 985
1995 60 57 75 83 108 122 132 128 111 94 81 72 1123
1996 69 65 85 94 123 139 150 146 126 107 93 82 1279
1997 78 74 97 108 140 158 171 165 143 122 105 93 1454
1998 89 84 110 122 157 178 192 186 160 136 117 104 1635
1999 99 94 123 136 175 199 214 206 178 151 130 115 1820
2000 109 103 135 149 192 217 233 225 194 164 141 125 1987
2001 116 109 142 157 202 228 245 235 202 171 147 130 2084
2002 120 113 148 163 210 236 254 244 209 177 152 134 2160
2003 125 117 153 168 217 244 262 252 217 184 158 140 2237
2004 129 122 159 175 225 254 273 262 225 190 163 144 2321
2005 134 126 164 181 233 262 281 270 232 197 168 149 2397
2006 138 130 169 187 240 271 291 279 240 203 174 154 2476
2007 142 134 174 192 247 278 298 285 245 207 177 157 2536
2008 145 136 177 195 250 281 301 289 248 209 179 158 2568
2009 146 137 178 195 251 282 302 289 248 209 179 158 2574
2010 145 137 177 195 250 281 301 288 247 208 178 157 2564
2011 148 139 180 198 255 286 307 294 252 213 182 161 2615
2012 152 142 185 203 261 294 315 302 259 218 187 165 2683
2013 155 146 190 209 268 302 323 310 266 224 192 170 2755
2014 160 150 195 215 276 311 333 319 274 231 198 175 2837
2015 165 155 202 222 285 321 344 330 283 239 204 181 2931
2016 175 164 213 235 307 348 373 354 306 257 211 186 3130
2017 179 167 218 240 313 356 381 361 312 262 215 190 3193
2018 182 170 222 245 320 363 389 369 319 267 219 194 3260
2019 185 173 225 248 324 368 394 374 323 271 222 197 3304
2020 185 173 225 248 324 368 394 374 323 271 222 197 3304
2021 187 174 227 251 327 371 398 377 326 273 224 198 3334
2022 189 176 230 253 331 375 402 382 330 276 227 200 3371
2023 191 179 233 257 335 381 408 387 334 280 230 203 3418
2024 195 182 237 262 342 388 416 394 341 286 234 207 3483
