Year January February March April May June July August September October November December Total
1971 373 455 759 956 1136 1193 1156 1059 858 620 447 345 9357
1972 413 502 839 1057 1256 1319 1278 1170 949 684 494 380 10341
1973 418 510 850 1072 1273 1337 1295 1186 961 694 502 386 10484
1974 439 534 892 1124 1336 1403 1358 1244 1009 728 525 404 10996
1975 440 535 894 1125 1338 1405 1361 1247 1011 729 527 406 11018
1976 467 569 949 1195 1420 1492 1445 1323 1073 774 559 431 11697
1977 517 629 1050 1324 1573 1653 1601 1466 1188 857 619 477 12954
1978 475 577 964 1214 1442 1515 1468 1345 1090 788 569 439 11886
1979 461 560 934 1176 1398 1469 1423 1304 1057 764 553 426 11525
1980 517 629 1049 1321 1570 1649 1599 1464 1187 857 620 478 12940
1981 474 576 959 1209 1436 1509 1463 1340 1087 786 568 438 11845
1982 402 488 810 1020 1214 1275 1237 1133 919 665 482 373 10018
1983 483 586 976 1230 1462 1536 1489 1364 1106 800 579 447 12058
1984 463 561 935 1176 1399 1470 1425 1306 1059 766 554 428 11542
1985 590 773 1340 1373 1481 1683 1746 1482 1354 760 417 521 13520
1986 701 850 1201 1376 1906 1559 1633 1589 1419 1080 773 589 14676
1987 527 567 1022 1302 1889 1906 1701 1572 1298 863 568 32 13247
1988 25 252 834 1018 1005 1058 1049 1091 929 502 331 65 8159
1989 27 558 1042 1110 1676 1517 1732 1583 1279 859 569 406 12358
1990 477 522 724 992 894 1332 1219 1023 864 625 349 239 9260
1991 92 471 736 1019 1088 1265 1382 1070 1084 565 503 546 9821
1992 427 448 716 1019 1401 1271 1247 1022 861 604 518 369 9903
1993 413 637 958 1248 1284 1388 1347 1370 1092 1037 584 620 11978
1994 523 502 680 980 1078 1323 1511 1346 1092 823 559 459 10876
1995 350 475 740 982 1148 1238 1211 1102 905 634 429 411 9625
1996 399 493 857 979 958 1127 1038 1013 761 525 404 451 9005
1997 398 525 805 865 1395 1254 1097 1121 850 653 467 480 9910
1998 377 327 741 840 1097 1227 1374 1220 923 605 526 425 9682
1999 431 441 660 899 1471 1202 1175 1132 879 683 530 372 9875
2000 479 445 720 873 1051 1164 1337 1314 896 604 595 403 9881
2001 453 482 740 895 1096 1332 1298 1164 923 717 515 463 10078
2002 516 598 795 963 1095 1205 1287 1167 954 630 451 431 10092
2003 496 432 890 1020 1135 1310 1301 1195 1041 751 617 431 10619
2004 528 516 786 1014 1117 1264 1199 1185 920 647 549 425 10150
2005 422 509 849 1083 1229 1236 1119 1019 967 677 516 427 10053
2006 341 473 731 941 1056 1213 1371 1207 969 658 528 424 9912
2007 507 434 710 995 1094 1212 1207 1114 940 790 557 344 9904
2008 499 451 759 941 1061 1081 1170 1151 880 767 583 410 9753
2009 286 384 748 797 961 1001 850 743 619 557 340 336 7622
2010 283 354 683 725 676 876 628 650 502 471 362 301 6511
2011 416 387 817 805 873 801 735 581 482 518 485 330 7230
2012 422 505 673 825 704 800 772 893 762 407 348 365 7476
2013 355 331 391 508 674 645 676 601 526 408 293 316 5724
2014 254 297 410 465 594 665 592 631 512 475 352 301 5548
2015 310 307 441 491 616 640 634 558 459 463 426 299 5644
2016 177 225 346 373 483 551 590 545 466 374 287 205 4622
2017 184 231 420 441 600 577 632 559 474 372 278 225 4991
2018 207 213 345 458 534 609 628 580 483 340 282 246 4924
2019 200 198 463 550 546 668 685 634 500 373 227 224 5267
2020 311 311 501 557 711 679 741 608 505 462 295 248 5929
2021 211 232 369 426 549 628 623 594 535 356 298 212 5034
2022 265 247 398 464 587 607 650 512 502 372 269 223 5095
2023 212 257 410 472 582 670 741 657 510 430 320 267 5529
2024 219 235 384 469 580 684 686 660 534 427 329 250 5456
