Year January February March April May June July August September October November December Total
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 0 0 1 1 1 1 1 1 1 1 0 0 8
2000 0 0 0 1 1 1 1 1 1 0 0 0 6
2001 0 0 0 1 1 1 1 1 1 1 0 0 7
2002 0 0 0 1 1 1 1 1 1 1 0 0 7
2003 0 0 0 1 1 1 1 1 1 1 0 0 7
2004 0 0 0 1 1 1 1 1 1 0 0 0 6
2005 0 0 0 1 1 1 1 1 1 0 0 0 6
2006 0 0 0 1 1 1 1 1 1 0 0 0 6
2007 0 0 1 1 1 1 1 1 1 1 0 0 8
2008 0 0 1 1 2 2 2 2 2 1 1 0 14
2009 0 0 1 1 2 2 2 2 2 1 1 0 14
2010 0 0 1 1 2 2 2 2 2 1 1 0 14
2011 0 0 1 1 2 2 2 2 2 1 1 0 14
2012 0 0 1 1 2 2 2 2 1 1 1 0 13
2013 0 1 1 1 2 2 2 2 1 1 1 0 14
2014 0 1 1 1 2 2 2 2 1 1 1 0 14
2015 0 0 1 1 2 2 2 2 2 1 1 0 14
2016 0 0 1 1 2 2 2 2 2 1 1 0 14
2017 0 0 1 1 2 2 2 2 2 1 1 0 14
2018 0 0 1 1 2 2 2 2 2 1 1 0 14
2019 0 0 1 1 2 2 2 2 2 1 0 0 13
2020 0 0 0 1 2 2 2 2 2 1 1 0 13
2021 0 1 1 1 2 2 2 2 2 1 1 0 15
2022 0 1 1 1 2 2 2 2 1 1 1 0 14
2023 0 0 1 1 2 2 2 2 1 1 1 0 13
2024 0 0 1 1 2 2 2 2 2 1 1 0 14
