Year January February March April May June July August September October November December Total
1971 90 108 261 497 690 824 682 593 500 303 198 99 4845
1972 100 119 289 550 764 912 754 657 553 335 220 110 5363
1973 101 121 292 558 774 924 764 665 560 339 222 111 5431
1974 106 126 304 581 806 962 796 693 583 353 232 116 5658
1975 152 181 439 837 1161 1386 1147 998 840 509 334 167 8151
1976 112 133 322 614 852 1016 841 732 616 373 245 122 5978
1977 216 257 621 1185 1644 1962 1624 1413 1190 721 473 236 11542
1978 179 213 516 983 1365 1629 1348 1173 988 598 392 196 9580
1979 104 123 298 569 790 943 780 679 572 346 227 114 5545
1980 258 307 743 1417 1966 2347 1942 1690 1423 862 565 283 13803
1981 208 248 601 1147 1593 1900 1571 1368 1152 698 458 229 11173
1982 174 208 503 959 1331 1588 1314 1144 963 583 382 191 9340
1983 193 229 556 1068 1487 1768 1458 1270 1071 648 426 211 10385
1984 175 208 503 962 1335 1592 1317 1146 965 585 383 191 9362
1985 164 224 209 575 1195 2138 2277 1356 1010 452 42 283 9925
1986 274 349 617 1495 1785 2198 2021 1953 1560 1003 584 430 14269
1987 239 245 569 1327 1715 1765 1545 1415 1074 315 105 0 10314
1988 0 50 238 784 1230 1688 1546 1351 958 405 122 1 8373
1989 0 110 316 760 1185 1255 1188 1104 710 576 452 196 7852
1990 66 163 443 718 1022 1324 1338 993 684 509 150 9 7419
1991 70 304 387 619 702 1046 952 678 639 350 232 53 6032
1992 226 255 539 1620 1859 2174 1805 1176 988 529 713 285 12169
1993 0 87 597 1345 1620 1970 1618 1349 967 508 137 186 10384
1994 135 230 574 1054 1152 1573 1433 1021 914 500 367 258 9211
1995 15 230 640 1025 1506 1959 1793 1320 973 558 410 330 10759
1996 176 95 625 690 906 1179 1024 798 727 350 283 70 6923
1997 2 227 577 1024 1704 1759 1540 1522 1620 1121 303 314 11713
1998 215 65 303 986 1653 1941 1552 1278 1265 683 406 369 10716
1999 103 222 348 614 1535 1699 1505 1229 976 509 202 226 9168
2000 166 78 402 719 1020 1308 1088 864 692 190 403 139 7069
2001 108 355 658 1101 1435 1855 1538 1171 870 464 231 258 10044
2002 216 129 214 579 971 1156 895 666 722 604 225 47 6424
2003 287 18 428 876 1182 1530 1079 1165 807 522 390 173 8457
2004 381 143 213 1040 1311 1482 1117 1161 979 248 320 172 8567
2005 13 61 585 1108 1724 1999 1544 1311 1095 553 580 209 10782
2006 181 263 556 975 1248 1472 1187 1052 859 349 520 164 8826
2007 270 195 359 940 1059 1217 1050 922 852 618 306 93 7881
2008 154 272 342 508 968 1316 1192 1012 823 398 185 92 7262
2009 195 76 357 991 1237 1696 1339 972 820 463 241 29 8416
2010 45 98 640 1130 1472 1655 1230 1373 872 410 426 6 9357
2011 472 128 771 1304 1747 2017 1583 1319 1202 680 597 328 12148
2012 184 397 698 1073 1360 1633 1205 1221 1007 561 224 121 9684
2013 211 260 461 782 1488 1885 1443 1283 1253 693 374 262 10395
2014 70 124 254 663 1312 1814 1309 1275 1086 797 355 158 9217
2015 119 116 327 1377 2206 2721 2103 1778 1521 729 745 213 13955
2016 0 59 516 767 1079 1335 1174 1141 931 744 245 0 7990
2017 0 33 472 707 909 1190 994 896 701 467 199 90 6658
2018 13 70 267 589 990 1209 1068 1130 1008 239 134 45 6763
2019 0 4 213 832 1124 1570 1599 1365 1066 553 0 4 8328
2020 36 77 173 649 1073 1137 1098 1025 715 545 144 41 6714
2021 2 58 219 633 1081 1177 1102 1033 919 293 234 1 6751
2022 155 59 339 813 1241 1311 1161 1114 1027 551 123 51 7944
2023 0 58 70 703 1192 1416 1648 1276 1048 605 234 97 8346
2024 19 22 204 510 850 999 1024 952 792 416 100 219 6107
