Year January February March April May June July August September October November December Total
1971 3 3 3 3 3 3 3 3 3 3 3 3 36
1972 3 3 3 3 3 3 3 3 3 3 3 3 36
1973 3 3 3 3 3 3 3 3 3 3 3 3 36
1974 2 3 3 3 3 3 3 3 2 2 2 2 31
1975 2 3 3 3 3 3 3 3 2 2 2 2 31
1976 2 2 2 2 2 2 2 2 2 2 2 2 24
1977 2 2 2 2 2 2 2 2 2 2 2 2 24
1978 2 2 2 2 2 2 2 2 2 2 2 2 24
1979 2 2 2 2 2 2 2 2 2 2 2 2 24
1980 2 2 2 2 2 2 2 2 2 2 2 2 24
1981 2 2 2 2 2 2 2 2 2 2 2 2 24
1982 2 2 2 2 2 2 2 2 2 2 2 2 24
1983 2 2 2 2 2 2 2 2 2 2 2 2 24
1984 2 2 2 2 2 2 2 2 2 2 2 2 24
1985 2 2 2 2 2 2 2 2 2 2 2 2 24
1986 2 2 2 2 2 2 2 2 2 2 2 2 24
1987 2 2 2 2 2 2 2 2 2 2 2 2 24
1988 2 2 2 2 2 2 2 2 2 2 2 2 24
1989 2 2 2 2 2 2 2 2 2 2 2 2 24
1990 2 2 2 2 2 2 2 2 2 2 2 2 24
1991 2 2 2 2 2 2 2 2 2 2 2 2 24
1992 2 2 2 2 2 2 2 2 2 2 2 2 24
1993 2 2 2 2 2 2 2 2 2 2 2 2 24
1994 2 2 2 2 2 2 2 2 2 2 2 2 24
1995 2 2 2 2 2 2 2 2 2 2 2 2 24
1996 2 2 2 2 2 2 2 2 2 2 2 2 24
1997 2 2 2 2 2 2 2 2 2 2 2 2 24
1998 2 2 2 2 2 2 2 2 2 2 2 2 24
1999 2 2 2 2 2 2 2 2 2 2 2 2 24
2000 2 2 2 2 2 2 2 2 2 2 2 2 24
2001 2 2 2 2 2 2 2 2 2 2 2 2 24
2002 2 2 2 2 2 2 2 2 2 2 2 2 24
2003 2 2 2 2 2 2 2 2 2 2 2 2 24
2004 2 2 2 2 2 2 2 2 2 2 2 2 24
2005 2 2 2 2 2 2 2 2 2 2 2 2 24
2006 2 2 2 2 2 2 2 2 2 2 2 2 24
2007 2 2 2 2 2 2 2 2 2 2 2 2 24
2008 2 2 2 2 2 2 2 2 2 2 2 2 24
2009 2 2 2 2 2 2 2 2 2 2 2 2 24
2010 2 2 2 2 2 2 2 2 2 2 2 2 24
2011 2 2 2 2 2 2 2 2 2 2 2 2 24
2012 2 2 2 2 2 2 2 2 2 2 2 2 24
2013 2 2 2 2 2 2 2 2 2 2 2 2 24
2014 2 2 2 2 2 2 2 2 2 2 2 2 24
2015 2 2 2 2 2 2 2 2 2 2 2 2 24
2016 11 11 11 11 11 11 11 11 11 11 11 11 127
2017 11 11 11 11 11 11 11 11 11 11 11 11 129
2018 10 10 10 10 10 10 10 10 10 10 10 10 122
2019 10 10 10 10 10 10 10 10 10 10 10 10 116
2020 9 9 9 9 9 9 9 9 9 9 9 9 109
2021 9 9 9 9 9 9 9 9 9 9 9 9 103
2022 8 8 8 8 8 8 8 8 8 8 8 8 96
2023 8 8 8 8 8 8 8 8 8 8 8 8 96
2024 8 8 8 8 8 8 8 8 8 8 8 8 96
