Year January February March April May June July August September October November December Total
1971 19 17 23 25 32 37 40 39 34 29 25 22 342
1972 21 20 27 30 38 43 46 44 38 32 27 24 390
1973 23 22 28 31 40 45 48 46 40 34 29 26 412
1974 24 23 30 33 42 47 51 49 42 35 30 27 433
1975 25 24 31 34 43 49 52 50 43 36 31 27 445
1976 26 24 32 35 45 50 54 52 44 37 32 28 459
1977 27 25 33 36 46 52 56 54 47 40 34 31 481
1978 29 27 36 40 51 58 62 59 51 43 37 33 526
1979 31 29 38 42 53 60 63 60 52 43 37 32 540
1980 30 28 37 40 51 58 62 59 51 43 36 32 527
1981 30 28 37 41 52 59 63 61 52 44 38 33 538
1982 31 30 38 42 54 61 66 63 54 46 39 35 559
1983 33 31 40 44 56 63 68 65 56 47 40 35 578
1984 33 31 41 45 58 65 70 67 57 48 41 37 593
1985 35 33 42 47 60 68 72 70 60 51 43 38 619
1986 36 34 44 49 63 71 76 73 63 53 45 40 647
1987 38 36 46 51 65 73 78 75 64 54 46 41 667
1988 38 36 47 51 66 74 79 76 65 54 46 41 673
1989 38 36 47 51 66 74 79 75 64 54 46 41 671
1990 38 36 47 51 66 74 79 75 64 54 46 40 670
1991 38 36 46 50 65 73 78 74 64 54 46 40 664
1992 38 36 46 51 66 74 80 77 66 56 48 43 681
1993 41 38 50 55 71 80 85 82 70 59 50 44 725
1994 42 39 51 56 72 81 87 83 71 60 51 45 738
1995 43 40 52 57 74 83 88 85 72 61 52 46 753
1996 43 40 52 58 74 83 89 85 73 61 52 46 756
1997 43 41 53 58 74 83 89 86 73 62 53 47 762
1998 44 41 54 59 75 85 90 86 74 62 53 47 770
1999 44 41 53 58 74 84 89 86 73 62 53 46 763
2000 44 41 53 58 75 84 90 86 73 62 53 46 765
2001 43 40 52 57 73 82 88 84 72 61 52 46 750
2002 43 40 52 57 73 82 88 84 72 61 52 46 750
2003 42 40 51 57 73 82 87 84 72 60 52 46 746
2004 42 39 51 56 72 81 87 83 72 60 52 46 741
2005 42 40 52 57 73 82 88 85 73 62 53 47 754
2006 43 41 53 59 75 84 90 87 74 63 54 47 770
2007 44 41 53 58 75 84 90 86 74 62 53 47 767
2008 43 41 53 58 75 84 90 86 74 62 53 47 766
2009 43 41 53 58 75 84 90 86 74 62 53 47 766
2010 43 41 53 58 75 84 90 86 74 63 54 47 768
2011 45 42 54 60 77 86 92 88 75 63 54 47 783
2012 44 42 54 59 76 85 91 87 74 62 53 47 774
2013 44 41 54 59 75 85 91 87 74 63 54 47 774
2014 44 42 54 59 76 85 91 87 74 63 53 47 775
2015 44 41 53 59 75 85 91 87 75 63 54 48 775
2016 45 42 55 61 79 90 96 91 79 66 54 48 807
2017 47 43 57 63 82 93 99 94 81 68 56 49 832
2018 47 44 58 64 83 94 101 96 83 69 57 50 846
2019 48 45 59 65 85 96 103 98 84 71 58 51 863
2020 47 44 57 63 83 94 101 95 82 69 57 50 843
2021 49 46 60 66 86 97 104 99 86 72 59 52 875
2022 50 47 61 68 88 100 107 102 88 74 61 54 900
2023 52 48 63 70 91 103 110 105 91 76 62 55 926
2024 52 49 64 70 92 104 112 106 91 77 63 56 935
