Year January February March April May June July August September October November December Total
1971 112 128 290 529 730 871 732 639 542 336 227 121 5257
1972 125 143 322 587 811 964 810 710 597 369 250 136 5824
1973 125 145 322 596 822 978 822 720 608 379 255 141 5913
1974 129 153 339 621 857 1019 857 751 632 390 265 145 6158
1975 179 208 473 877 1212 1445 1207 1057 890 550 368 196 8662
1976 141 156 358 654 905 1075 903 792 666 415 281 153 6499
1977 245 285 658 1227 1697 2023 1688 1475 1244 765 511 269 12087
1978 206 240 552 1028 1424 1696 1419 1240 1045 646 428 229 10153
1979 134 153 337 617 850 1012 852 746 631 394 267 148 6141
1980 283 332 782 1463 2024 2414 2012 1757 1479 909 605 317 14377
1981 240 279 640 1193 1651 1968 1642 1435 1210 745 499 265 11767
1982 205 240 543 1007 1393 1658 1389 1213 1021 634 422 225 9950
1983 227 262 596 1117 1551 1840 1534 1341 1132 700 467 247 11014
1984 210 242 548 1013 1401 1665 1393 1220 1028 637 427 227 10011
1985 200 260 253 627 1263 2214 2357 1435 1076 507 86 323 10601
1986 312 384 664 1549 1856 2278 2105 2033 1627 1060 632 472 14972
1987 278 282 619 1384 1787 1847 1631 1496 1145 372 151 43 11035
1988 39 89 289 838 1304 1771 1634 1434 1030 464 171 43 9106
1989 40 148 366 817 1259 1338 1276 1186 781 635 502 240 8588
1990 106 200 494 774 1095 1407 1426 1076 753 568 199 51 8149
1991 110 343 434 675 775 1128 1039 760 708 408 281 95 6756
1992 266 292 586 1677 1931 2257 1894 1259 1060 588 765 329 12904
1993 37 122 651 1406 1698 2059 1713 1438 1044 570 190 232 11160
1994 179 269 629 1115 1232 1663 1529 1112 991 564 420 305 10008
1995 56 272 693 1087 1586 2050 1890 1413 1051 625 466 378 11567
1996 220 134 681 754 988 1271 1121 891 806 415 337 117 7735
1997 43 270 635 1087 1786 1850 1638 1614 1695 1187 359 363 12527
1998 260 106 359 1050 1735 2034 1649 1372 1342 748 461 418 11534
1999 149 265 406 676 1617 1791 1601 1322 1055 576 259 275 9992
2000 212 119 458 783 1103 1401 1187 957 772 253 459 187 7891
2001 151 396 713 1163 1516 1946 1634 1262 949 530 286 305 10851
2002 261 172 270 642 1052 1247 992 759 798 669 279 94 7235
2003 331 58 483 939 1263 1621 1175 1256 886 587 445 220 9264
2004 425 182 269 1101 1391 1572 1213 1251 1056 307 373 219 9359
2005 51 101 640 1170 1805 2089 1641 1402 1175 618 637 258 11587
2006 225 307 610 1040 1331 1565 1284 1147 939 415 578 213 9654
2007 316 239 416 1003 1142 1310 1149 1015 931 685 363 139 8708
2008 196 314 399 573 1051 1409 1291 1105 903 465 240 138 8084
2009 240 118 415 1055 1320 1789 1438 1067 900 530 297 76 9245
2010 87 140 696 1194 1555 1748 1329 1466 953 474 481 48 10171
2011 520 170 829 1369 1831 2112 1684 1415 1283 746 654 377 12990
2012 234 446 780 1175 1502 1791 1363 1356 1124 658 299 168 10896
2013 258 320 539 889 1627 2043 1587 1429 1362 785 441 319 11599
2014 127 182 335 767 1452 1972 1463 1408 1181 899 430 208 10424
2015 167 166 394 1481 2327 2872 2251 1912 1632 807 818 269 15096
2016 57 118 609 874 1226 1508 1349 1288 1048 854 324 42 9292
2017 32 91 565 823 1065 1368 1165 1061 840 583 285 160 8035
2018 73 131 351 707 1147 1387 1231 1285 1152 336 216 107 8126
2019 48 41 291 949 1256 1749 1785 1542 1213 671 56 59 9654
2020 99 141 246 761 1231 1314 1286 1198 859 660 226 107 8131
2021 61 126 307 755 1242 1356 1275 1193 1058 392 321 49 8128
2022 219 126 434 937 1403 1490 1346 1276 1163 663 200 109 9365
2023 30 117 134 827 1353 1597 1840 1441 1187 723 315 169 9732
2024 70 77 298 634 1015 1181 1219 1123 944 531 186 293 7570
