Year January February March April May June July August September October November December Total
1971 0 0 3 4 5 7 7 4 5 1 1 -3 34
1972 1 1 3 4 6 6 7 6 3 -1 0 -1 35
1973 -2 -1 -1 4 5 6 7 6 5 3 1 1 34
1974 -3 1 2 4 6 7 7 6 5 0 1 0 36
1975 0 0 0 3 5 7 5 6 5 3 1 0 35
1976 1 -3 2 3 6 7 6 6 4 3 2 1 38
1977 0 1 2 4 5 7 6 6 5 2 2 0 40
1978 -4 -2 -2 3 6 7 7 6 4 3 -3 -2 23
1979 -3 -1 -1 4 5 7 7 5 5 3 1 0 32
1980 -7 -5 0 4 5 7 6 6 3 2 2 0 23
1981 0 1 0 3 4 7 6 4 4 1 1 1 32
1982 -2 0 0 4 6 7 7 4 2 3 -1 -3 27
1983 -1 0 -2 3 6 7 6 4 3 3 -1 -1 27
1984 0 1 2 4 6 6 4 5 4 2 1 -3 32
1985 -1 1 0 3 6 6 6 7 4 2 -1 0 33
1986 0 -1 1 3 6 7 6 5 2 2 1 0 32
1987 -1 -1 2 4 5 7 6 4 5 1 -2 0 30
1988 -1 1 2 1 6 7 7 5 5 3 1 -1 36
1989 0 0 1 4 6 7 7 5 5 3 2 1 41
1990 0 -1 2 3 5 7 7 6 3 3 1 0 36
1991 0 1 -1 4 6 7 7 6 3 2 1 0 36
1992 0 -1 -1 4 4 7 7 4 4 1 2 -1 30
1993 -6 -5 2 4 5 7 8 5 5 1 1 0 27
1994 0 -2 2 3 6 7 7 6 4 2 0 0 35
1995 -4 0 -1 3 4 6 7 6 4 4 2 0 31
1996 -1 -3 2 4 6 7 6 6 4 2 0 -1 32
1997 -4 0 3 3 6 6 7 4 0 2 1 0 28
1998 -1 -2 0 3 5 6 5 6 1 1 0 0 24
1999 0 0 3 2 6 6 5 5 4 3 2 1 37
2000 0 -2 1 4 6 7 7 5 5 -1 1 0 33
2001 -2 -1 1 3 6 7 6 5 5 3 1 -1 33
2002 0 1 2 4 6 7 7 7 2 2 0 -1 37
2003 0 -2 2 4 6 7 7 5 5 3 1 -1 37
2004 0 -2 3 3 6 7 7 5 3 -3 -1 -1 27
2005 -6 -2 1 3 6 6 7 4 5 1 2 0 27
2006 -1 1 -1 4 6 7 5 6 4 1 2 0 34
2007 0 1 2 3 6 7 7 5 3 3 2 -3 36
2008 -3 -1 2 5 6 7 7 5 4 3 0 -3 32
2009 0 -1 3 4 6 7 7 7 4 3 1 -2 39
2010 -3 -1 1 4 6 7 7 5 5 -1 -1 -7 22
2011 1 -2 2 3 5 7 7 6 4 1 1 0 35
2012 4 5 26 41 64 71 65 46 41 33 20 -2 414
2013 1 17 22 46 62 71 51 57 33 27 11 8 406
2014 11 14 25 43 62 71 61 44 19 37 20 1 408
2015 2 7 12 43 44 64 55 45 34 13 17 6 342
2016 1 6 27 35 57 72 68 45 27 33 14 -17 368
2017 -26 4 25 42 63 74 61 60 47 37 19 10 416
2018 3 7 16 44 64 74 52 49 51 18 15 2 395
2019 -10 -18 9 42 37 73 73 69 53 37 -12 -6 347
2020 7 11 7 40 66 74 78 69 53 37 16 7 465
2021 1 13 19 47 66 73 60 52 44 18 19 -13 399
2022 6 12 26 48 66 71 70 52 40 30 8 -4 425
2023 -30 3 -7 46 62 70 74 52 40 34 11 9 364
2024 -9 -2 22 46 65 70 75 57 53 30 15 10 432
