Year January February March April May June July August September October November December Total
1971 1097 1196 2504 3902 5752 6237 5602 4907 3994 2407 1723 1181 40502
1972 1196 1422 2902 4143 5585 6608 6132 5338 4272 3448 2560 1235 44841
1973 1114 1277 2499 5012 9185 8475 6270 5473 4446 2784 1878 1318 49731
1974 1346 1747 3571 5495 7211 8562 7823 6904 5563 3351 2338 1590 55501
1975 1531 1787 3634 5864 9447 9752 8283 7325 5911 3667 2500 1682 61383
1976 1454 1587 3274 5303 7728 8240 7504 6653 5314 3309 2323 1601 54290
1977 1771 2148 4237 6694 9025 11114 9925 8697 7040 4353 2989 1948 69941
1978 1566 1933 4585 9871 11878 11528 9611 8446 6756 4203 2722 1846 74945
1979 1588 1911 3731 7008 10454 10791 9043 7901 6423 3992 2749 1890 67481
1980 2050 2574 5596 10549 13557 15591 13178 11517 9193 5655 3899 2588 95947
1981 2091 2452 4731 8292 10577 12482 11281 9888 7980 4929 3408 2323 80434
1982 1705 2061 3868 7149 9728 10059 9081 7963 6421 4112 2807 1831 66785
1983 2008 2371 5271 8990 14243 14300 10910 9472 7624 4876 3321 2293 85679
1984 2195 2547 4785 8015 10330 11774 10715 9982 7711 4827 3341 2125 78347
1985 3350 4154 5905 11820 13950 16916 17502 12840 10384 5702 3420 4050 109993
1986 4759 4111 7311 13060 14924 15485 15411 14440 12330 8194 5257 4937 120219
1987 4089 4569 8176 12159 15279 14646 13726 12278 9837 5538 3695 1166 105158
1988 958 3236 6701 10644 13881 13873 12865 12065 9928 5686 3405 1346 94588
1989 1045 3859 6618 8188 10890 11781 11377 9992 8087 6905 4724 2780 86246
1990 1637 2437 6100 8435 10081 13040 12116 10680 9114 6480 3072 1338 84530
1991 2114 4581 5810 8222 10419 12124 12358 10118 8955 5470 3770 3340 87281
1992 4062 3840 7390 14937 15833 16293 13463 10804 9120 5794 5481 3752 110769
1993 1660 2668 7682 12671 15844 15586 13683 12775 10287 7150 3980 3667 107653
1994 4091 4219 7078 10256 13109 14383 15114 12546 10215 7128 5004 4172 107315
1995 2112 4096 7998 10994 15608 17716 15718 13685 11107 7364 5168 4371 115937
1996 3708 3847 7848 9233 11886 13419 12455 10813 9164 6369 4162 3359 96263
1997 2301 4200 7652 10807 15792 16234 13349 13336 11954 9474 5683 5115 115897
1998 4384 2804 7045 11085 15935 15905 14579 13869 12098 7572 5138 5315 115729
1999 3503 3999 6692 8777 15635 15032 14087 12397 10369 7149 4859 4467 106966
2000 3864 2864 6555 9504 13058 14312 12658 10872 9557 5827 6064 4275 99410
2001 3183 5027 7706 11178 14435 16045 14431 12444 9599 7592 4937 4631 111208
2002 4354 3884 5661 9779 13106 14049 12348 10155 9770 7310 4907 3711 99034
2003 4757 2886 7785 10966 14197 14421 12308 11615 10206 7582 5838 4118 106679
2004 4790 2847 6057 11173 14277 14821 13406 12284 10316 5208 5447 3788 104414
2005 2602 3553 8588 12645 17302 17332 15437 14210 11836 8164 6709 4653 123031
2006 4178 4448 6782 11358 14114 15692 14098 12687 10642 7402 6905 4405 112711
2007 5009 3929 6000 11714 13622 13948 13195 12635 10710 8771 6138 3405 109076
2008 3915 4326 7127 10193 13433 14413 14375 13045 10254 7523 5479 3347 107430
2009 3949 3635 6850 11115 14862 16372 14101 12675 10170 7645 5626 3712 110712
2010 3036 3318 7500 11667 15075 15955 13640 13993 10440 6550 6434 2213 109821
2011 6317 4198 9720 12998 16954 17410 15992 14381 11721 8572 8022 5500 131785
2012 5497 6159 9392 13474 15353 16947 16256 15134 12444 8623 6674 4229 130182
2013 5346 6171 9443 11436 15419 17211 13746 14079 13145 9308 6361 4798 126463
2014 3786 4001 7674 11015 14463 16877 14799 13746 11604 10233 6942 4728 119868
2015 3989 4437 8712 13262 17715 20112 16804 15195 12575 8618 7178 4721 133318
2016 2487 3307 7016 9066 12003 12759 12613 11749 9795 7706 4494 2543 95534
2017 2311 2866 6860 9322 12023 13000 12475 11747 9617 7474 5144 3713 96552
2018 2812 3534 5442 8895 12012 13138 12303 11721 10153 5777 4647 3394 93837
2019 2568 2273 5002 9899 11663 13928 14054 13271 11052 7803 3215 2977 97695
2020 3494 3224 5477 9760 14259 13632 14002 12869 10263 8298 5208 3498 103985
2021 2935 3469 6000 9755 12920 14074 12736 12486 10408 6040 5489 3150 99456
2022 3928 3805 6465 9747 12761 13558 13326 12377 10359 7420 4715 3492 101953
2023 2478 3236 4300 9343 13242 14127 14941 12918 10664 7830 5095 4338 102512
2024 3082 3007 6257 9088 12257 13514 13206 12192 10375 7467 5069 4953 100464
