Year January February March April May June July August September October November December Total
1971 25 26 26 26 26 26 26 26 25 25 25 25 307
1972 25 27 27 27 27 27 27 27 25 25 25 25 314
1973 26 27 27 27 27 27 27 27 26 26 26 26 319
1974 26 28 28 28 28 28 28 28 26 26 26 26 326
1975 26 27 27 27 27 27 27 27 26 26 26 26 319
1976 25 27 27 27 27 27 27 27 25 25 25 25 314
1977 24 26 26 26 26 26 26 26 24 24 24 24 302
1978 24 25 25 25 25 25 25 25 24 24 24 24 295
1979 24 25 25 25 25 25 25 25 24 24 24 24 295
1980 24 26 26 26 26 26 26 26 24 24 24 24 302
1981 24 26 26 26 26 26 26 26 24 24 24 24 302
1982 24 26 26 26 26 26 26 26 24 24 24 24 302
1983 24 26 26 26 26 26 26 26 24 24 24 24 302
1984 24 26 26 26 26 26 26 26 24 24 24 24 302
1985 24 25 25 25 25 25 25 25 24 24 24 24 295
1986 24 25 25 25 25 25 25 25 24 24 24 24 295
1987 24 25 25 25 25 25 25 25 24 24 24 24 295
1988 23 24 24 24 24 24 24 24 23 23 23 23 283
1989 22 23 23 23 23 23 23 23 22 22 22 22 271
1990 21 22 22 22 22 22 22 22 21 21 21 21 259
1991 19 21 21 21 21 21 21 21 19 19 19 19 242
1992 18 19 19 19 19 19 19 19 18 18 18 18 223
1993 19 20 20 20 20 20 20 20 19 19 19 19 235
1994 19 20 20 20 20 20 20 20 19 19 19 19 235
1995 19 20 20 20 20 20 20 20 19 19 19 19 235
1996 19 21 21 21 21 21 21 21 19 19 19 19 242
1997 20 21 21 21 21 21 21 21 20 20 20 20 247
1998 19 20 20 20 20 20 20 20 19 19 19 19 235
1999 19 20 20 20 20 20 20 20 19 19 19 19 235
2000 18 19 19 19 19 19 19 19 18 18 18 18 223
2001 18 19 19 19 19 19 19 19 18 18 18 18 223
2002 17 18 18 18 18 18 18 18 17 17 17 17 211
2003 18 19 19 19 19 19 19 19 18 18 18 18 223
2004 18 19 19 19 19 19 19 19 18 18 18 18 223
2005 19 20 20 20 20 20 20 20 19 19 19 19 235
2006 19 20 20 20 20 20 20 20 19 19 19 19 235
2007 19 20 20 20 20 20 20 20 19 19 19 19 235
2008 19 20 20 20 20 20 20 20 19 19 19 19 235
2009 19 20 20 20 20 20 20 20 19 19 19 19 235
2010 19 20 20 20 20 20 20 20 19 19 19 19 235
2011 19 20 20 20 20 20 20 20 19 19 19 19 235
2012 18 19 19 19 19 19 19 19 18 18 18 18 223
2013 18 19 19 19 19 19 19 19 18 18 18 18 223
2014 18 19 19 19 19 19 19 19 18 18 18 18 223
2015 18 19 19 19 19 19 19 19 18 18 18 18 223
2016 27 27 27 27 27 27 27 27 27 27 27 27 326
2017 27 27 27 27 27 27 27 27 27 27 27 27 325
2018 25 25 25 25 25 25 25 25 25 25 25 25 304
2019 24 24 24 24 24 24 24 24 24 24 24 24 283
2020 22 22 22 22 22 22 22 22 22 22 22 22 262
2021 20 20 20 20 20 20 20 20 20 20 20 20 241
2022 18 18 18 18 18 18 18 18 18 18 18 18 219
2023 18 18 18 18 18 18 18 18 18 18 18 18 219
2024 18 18 18 18 18 18 18 18 18 18 18 18 219
