Year January February March April May June July August September October November December Total
1971 13 0 68 201 787 166 2 85 0 0 0 131 1453
1972 21 46 236 79 77 13 0 0 0 885 805 20 2182
1973 0 0 0 904 3648 1758 42 0 0 0 0 0 6352
1974 0 0 177 271 132 0 1 0 0 0 0 0 581
1975 0 9 167 305 1958 629 0 0 0 0 0 0 3068
1976 0 69 21 316 952 40 0 0 0 0 0 0 1398
1977 0 0 0 0 114 205 0 0 0 0 0 0 319
1978 0 0 721 3566 3247 1025 1 0 0 0 0 0 8560
1979 0 0 0 1009 2412 991 0 0 0 0 0 0 4412
1980 0 42 93 1736 1722 1133 57 0 0 0 0 0 4783
1981 0 0 40 780 443 140 0 0 0 0 0 0 1403
1982 0 1 56 1045 1523 174 0 0 0 0 13 8 2820
1983 0 27 858 1833 4513 2534 120 86 4 86 66 64 10191
1984 94 122 137 790 569 55 103 491 0 0 3 4 2368
1985 0 0 127 1395 525 24 6 0 0 0 4 6 2087
1986 8 44 736 1028 456 55 0 0 0 0 0 0 2327
1987 0 17 80 1559 884 70 0 0 0 0 572 88 3270
1988 0 54 563 1974 2067 326 0 0 0 0 0 0 4984
1989 0 4 110 83 1 0 0 0 0 0 0 0 198
1990 0 0 13 159 55 0 0 0 0 0 0 0 227
1991 0 0 0 23 483 313 0 0 0 0 0 0 819
1992 0 62 454 2315 1172 174 0 0 0 0 0 0 4177
1993 0 0 624 1915 2894 738 2 0 0 0 0 0 6173
1994 0 0 126 505 549 54 0 0 0 0 0 0 1234
1995 0 241 1285 1534 2636 2136 370 0 0 40 61 13 8316
1996 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
1997 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
1998 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
1999 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2000 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2001 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2002 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2003 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2004 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2005 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2006 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2007 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2008 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2009 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2010 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2011 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2012 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2013 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2014 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2015 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2016 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2017 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2018 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2019 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2020 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2021 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2022 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2023 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
2024 5 30 268 1013 1353 510 28 26 0 40 61 13 3347
