Year January February March April May June July August September October November December Total
1971 7 1 23 31 41 57 58 35 43 13 14 -12 311
1972 8 13 26 33 52 50 62 46 29 4 -5 -2 316
1973 -6 -7 -8 30 43 51 58 49 42 28 6 6 292
1974 -14 13 21 31 52 58 52 51 42 13 9 5 333
1975 4 4 2 29 43 56 46 50 39 27 11 5 316
1976 7 -15 18 28 50 58 52 54 34 22 16 11 335
1977 1 13 18 36 34 54 53 45 38 27 15 1 335
1978 -26 -12 -17 17 46 58 58 53 33 25 -14 -9 212
1979 -16 -4 -6 34 44 58 61 45 44 27 11 5 303
1980 -41 -29 5 34 41 58 53 49 26 20 15 6 237
1981 3 7 -5 26 39 56 54 45 35 20 10 8 298
1982 -9 6 -3 34 49 56 55 38 26 26 0 -17 261
1983 -5 0 -17 25 49 56 54 33 30 23 0 -2 246
1984 5 8 15 33 52 55 33 44 38 21 9 -14 299
1985 -1 10 9 30 49 54 49 55 34 19 -4 5 309
1986 5 -1 7 29 50 56 52 44 27 24 11 5 309
1987 -3 -1 10 35 44 56 51 43 41 12 -8 1 281
1988 -5 11 19 8 46 54 55 45 42 29 12 -3 313
1989 -1 4 16 38 46 57 56 41 42 25 16 11 351
1990 -1 -1 17 27 45 54 54 49 32 27 9 1 313
1991 2 11 -6 36 48 55 59 50 31 19 9 1 315
1992 -1 -9 -10 34 40 56 55 43 41 14 16 -7 272
1993 -41 -30 14 35 47 53 62 44 44 19 8 4 259
1994 5 -10 17 22 49 57 60 47 36 18 1 -1 301
1995 -23 3 -16 25 38 48 61 51 37 32 15 4 275
1996 1 -8 18 35 47 58 52 53 36 21 -2 -4 307
1997 -18 7 24 31 49 55 59 40 10 25 9 4 295
1998 -2 -20 5 24 44 51 43 51 20 14 6 7 243
1999 4 5 23 22 49 48 46 43 38 31 16 8 333
2000 0 -16 10 35 50 56 62 42 41 4 11 8 303
2001 -7 0 11 26 51 57 56 44 42 29 10 1 320
2002 6 12 21 36 52 58 59 56 28 20 9 2 359
2003 7 -9 13 28 49 58 59 49 39 30 9 -7 325
2004 4 -15 23 27 51 57 55 48 35 -15 -4 -9 257
2005 -32 -15 5 20 46 49 56 37 41 18 15 4 244
2006 -1 12 -7 29 51 57 49 53 38 13 16 0 310
2007 4 6 22 29 51 57 53 44 29 31 17 -16 327
2008 -17 -3 22 38 46 56 53 48 41 26 6 -11 305
2009 -1 -5 24 31 49 56 59 55 39 29 14 -9 341
2010 -20 -8 11 28 49 56 57 46 43 1 3 -44 222
2011 7 -6 14 29 41 58 55 54 34 16 12 3 317
2012 1 0 17 31 52 58 47 38 33 22 12 -4 307
2013 0 10 18 33 50 58 43 44 19 24 7 3 309
2014 5 6 17 33 47 58 54 35 12 31 14 -1 311
2015 -1 4 9 33 34 55 52 47 33 16 9 0 291
2016 -6 4 16 20 49 58 58 38 31 27 9 -15 289
2017 -21 0 19 33 47 60 47 47 35 31 16 9 323
2018 -4 4 13 33 49 60 46 47 43 12 12 2 317
2019 -11 -20 -3 31 26 57 61 53 43 31 -13 -6 249
2020 6 5 1 31 52 60 61 54 44 31 12 5 362
2021 -4 10 14 34 52 58 41 42 37 14 17 -20 295
2022 5 9 20 35 52 59 50 39 31 23 3 -3 323
2023 -32 -2 -12 35 49 54 62 37 26 28 10 7 262
2024 -6 -10 12 34 51 59 60 46 43 24 11 10 334
