Year January February March April May June July August September October November December Total
1971 985 1068 2214 3373 5022 5366 4870 4268 3452 2071 1496 1060 35245
1972 1071 1279 2580 3556 4774 5644 5322 4628 3675 3079 2310 1099 39017
1973 989 1132 2177 4416 8363 7497 5448 4753 3838 2405 1623 1177 43818
1974 1217 1594 3232 4874 6354 7543 6966 6153 4931 2961 2073 1445 49343
1975 1352 1579 3161 4987 8235 8307 7076 6268 5021 3117 2132 1486 52721
1976 1313 1431 2916 4649 6823 7165 6601 5861 4648 2894 2042 1448 47791
1977 1526 1863 3579 5467 7328 9091 8237 7222 5796 3588 2478 1679 57854
1978 1360 1693 4033 8843 10454 9832 8192 7206 5711 3557 2294 1617 64792
1979 1454 1758 3394 6391 9604 9779 8191 7155 5792 3598 2482 1742 61340
1980 1767 2242 4814 9086 11533 13177 11166 9760 7714 4746 3294 2271 81570
1981 1851 2173 4091 7099 8926 10514 9639 8453 6770 4184 2909 2058 68667
1982 1500 1821 3325 6142 8335 8401 7692 6750 5400 3478 2385 1606 56835
1983 1781 2109 4675 7873 12692 12460 9376 8131 6492 4176 2854 2046 74665
1984 1985 2305 4237 7002 8929 10109 9322 8762 6683 4190 2914 1898 68336
1985 3150 3894 5652 11193 12687 14702 15145 11405 9308 5195 3334 3727 99392
1986 4447 3727 6647 11511 13068 13207 13306 12407 10703 7134 4625 4465 105247
1987 3811 4287 7557 10775 13492 12799 12095 10782 8692 5166 3544 1123 94123
1988 919 3147 6412 9806 12577 12102 11231 10631 8898 5222 3234 1303 85482
1989 1005 3711 6252 7371 9631 10443 10101 8806 7306 6270 4222 2540 77658
1990 1531 2237 5606 7661 8986 11633 10690 9604 8361 5912 2873 1287 76381
1991 2004 4238 5376 7547 9644 10996 11319 9358 8247 5062 3489 3245 80525
1992 3796 3548 6804 13260 13902 14036 11569 9545 8060 5206 4716 3423 97865
1993 1623 2546 7031 11265 14146 13527 11970 11337 9243 6580 3790 3435 96493
1994 3912 3950 6449 9141 11877 12720 13585 11434 9224 6564 4584 3867 97307
1995 2056 3824 7305 9907 14022 15666 13828 12272 10056 6739 4702 3993 104370
1996 3488 3713 7167 8479 10898 12148 11334 9922 8358 5954 3825 3242 88528
1997 2258 3930 7017 9720 14006 14384 11711 11722 10259 8287 5324 4752 103370
1998 4124 2698 6686 10035 14200 13871 12930 12497 10756 6824 4677 4897 104195
1999 3354 3734 6286 8101 14018 13241 12486 11075 9314 6573 4600 4192 96974
2000 3652 2745 6097 8721 11955 12911 11471 9915 8785 5574 5605 4088 91519
2001 3032 4631 6993 10015 12919 14099 12797 11182 8650 7062 4651 4326 100357
2002 4093 3712 5391 9137 12054 12802 11356 9396 8972 6641 4628 3617 91799
2003 4426 2828 7302 10027 12934 12800 11133 10359 9320 6995 5393 3898 97415
2004 4365 2665 5788 10072 12886 13249 12193 11033 9260 4901 5074 3569 95055
2005 2551 3452 7948 11475 15497 15243 13796 12808 10661 7546 6072 4395 111444
2006 3953 4141 6172 10318 12783 14127 12814 11540 9703 6987 6327 4192 103057
2007 4693 3690 5584 10711 12480 12638 12046 11620 9779 8086 5775 3266 100368
2008 3719 4012 6728 9620 12382 13004 13084 11940 9351 7058 5239 3209 99346
2009 3709 3517 6435 10060 13542 14583 12663 11608 9270 7115 5329 3636 101467
2010 2949 3178 6804 10473 13520 14207 12311 12527 9487 6076 5953 2165 99650
2011 5797 4028 8891 11629 15123 15298 14308 12966 10438 7826 7368 5123 118795
2012 5263 5713 8612 12299 13851 15156 14893 13778 11320 7965 6375 4061 119286
2013 5088 5851 8904 10547 13792 15168 12159 12650 11783 8523 5920 4479 114864
2014 3659 3819 7339 10248 13011 14905 13336 12338 10423 9334 6512 4520 109444
2015 3822 4271 8318 11781 15388 17240 14553 13283 10943 7811 6360 4452 118222
2016 2430 3189 6407 8192 10777 11251 11264 10461 8747 6852 4170 2501 86242
2017 2279 2775 6295 8499 10958 11632 11310 10686 8777 6891 4859 3553 88517
2018 2739 3403 5091 8188 10865 11751 11072 10436 9001 5441 4431 3287 85711
2019 2520 2232 4711 8950 10407 12179 12269 11729 9839 7132 3159 2918 88041
2020 3395 3083 5231 8999 13028 12318 12716 11671 9404 7638 4982 3391 95854
2021 2874 3343 5693 9000 11678 12718 11461 11293 9350 5648 5168 3101 91328
2022 3709 3679 6031 8810 11358 12068 11980 11101 9196 6757 4515 3383 92588
2023 2448 3119 4166 8516 11889 12530 13101 11477 9477 7107 4780 4169 92780
2024 3012 2930 5959 8454 11242 12333 11987 11069 9431 6936 4883 4660 92894
