Year January February March April May June July August September October November December Total
1971 46 12 125 153 200 288 294 174 220 67 76 -60 1595
1972 53 75 135 169 265 251 308 226 152 17 -20 -3 1628
1973 -22 -33 -41 146 208 255 292 252 218 142 38 44 1499
1974 -57 71 110 154 266 297 260 259 214 67 55 34 1730
1975 30 26 13 150 213 290 241 255 204 141 61 37 1661
1976 51 -76 103 143 258 304 268 279 180 111 86 61 1768
1977 14 73 100 195 172 279 280 230 198 144 84 13 1782
1978 -126 -60 -87 89 234 311 310 282 174 134 -66 -44 1151
1979 -68 -19 -25 184 232 311 314 234 233 148 69 39 1652
1980 -201 -148 31 181 209 311 283 259 134 111 83 46 1299
1981 24 43 -32 128 200 297 291 239 185 106 59 48 1588
1982 -52 40 -34 176 251 297 286 215 137 133 4 -96 1357
1983 -21 2 -113 118 248 296 293 163 154 123 3 -2 1264
1984 58 81 139 306 465 499 331 409 351 202 85 -116 2810
1985 -2 91 115 285 446 495 465 491 302 176 -8 52 2908
1986 48 14 78 267 450 514 493 405 256 226 108 55 2914
1987 -22 13 103 313 392 495 459 410 367 95 -56 20 2589
1988 -36 95 187 85 426 493 514 417 387 269 112 -24 2925
1989 3 57 172 353 430 537 541 398 380 228 149 94 3342
1990 0 9 175 254 419 498 492 444 290 245 82 20 2928
1991 33 104 -24 341 449 510 547 468 299 182 88 24 3021
1992 2 -75 -95 329 383 527 521 394 383 136 149 -53 2601
1993 -334 -237 142 333 442 500 570 430 396 199 88 43 2572
1994 61 -75 165 220 439 526 538 443 343 181 18 2 2861
1995 -192 44 -128 244 366 451 560 470 358 284 139 49 2645
1996 25 -33 181 335 435 541 498 496 339 201 0 -22 2996
1997 -128 79 228 295 449 518 554 387 116 248 86 46 2878
1998 -9 -166 79 237 415 486 418 475 192 136 68 76 2407
1999 44 62 226 224 455 440 446 425 373 279 151 80 3205
2000 10 -126 122 328 463 527 566 393 381 66 104 78 2912
2001 -42 10 111 257 470 532 538 421 394 271 96 21 3079
2002 136 243 440 726 1019 1137 1170 1074 596 424 201 59 7225
2003 130 -141 298 573 980 1138 1161 967 760 560 191 -94 6523
2004 97 -214 473 537 1000 1127 1108 966 706 -128 -10 -141 5521
2005 -443 -216 183 437 914 1037 1127 828 796 342 279 108 5392
2006 20 236 7 607 1004 1104 1075 1050 748 321 310 42 6524
2007 95 166 460 587 1008 1131 1055 916 582 573 301 -272 6602
2008 -218 -9 470 743 948 1118 1047 1003 802 494 127 -146 6379
2009 0 -9 478 671 986 1100 1148 1057 762 560 261 -101 6913
2010 -288 -138 287 599 988 1071 1143 929 819 150 146 -664 5042
2011 146 -41 328 594 883 1133 1111 1065 659 343 230 105 6556
2012 46 58 406 640 1019 1138 939 836 664 435 273 -38 6416
2013 29 194 394 670 986 1138 960 871 412 500 140 63 6357
2014 93 146 394 662 973 1138 1105 720 349 574 269 20 6443
2015 13 79 257 657 765 1087 1082 917 665 374 210 37 6143
2016 -110 146 353 392 979 1131 1132 787 605 502 178 -243 5852
2017 -319 72 392 697 898 1150 937 926 705 576 300 151 6485
2018 -87 110 312 677 973 1150 987 943 809 307 220 54 6455
2019 -157 -271 -4 619 665 1121 1197 1056 824 576 -190 -89 5347
2020 123 108 64 603 1029 1150 1197 1049 826 576 255 111 7091
2021 -22 218 297 662 1023 1142 946 966 728 308 316 -215 6369
2022 114 177 422 704 1029 1140 994 890 581 479 146 -17 6659
2023 -416 72 -86 717 980 1103 1208 797 442 535 209 145 5706
2024 -87 -102 281 702 1020 1149 1169 916 822 485 231 160 6746
