Year January February March April May June July August September October November December Total
1971 1595 1808 3408 4848 6779 7215 6641 5905 4820 3037 2217 1622 49895
1972 1745 2098 3897 5182 6717 7677 7280 6443 5174 4136 3098 1721 55168
1973 1668 1962 3498 6069 10334 9563 7434 6599 5368 3496 2429 1815 60235
1974 1933 2476 4643 6621 8441 9737 9060 8106 6551 4106 2926 2119 66719
1975 2065 2448 4547 6710 10294 10472 9142 8200 6620 4255 2975 2152 69880
1976 2057 2328 4369 6446 8975 9429 8763 7880 6311 4080 2923 2143 65704
1977 2347 2866 5196 7480 9727 11622 10661 9473 7658 4906 3455 2441 77832
1978 2122 2634 5545 10723 12707 12190 10440 9299 7453 4805 3206 2334 83458
1979 2228 2711 4929 8314 11913 12202 10498 9291 7584 4867 3424 2471 80432
1980 2620 3301 6551 11250 14143 15857 13693 12090 9665 6132 4334 3084 102720
1981 2680 3193 5735 9149 11396 13069 12043 10682 8650 5516 3902 2835 88850
1982 2216 2705 4745 7893 10450 10554 9721 8609 6974 4605 3231 2272 73975
1983 2579 3098 6258 9827 15039 14864 11644 10235 8264 5451 3802 2794 93855
1984 2738 3233 5731 8831 11122 12355 11429 10732 8345 5387 3807 2590 86300
1985 4126 5106 7800 13769 15543 17726 18249 14066 11732 6584 4158 4716 123575
1986 5750 5167 8653 13926 16333 15695 16061 15047 13234 9041 5940 5640 130487
1987 4847 5276 9461 13161 16747 15873 14898 13522 10885 6579 4496 1237 116982
1988 1021 3888 8061 11722 14675 14344 13214 12810 10825 6308 3894 1491 102253
1989 1111 4916 8237 9331 12663 13322 12994 11223 9478 7859 5319 3310 99763
1990 2445 3301 7010 9650 10966 14351 13205 11713 10131 7245 3641 1776 95434
1991 2226 5076 6727 9482 11905 13403 13744 11338 10261 6231 4386 4162 98941
1992 4693 4473 8359 15404 16717 16592 13679 11176 9555 6335 5750 4212 116945
1993 2299 3640 8788 13649 16442 16043 14245 13655 11115 8279 4713 4454 117322
1994 4817 4989 7774 10874 13939 15013 16033 13604 11068 8010 5779 4739 116639
1995 2608 4696 8759 11785 16265 18112 16063 14140 11685 7855 5473 4743 122184
1996 4196 4521 8609 10092 12559 14066 13147 11610 9705 6829 4521 3949 103804
1997 2857 4733 8311 11302 16305 16509 13627 13677 11752 9362 6132 5599 120166
1998 4907 3194 7931 11431 16164 16084 15225 14592 12458 7917 5637 5772 121312
1999 4032 4511 7327 9502 16622 15402 14505 12964 10923 7642 5470 4814 113714
2000 4385 3349 7245 10189 13688 14806 13561 12026 10273 6464 6589 4699 107274
2001 3778 5470 8294 11563 14852 16390 14936 13103 10167 8282 5463 5106 117404
2002 4871 4557 6500 10620 13821 14730 13276 11107 10488 7738 5352 4254 107314
2003 5236 3440 8628 11693 14849 14953 13179 12268 11075 8199 6358 4591 114469
2004 5171 3408 6911 11660 14610 15183 13994 12808 10644 5786 5916 4253 110344
2005 3275 4371 9509 13239 17518 17273 15494 14317 12014 8531 6935 5070 127546
2006 4479 4796 7195 11649 14264 15785 14674 13189 11025 7891 7096 4804 116847
2007 5425 4330 6568 12086 13988 14294 13745 13244 11162 9211 6584 3777 114414
2008 4493 4778 7819 10981 13890 14559 14866 13699 10690 8174 6096 3836 113881
2009 4223 4110 7429 11187 14981 16131 13980 12777 10225 7946 5872 4151 113012
2010 3468 3737 7783 11614 14622 15684 13543 13817 10475 6876 6660 2630 110909
2011 6703 4757 10529 13262 17092 16865 15833 14126 11483 8816 8405 5824 133695
2012 6031 6890 9888 13785 15182 16807 16499 15491 12896 8708 7030 4680 133887
2013 5847 6640 9778 11507 15059 16438 13438 13987 13128 9348 6551 5099 126820
2014 4114 4335 8052 11210 14148 16249 14554 13687 11518 10314 7177 5069 120427
2015 4339 4780 9237 12896 16847 18925 15993 14659 12033 8730 7099 5007 130545
2016 2672 3501 6969 8904 11609 12232 12291 11464 9581 7562 4623 2773 94188
2017 2522 3093 6974 9288 11957 12698 12382 11730 9641 7548 5323 3872 97024
2018 3015 3697 5573 8980 11798 12767 12117 11421 9918 6035 4857 3618 93797
2019 2783 2499 5300 9846 11359 13283 13415 12814 10700 7721 3463 3218 96393
2020 3802 3473 5883 9857 14197 13330 13844 12649 10170 8325 5399 3729 104657
2021 3155 3668 6243 9690 12595 13772 12517 12327 10216 6165 5601 3377 99321
2022 4091 4008 6567 9523 12277 13016 13093 12221 10117 7368 4901 3683 100872
2023 2710 3449 4673 9214 12855 13573 14322 12582 10371 7775 5229 4531 101294
2024 3302 3236 6511 9239 12200 13435 13154 12279 10365 7615 5382 5107 101829
