# USBR Lower Colorado Basin Annual reports: Mohave Valley Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1975 35 1916 1405 206 2630 4102 2930 1056 132 379 06 # error:  diff = 14785 got sum = 14791 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1975_1.png
# Gap from 1963 to 1975
1977 7 659 1175 3236 2 56 327 5115 4 436 2436 722 739 426 2 936 # error:  diff = 14406 got sum = 15342 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1977_1.png
# Gap from 1975 to 1977
1979 501 913 1267 3356 2 2982 3033 2972 1562 1134 827 1375 22761 # error:  diff = 2837 got sum = 19924 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1979_1.png
# Gap from 1977 to 1979
1980 669 1677 3323 3138 3391 4295 4061 2664 1451 654 26758 # error:  diff = 1435 got sum = 25323 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1980_1.png
1982 496 948 2533 3252 3899 4380 4206 4993 3093 1800 71 369 30740 # error:  diff = 700 got sum = 30040 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1982_1.png
# Gap from 1980 to 1982
1983 984 1097 970 2678 3497 2803 3820 3699 2873 1229 1265 67 26182 # error:  diff = 1200 got sum = 24982 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1983_1.png
1984 2806 1560 2470 4452 6370 5516 6723 5430 4014 2036 0 0 41377 
1985 374 685 1284 2322 2871 2306 3197 2868 1787 1234 474 20213 # error:  diff = 811 got sum = 19402 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1985_1.png
1986 894 951 1395 1921 1806 2851 3464 2394 1915 1103 837 555 20086 
1987 776 788 17421797 2274 2956 3452 3559 2466 1343 762 601 22516 # error:  diff = 17418258 got sum = 17440774 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1987_1.png
1990 1158 1985 2705 3595 28854590 43984977 3919 2204 1809 1894 38089 # error:  diff = 72820747 got sum = 72858836 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1990_1.png
# Gap from 1987 to 1990
1991 1032 1586 62057 3546 4036 4894 5756 605672 3908 2495 2083 1485 38550 # error:  diff = 660000 got sum = 698550 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1991_1.png
1992 976 989 1780 3718 3471 4888 5840 5585 3151 2531 1586 1204 35719 
1993 473 603 2699 3319 4203 5028 6010 5273 3425 2979 1783 1825 37620 
1994 1626 1799 3546 3483 3996 5823 6733 5900 3824 2652 1809 1237 42628 # error:  diff = 200 got sum = 42428 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1994_1.png
1995 349 1268 3140 2815 3568 5053 7061 5892 3811 2289 1767 1385 38398 
1996 1739 2192 3726 64179 4397 5853 6227 6032 4472 3276 212011580 45793 # error:  diff = 212067880 got sum = 212113673 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1996_1.png
1997 1099 2301 64168 64515 4487 5713 6082 5466 27932896 9 2016 1064 42600 # error:  diff = 28047216 got sum = 28089816 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1997_1.png
1998 1283 289 2611 2077 2779 4476 5453 4881 3179-2375 1397 868 31668 # error:  diff = 5554 got sum = 26114 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1998_1.png
1999 1498 1517 3577 2934 3322 4648 4102 5036 2815 2429 1789 1314 34981 
2000 1561 1631 2764 93580 4580 4582 5491 4029 2652-2893 2070 1599 37432 # error:  diff = 84455 got sum = 121887 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2000_1.png
2001 919 1493 3185 2917 4605 5289 5391 4601 3843 2740 1562 324 36869 
2002 1651 1715 2822 3225 3710 4634 4413 4175 4213 2369 1732 1111 35770 
2003 2424 1595 1810 3389 3884 3963 4541 3795 3884 3458 1432 1406 35581 
2004 1910 1539 3198 4099 4184 5130 5023 4079 3220 1758 644 1080 35864 
2006 73 71 76 72 96 101 93 101 101 75 80 57 996 
# Gap from 2004 to 2006
2007 1297 2290 2724 4056 3472 3678 3693 3932 4527 2251 1964 1586 35470 
2008 966 2381 4020 4399 4136 014 3531 3160 4217 2081 1868 1315 37088 # error:  diff = 5000 got sum = 32088 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2008_1.png
2009 888 1553 1872 2596 2902 3344 4047 3794 3290 2542 1339 890 29057 
2010 523 636 1792 2451 2751 3256 3451 3671 2396 2006 1709 1358 26000 
2011 1128 814 1706 2183 2262 4297 3503 3358 3363 3259 2932 2937 31742 
2012 981 1004 1790 1941 2374 2430 2340 2595 2431 1616 1325 402 21229 
2013 808 657 2541 2195 3294 3719 3780 2848 1411 2576 1752 1212 26793 
2014 1943 1951 2924 3375 3995 4631 3976 3566 3058 2668 2319 686 35092 
2015 1393 1901 2604 3057 3222 3975 3439 4055 3686 1682 1605 1021 31640 
2016 1288 2082 3616 2457 3885 4873 4303 4087 4079 2626 2181 1399 36876 
2017 684 903 2340 2791 2906 3235 3894 3557 2163 2716 1481 1023 27693 
2018 303 1395 2284 3479 3500 3849 3941 5011 3134 2010 2148 373 31427 
2019 854 676 1630 3112 3412 4320 4168 3635 2897 2060 526 38 27328 
2020 859 1154 454 2242 2450 2448 2682 2253 2154 1383 914 465 19458 
2021 1332 1043 1152 1984 2007 1702 1674 1981 1574 1041 423 481 16394 
