# USBR Lower Colorado Basin Annual reports: Yuma Mesa I Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1967 493 497 603 619 1002 1145 1091 849 73 543 897 # error:  diff = 6018 got sum = 6915 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1967_2.png
# Gap from 1963 to 1967
1971 - 659 589 808 831 1033 1224 1556 1298 1212 848 719 586 11343 # error:  diff = 20 got sum = 11363 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1971_3.png
# Gap from 1967 to 1971
1975 2 272 382 43 648 1020 1079 1235 565 393 255 7 14 # error:  diff = 5887 got sum = 5901 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1975_3.png
# Gap from 1971 to 1975
1977 139 415 740 1141 1283 975 18 622 47 312 212 # error:  diff = 5480 got sum = 5692 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1977_3.png
# Gap from 1975 to 1977
1978 209 686 950 1076 1480 1332 11 692 501 352 9056 # error:  diff = 1767 got sum = 7289 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1978_3.png
1979 3438 12178 20694 24376 23213 27545 2922 18801 15740 13301 6210 6038 200776 # error:  diff = 26320 got sum = 174456 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1979_3.png
1980 215 234 397 738 831 961 1214 1259 1001 878 41 527 8706 # error:  diff = 410 got sum = 8296 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1980_3.png
1984 8279 10089 13126 18355 25788 29598 23301 19345 20409 13615 8615 1042 191562 
# Gap from 1980 to 1984
1985 6997 6423 41071 22107 24436 28899 31676 28623 1847584102 7938 6942 201689 # error:  diff = 1847587525 got sum = 1847789214 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1985_4.png
1986 11651 10890 14927 20296 622821 28042 27032 26882 18708 14626 10342 5044 211261 # error:  diff = 600000 got sum = 811261 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1986_4.png
1989 5803 7655 10929 19386 21625 26371 25399 19969 18270 16792 10966 7787 190952 
# Gap from 1986 to 1989
1991 4549 7048 10455 17993 23115 23295 25517 22526 18417 15779 8903 3351 180948 
# Gap from 1989 to 1991
1992 6771 5841 9031 15687 25301 26330 27048 24687 20604 14853 12024 2824 191001 
1993 -1093 5329 14588 19353 22394 25073 27290 26577 21055 15311 7499 7606 190982 
1994 8823 6589 12993 18173 21050 26531 27812 27768 18603 15843 10648 4029 198862 
1995 2632 9902 14230 14392 22238 23083 25893 29131 23860 18456 10431 6773 201021 
1997 7410 8376 13367 17223 23060 24112 26442 24860 13631 17583 9526 2766 188356 
# Gap from 1995 to 1997
1998 5762 2848 13579 15289 19251 22958 27483 25367 18972 12303 9500 5822 179134 
1999 5977 5884 12537 11612 19052 21956 23990 23254 18960 12779 11878 11812 179690 
2000 6546 7434 10833 14584 21856 23398 23501 21559 20954 13821 9054 5599 179139 
2001 5393 5412 7288 11347 18597 20007 20361 20771 16137 14424 9112 1787 150636 
2003 1904 -669 3033 6915 8443 12357 14917 11356 11002 12732 3503 3512 89005 
# Gap from 2001 to 2003
2004 3036 4200 8079 11095 14048 2206 15483 14688 11463 6505 2998 -161 93640 
2005 620 86 10447 11586 16789 14550 12585 13088 10960 6166 6173 2092 104970 # error:  diff = 172 got sum = 105142 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2005_4.png
2007 2521 609 3414 8235 11996 12019 12622 10867 6261 3397 3462 -1092 74311 
# Gap from 2005 to 2007
2009 1189 62 4657 6668 7036 7090 10613 9140 8448 8633 6897 1177 71510 # error:  diff = 100 got sum = 71610 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2009_4.png
# Gap from 2007 to 2009
2010 189 -1565 2102 5552 6151 9551 12208 12049 12090 11045 8301 6698 84371 
2011 2876 2625 5608 8613 11761 11527 10534 12855 10955 9238 5115 5199 96906 
2014 2922 3216 8050 12598 16255 13238 15316 12546 8539 10479 7903 2800 113862 
# Gap from 2011 to 2014
2015 4800 5068 9235 10959 11676 11557 9492 8509 9042 10773 6348 3842 101301 
2016 2060 5290 8393 9477 12909 14659 14493 15683 11148 10948 7926 4632 117618 
2017 5008 3759 9145 9979 14637 16214 17664 16700 12145 8639 6746 2812 123448 
2018 2619 4244 6697 12176 15781 18217 19945 19055 13378 9930 5704 6519 134265 
2019 1861 5950 7246 11720 15727 17378 20567 20063 16639 14320 9411 4886 145768 
2020 7914 6704 5908 14255 16744 18808 20813 20881 17718 12884 9814 4105 156548 
2021 3313 5227 10351 11465 13163 16811 15714 16030 14529 8875 6715 3454 125647 
